NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION	Details ...	73	-0.63401514	-1.5964853	0.004310345	0.503367	1.0	264	tags=27%, list=5%, signal=29%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	Details ...	18	-0.82178956	-1.5917072	0.004210526	0.50618917	1.0	341	tags=28%, list=7%, signal=30%	
GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY	Details ...	23	-0.7738939	-1.5914282	0.004255319	0.47857094	1.0	270	tags=17%, list=5%, signal=18%	
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	Details ...	34	-0.713966	-1.5798386	0.0112866815	0.5332819	1.0	184	tags=15%, list=4%, signal=15%	
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	Details ...	40	-0.6929977	-1.5566293	0.0065934067	0.6795381	1.0	271	tags=15%, list=5%, signal=16%	
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	Details ...	25	-0.75797284	-1.5553497	0.010752688	0.6559878	1.0	174	tags=20%, list=3%, signal=21%	
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT	GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT		22	-0.7719388	-1.554195	0.019067796	0.6332093	1.0	553	tags=36%, list=11%, signal=41%	
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY		15	-0.8203764	-1.546264	0.008230452	0.665167	1.0	282	tags=27%, list=6%, signal=28%	
GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	GOBP_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS		16	-0.81568545	-1.5461022	0.010822511	0.6378323	1.0	276	tags=19%, list=6%, signal=20%	
GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION	GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION		27	-0.7405091	-1.5421259	0.01735358	0.6411448	1.0	252	tags=30%, list=5%, signal=31%	
GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION		38	-0.6845801	-1.5392116	0.018442623	0.6372927	1.0	889	tags=74%, list=18%, signal=89%	
GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS	GOBP_EMBRYONIC_HINDLIMB_MORPHOGENESIS		15	-0.7943425	-1.5281643	0.03601695	0.70026463	1.0	124	tags=13%, list=2%, signal=14%	
GOBP_SISTER_CHROMATID_SEGREGATION	GOBP_SISTER_CHROMATID_SEGREGATION		67	-0.6170956	-1.5219357	0.002105263	0.72254884	1.0	885	tags=61%, list=18%, signal=73%	
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL		17	-0.78228456	-1.5189664	0.033407573	0.72133887	1.0	184	tags=18%, list=4%, signal=18%	
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING		51	-0.64758813	-1.5174844	0.023157895	0.70854014	1.0	483	tags=14%, list=10%, signal=15%	
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION		29	-0.70550656	-1.5093534	0.02631579	0.75083077	1.0	565	tags=48%, list=11%, signal=54%	
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS	GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS		17	-0.7827223	-1.5068027	0.030434782	0.7477131	1.0	564	tags=18%, list=11%, signal=20%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION		47	-0.6530854	-1.5020323	0.018518519	0.7614413	1.0	376	tags=28%, list=8%, signal=30%	
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS		134	-0.55283564	-1.4998578	0.0	0.75578266	1.0	315	tags=19%, list=6%, signal=19%	
GOBP_HINDLIMB_MORPHOGENESIS	GOBP_HINDLIMB_MORPHOGENESIS		17	-0.77968997	-1.4993471	0.029017856	0.7374499	1.0	124	tags=12%, list=2%, signal=12%	
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC		36	-0.6652215	-1.4959404	0.02895323	0.74321026	1.0	174	tags=14%, list=3%, signal=14%	
GOBP_INTERLEUKIN_6_PRODUCTION	GOBP_INTERLEUKIN_6_PRODUCTION		94	-0.57801026	-1.4954684	0.0065789474	0.72588557	1.0	252	tags=17%, list=5%, signal=18%	
GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	GOBP_POSITIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT		28	-0.69955426	-1.4943355	0.036170214	0.7149698	1.0	71	tags=7%, list=1%, signal=7%	
GOBP_SUPEROXIDE_ANION_GENERATION	GOBP_SUPEROXIDE_ANION_GENERATION		21	-0.7346513	-1.4929439	0.046511628	0.7069144	1.0	348	tags=33%, list=7%, signal=36%	
GOBP_GLOMERULUS_DEVELOPMENT	GOBP_GLOMERULUS_DEVELOPMENT		47	-0.6348867	-1.4882098	0.024390243	0.7229626	1.0	548	tags=17%, list=11%, signal=19%	
GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	GOBP_NEUROMUSCULAR_JUNCTION_DEVELOPMENT		19	-0.7565873	-1.4823816	0.04535637	0.7479272	1.0	471	tags=16%, list=9%, signal=17%	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY		42	-0.66120464	-1.4817687	0.022271715	0.7341627	1.0	415	tags=12%, list=8%, signal=13%	
GOBP_RESPIRATORY_BURST	GOBP_RESPIRATORY_BURST		21	-0.741143	-1.4786364	0.03164557	0.740145	1.0	545	tags=43%, list=11%, signal=48%	
GOBP_MATURE_B_CELL_DIFFERENTIATION	GOBP_MATURE_B_CELL_DIFFERENTIATION		24	-0.7264416	-1.4764037	0.037113402	0.7387897	1.0	232	tags=38%, list=5%, signal=39%	
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS		17	-0.76235384	-1.4758968	0.055684455	0.725892	1.0	186	tags=18%, list=4%, signal=18%	
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN		129	-0.5427226	-1.4746879	0.0	0.7185784	1.0	315	tags=19%, list=6%, signal=19%	
GOBP_BONE_REMODELING	GOBP_BONE_REMODELING		43	-0.63463193	-1.4712605	0.0349345	0.7264455	1.0	296	tags=21%, list=6%, signal=22%	
GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS		78	-0.584983	-1.4670212	0.028508771	0.74039966	1.0	564	tags=14%, list=11%, signal=16%	
GOBP_CHROMOSOME_SEPARATION	GOBP_CHROMOSOME_SEPARATION		29	-0.6798572	-1.4648348	0.032989692	0.74007785	1.0	889	tags=69%, list=18%, signal=83%	
GOBP_PROSTANOID_METABOLIC_PROCESS	GOBP_PROSTANOID_METABOLIC_PROCESS		22	-0.7302923	-1.4626735	0.038961038	0.74059224	1.0	564	tags=18%, list=11%, signal=20%	
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE		17	-0.75966984	-1.460765	0.03167421	0.7392733	1.0	252	tags=35%, list=5%, signal=37%	
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS	GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS		24	-0.7128891	-1.4596409	0.048498847	0.73196965	1.0	608	tags=25%, list=12%, signal=28%	
GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY		17	-0.74326515	-1.4593087	0.049676027	0.72000325	1.0	158	tags=53%, list=3%, signal=54%	
GOBP_SINGLE_FERTILIZATION	GOBP_SINGLE_FERTILIZATION		41	-0.6413392	-1.4540412	0.03524229	0.7402573	1.0	154	tags=10%, list=3%, signal=10%	
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT	GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT		74	-0.5817185	-1.4510167	0.014925373	0.7464345	1.0	262	tags=9%, list=5%, signal=10%	
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION		24	-0.7139114	-1.4508293	0.05263158	0.7342829	1.0	71	tags=8%, list=1%, signal=8%	
GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING	GOBP_INFLAMMATORY_RESPONSE_TO_WOUNDING		16	-0.75596523	-1.4491436	0.052401748	0.73317415	1.0	378	tags=31%, list=8%, signal=34%	
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS		17	-0.76414186	-1.4450362	0.053097345	0.7478955	1.0	281	tags=24%, list=6%, signal=25%	
GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION	GOBP_REGULATION_OF_SISTER_CHROMATID_SEGREGATION		31	-0.670699	-1.4433217	0.05399061	0.7460808	1.0	885	tags=74%, list=18%, signal=90%	
GOBP_NEURON_MATURATION	GOBP_NEURON_MATURATION		22	-0.7184757	-1.4427159	0.046511628	0.7375865	1.0	294	tags=14%, list=6%, signal=14%	
GOBP_PEPTIDE_TRANSPORT	GOBP_PEPTIDE_TRANSPORT		105	-0.556451	-1.4423059	0.006651885	0.7273838	1.0	327	tags=12%, list=7%, signal=13%	
GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GOBP_B_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		41	-0.63163835	-1.4410108	0.021141648	0.72322595	1.0	232	tags=32%, list=5%, signal=33%	
GOBP_POSITIVE_REGULATION_OF_OSSIFICATION	GOBP_POSITIVE_REGULATION_OF_OSSIFICATION		28	-0.6782647	-1.440163	0.056872036	0.71707547	1.0	71	tags=7%, list=1%, signal=7%	
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS	GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS		126	-0.5286332	-1.4399712	0.015217391	0.7069889	1.0	365	tags=11%, list=7%, signal=12%	
GOBP_KETONE_METABOLIC_PROCESS	GOBP_KETONE_METABOLIC_PROCESS		76	-0.5680635	-1.4327743	0.015555556	0.74229366	1.0	535	tags=13%, list=11%, signal=15%	
GOBP_REGULATION_OF_PEPTIDE_TRANSPORT	GOBP_REGULATION_OF_PEPTIDE_TRANSPORT		77	-0.5687481	-1.4325596	0.017391304	0.7323996	1.0	327	tags=14%, list=7%, signal=15%	
GOBP_RESPONSE_TO_AXON_INJURY	GOBP_RESPONSE_TO_AXON_INJURY		33	-0.6524002	-1.4319564	0.05364807	0.72535837	1.0	142	tags=9%, list=3%, signal=9%	
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		32	-0.6481866	-1.4318242	0.04329897	0.7151676	1.0	378	tags=34%, list=8%, signal=37%	
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION	GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_12_PRODUCTION		28	-0.6655997	-1.4311885	0.051229507	0.707988	1.0	252	tags=21%, list=5%, signal=22%	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION	GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION		62	-0.58587813	-1.4300911	0.023454158	0.70449793	1.0	541	tags=19%, list=11%, signal=21%	
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION		23	-0.69913447	-1.4259363	0.051172707	0.7186939	1.0	211	tags=30%, list=4%, signal=32%	
GOBP_RESPONSE_TO_FUNGUS	GOBP_RESPONSE_TO_FUNGUS		35	-0.6383549	-1.425372	0.05672269	0.7123283	1.0	197	tags=14%, list=4%, signal=15%	
GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS	GOBP_REACTIVE_OXYGEN_SPECIES_BIOSYNTHETIC_PROCESS		28	-0.67129153	-1.4252214	0.06507592	0.70338404	1.0	162	tags=21%, list=3%, signal=22%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION		63	-0.5818781	-1.4221371	0.037777778	0.711715	1.0	252	tags=22%, list=5%, signal=23%	
GOBP_REGULATION_OF_CALCIUM_ION_IMPORT	GOBP_REGULATION_OF_CALCIUM_ION_IMPORT		20	-0.7134618	-1.4198184	0.06567796	0.7160752	1.0	120	tags=20%, list=2%, signal=20%	
GOBP_SUPEROXIDE_METABOLIC_PROCESS	GOBP_SUPEROXIDE_METABOLIC_PROCESS		36	-0.6334182	-1.4182746	0.05790646	0.7163253	1.0	348	tags=19%, list=7%, signal=21%	
GOBP_B_CELL_MEDIATED_IMMUNITY	GOBP_B_CELL_MEDIATED_IMMUNITY		73	-0.56504315	-1.4100274	0.04192872	0.7561392	1.0	418	tags=29%, list=8%, signal=31%	
GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	GOBP_POSITIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION		32	-0.64181817	-1.4092288	0.05364807	0.7510866	1.0	250	tags=16%, list=5%, signal=16%	
GOBP_NEGATIVE_REGULATION_OF_PEPTIDE_SECRETION	GOBP_NEGATIVE_REGULATION_OF_PEPTIDE_SECRETION		16	-0.7340258	-1.4078984	0.08817204	0.74977607	1.0	327	tags=13%, list=7%, signal=13%	
GOBP_RESPONSE_TO_ZINC_ION	GOBP_RESPONSE_TO_ZINC_ION		18	-0.7196491	-1.4064233	0.08583691	0.7487856	1.0	31	tags=11%, list=1%, signal=11%	
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY	GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY		20	-0.7022016	-1.4032291	0.06798246	0.7589726	1.0	598	tags=25%, list=12%, signal=28%	
GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION		23	-0.67463934	-1.3976232	0.07956989	0.78436244	1.0	879	tags=70%, list=18%, signal=84%	
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT		21	-0.6866969	-1.3961585	0.07805907	0.7839576	1.0	351	tags=24%, list=7%, signal=25%	
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	GOBP_NUCLEAR_CHROMOSOME_SEGREGATION		87	-0.5423179	-1.3925496	0.023504274	0.79627943	1.0	885	tags=54%, list=18%, signal=64%	
GOBP_ICOSANOID_METABOLIC_PROCESS	GOBP_ICOSANOID_METABOLIC_PROCESS		49	-0.59671485	-1.3922952	0.03950104	0.7881685	1.0	608	tags=20%, list=12%, signal=23%	
GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_IONOTROPIC_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY		15	-0.74604255	-1.3918954	0.09633028	0.781381	1.0	174	tags=13%, list=3%, signal=14%	
GOBP_RENAL_FILTRATION	GOBP_RENAL_FILTRATION		20	-0.7144077	-1.3913555	0.08928572	0.7755997	1.0	701	tags=30%, list=14%, signal=35%	
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION		19	-0.6949582	-1.3909017	0.09504132	0.7694528	1.0	335	tags=21%, list=7%, signal=22%	
GOBP_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_B_CELL_ACTIVATION		24	-0.666305	-1.388375	0.06952965	0.7762151	1.0	252	tags=33%, list=5%, signal=35%	
GOBP_FOREBRAIN_CELL_MIGRATION	GOBP_FOREBRAIN_CELL_MIGRATION		20	-0.69013923	-1.3859742	0.07939914	0.78129464	1.0	142	tags=10%, list=3%, signal=10%	
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS		24	-0.66889125	-1.3836402	0.0778032	0.7871256	1.0	411	tags=21%, list=8%, signal=23%	
GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_MITOTIC_SISTER_CHROMATID_SEPARATION		23	-0.6790615	-1.3817917	0.06904232	0.7894666	1.0	1089	tags=83%, list=22%, signal=105%	
GOBP_LUNG_MORPHOGENESIS	GOBP_LUNG_MORPHOGENESIS		26	-0.6601899	-1.3805178	0.06846473	0.7892571	1.0	276	tags=12%, list=6%, signal=12%	
GOBP_TISSUE_REMODELING	GOBP_TISSUE_REMODELING		96	-0.52920043	-1.3798803	0.01871102	0.7847949	1.0	296	tags=11%, list=6%, signal=12%	
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT		26	-0.66199195	-1.379461	0.07017544	0.7790558	1.0	178	tags=12%, list=4%, signal=12%	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_POSITIVE_REGULATION_OF_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION		91	-0.5383682	-1.3787128	0.026143791	0.7748785	1.0	362	tags=18%, list=7%, signal=19%	
GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION	GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION		16	-0.6994522	-1.3777568	0.114224136	0.772561	1.0	525	tags=19%, list=11%, signal=21%	
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS	GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS		61	-0.56998116	-1.3754143	0.03267974	0.778068	1.0	302	tags=8%, list=6%, signal=9%	
GOBP_CELL_MATURATION	GOBP_CELL_MATURATION		79	-0.54604554	-1.3713539	0.028199567	0.79431313	1.0	294	tags=8%, list=6%, signal=8%	
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER		21	-0.68599355	-1.3645422	0.088607594	0.8273735	1.0	263	tags=14%, list=5%, signal=15%	
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION		16	-0.7115177	-1.3626103	0.10147992	0.8302762	1.0	69	tags=19%, list=1%, signal=19%	
GOBP_CALCIUM_ION_IMPORT	GOBP_CALCIUM_ION_IMPORT		36	-0.6048724	-1.361731	0.06236559	0.82681406	1.0	120	tags=11%, list=2%, signal=11%	
GOBP_BONE_RESORPTION	GOBP_BONE_RESORPTION		30	-0.62960595	-1.3582971	0.09110629	0.83880156	1.0	296	tags=27%, list=6%, signal=28%	
GOBP_L_AMINO_ACID_CATABOLIC_PROCESS	GOBP_L_AMINO_ACID_CATABOLIC_PROCESS		21	-0.6785434	-1.356938	0.10745614	0.83895385	1.0	569	tags=29%, list=11%, signal=32%	
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS		59	-0.5597635	-1.3541136	0.059322033	0.84804314	1.0	449	tags=20%, list=9%, signal=22%	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION		61	-0.5586507	-1.3515792	0.07692308	0.8555282	1.0	885	tags=59%, list=18%, signal=71%	
GOBP_MACROPHAGE_ACTIVATION	GOBP_MACROPHAGE_ACTIVATION		64	-0.5469528	-1.3494368	0.053608246	0.8603677	1.0	348	tags=20%, list=7%, signal=22%	
GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT		65	-0.55069584	-1.3488787	0.05462185	0.85577387	1.0	370	tags=18%, list=7%, signal=20%	
GOBP_POSITIVE_REGULATION_OF_GROWTH	GOBP_POSITIVE_REGULATION_OF_GROWTH		91	-0.52503085	-1.3487873	0.029106028	0.8484813	1.0	313	tags=13%, list=6%, signal=14%	
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS		104	-0.52110624	-1.3487593	0.017582418	0.84088147	1.0	558	tags=16%, list=11%, signal=18%	
GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	GOBP_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS		50	-0.5729373	-1.3479861	0.07860262	0.8380078	1.0	604	tags=16%, list=12%, signal=18%	
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT		31	-0.6189419	-1.3475206	0.075789474	0.8328469	1.0	27	tags=10%, list=1%, signal=10%	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN		195	-0.4731784	-1.3471104	0.014403292	0.8277329	1.0	452	tags=19%, list=9%, signal=20%	
GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT		15	-0.71739364	-1.3462343	0.12445415	0.8254141	1.0	548	tags=20%, list=11%, signal=22%	
GOBP_AMIDE_TRANSPORT	GOBP_AMIDE_TRANSPORT		123	-0.501543	-1.3460224	0.034334764	0.81964797	1.0	327	tags=11%, list=7%, signal=12%	
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL		157	-0.4879351	-1.3423849	0.02079002	0.83317846	1.0	636	tags=15%, list=13%, signal=17%	
