membership_label,baseline_group_type,K,gep,median_delta,delta_q25,delta_q75,n_samples,median_ROGUE,median_n_cells,fraction_samples_positive,members_str,delta_IQR
Mono_CD14+Mono_CD14_THBS1,subgroup,16,1,-0.0673897958336365,-0.07580724802787664,-0.06576854115218815,3,0.9116126366769164,485.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.010038706875688488
Mono_CD14+Mono_CD14_THBS1,subgroup,17,1,-0.0676711932266516,-0.0761153639957563,-0.0659092398486957,3,0.9116126366769164,483.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.010206124147060597
Mono_CD14+Mono_CD14_THBS1,subgroup,18,1,-0.0674207740833922,-0.0758227371527545,-0.065784030277066,3,0.9116126366769164,485.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.010038706875688502
Mono_CD14+Mono_CD14_THBS1,subgroup,19,1,-0.05720952685151355,-0.06849716112882617,-0.04592189257420092,2,0.9214580200778608,146.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.02257526855462525
Mono_CD14+Mono_CD14_THBS1,subgroup,19,3,-0.042960647753273795,-0.054993623223917196,-0.0309276722826304,2,0.940677843761422,152.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.024065950941286794
Mono_CD14+Mono_CD14_THBS1,subgroup,19,4,-0.0379581422801389,-0.0379581422801389,-0.0379581422801389,1,0.9378017808675172,184.0,0.0,Mono_CD14+Mono_CD14_THBS1,0.0
Mono_CD14+Mono_CD14_THBS1,subgroup,20,1,0.00200391028864815,-0.00473000812576755,0.0067284216206983756,4,0.982734778021626,250.0,0.5,Mono_CD14+Mono_CD14_THBS1,0.011458429746465926
Mono_CD14+Mono_CD14_THBS1,subgroup,20,2,-0.0713413785567242,-0.0731433462534448,-0.0695394108600036,2,0.9093894891762536,137.5,0.0,Mono_CD14+Mono_CD14_THBS1,0.003603935393441199
Mono_CD14+Mono_CD14_THBS1,subgroup,21,2,-0.0001936072587998,-0.0052968193472215,0.001600307135867775,4,0.9805657992168556,245.5,0.5,Mono_CD14+Mono_CD14_THBS1,0.006897126483089275
Mono_CD14+Mono_CD14_THBS1,subgroup,22,1,0.0014449290296736999,-0.004721277913669875,0.0053890287026891,4,0.9828625967947565,252.0,0.5,Mono_CD14+Mono_CD14_THBS1,0.010110306616358975
