k_parent,k_child,parent_gep,child_gep,similarity,parent_celltype,child_celltype,celltype_match
11,12,9.0,10,0.9997,DC_family,DC_family,True
11,12,10.0,11,1.0,Mast,Mast,True
11,12,11.0,12,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,1.0,1,1.0,Monocyte_family,Monocyte_family,True
12,13,2.0,2,1.0,Mono_CD16,Mono_CD16,True
12,13,3.0,3,0.9996,DC_family,DC_family,True
12,13,4.0,4,1.0,Macrophage_family,Macrophage_family,True
12,13,5.0,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,7.0,6,1.0,DC_pDC,DC_pDC,True
12,13,6.0,7,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,8.0,8,1.0,Macrophage_family,Macrophage_family,True
12,13,9.0,9,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,10.0,10,1.0,DC_family,DC_family,True
12,13,11.0,11,1.0,Mast,Mast,True
12,13,12.0,12,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
12,13,12.0,13,0.9995,Ambiguous/Mixed,Macrophage_family,False
13,14,1.0,1,0.7264,Monocyte_family,Monocyte_family,True
13,14,2.0,2,0.9998,Mono_CD16,Mono_CD16,True
13,14,3.0,3,0.9988,DC_family,DC_family,True
13,14,4.0,4,0.9999,Macrophage_family,Macrophage_family,True
13,14,5.0,5,0.9969,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,5.0,6,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,6.0,7,0.9999,DC_pDC,DC_pDC,True
13,14,8.0,8,1.0,Macrophage_family,Macrophage_family,True
13,14,7.0,9,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,9.0,10,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
13,14,10.0,11,0.9999,DC_family,DC_family,True
13,14,11.0,12,1.0,Mast,Mast,True
13,14,13.0,13,1.0,Macrophage_family,Ambiguous/Mixed,False
13,14,12.0,14,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,1.0,1,0.4423,Monocyte_family,Mono_CD14_ID1,False
14,15,2.0,2,0.7049,Mono_CD16,Mono_CD16,True
14,15,3.0,3,0.9955,DC_family,Ambiguous/Mixed,False
14,15,7.0,4,0.9956,DC_pDC,DC_pDC,True
14,15,9.0,5,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,10.0,6,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,4.0,7,0.8137,Macrophage_family,Macrophage_family,True
14,15,11.0,8,0.9989,DC_family,DC_family,True
14,15,11.0,9,0.9988,DC_family,DC_family,True
14,15,12.0,10,0.9941,Mast,Mast,True
14,15,13.0,11,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,13.0,12,0.9991,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,14.0,13,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,13.0,14,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
14,15,13.0,15,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,2.0,1,0.8317,Mono_CD16,Ambiguous/Mixed,False
15,16,9.0,2,0.9964,DC_family,Ambiguous/Mixed,False
15,16,7.0,3,0.9921,Macrophage_family,Ambiguous/Mixed,False
15,16,12.0,4,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,13.0,5,0.998,Ambiguous/Mixed,Mast,False
15,16,13.0,6,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,15.0,7,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,10.0,8,0.9935,Mast,Ambiguous/Mixed,False
15,16,6.0,9,0.4577,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,15.0,10,0.9989,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,14.0,11,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,9.0,12,0.9991,DC_family,DC_family,True
15,16,10.0,13,0.6857,Mast,Ambiguous/Mixed,False
15,16,14.0,14,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,14.0,15,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
15,16,7.0,16,0.9995,Macrophage_family,Ambiguous/Mixed,False
16,17,1.0,1,0.9981,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,2.0,2,0.5475,Ambiguous/Mixed,DC_pDC,False
16,17,8.0,3,0.8435,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,5.0,4,0.9993,Mast,Mast,True
16,17,6.0,5,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,7.0,6,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,8.0,7,0.9995,Ambiguous/Mixed,DC_family,False
16,17,16.0,8,0.7843,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,9.0,9,0.7365,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,10.0,10,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,12.0,11,0.9998,DC_family,Ambiguous/Mixed,False
16,17,11.0,12,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,13.0,13,0.7695,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,14.0,14,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,15.0,15,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,16.0,16,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
16,17,9.0,17,0.5404,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,1.0,1,0.9986,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,2.0,2,0.9977,DC_pDC,DC_pDC,True
17,18,4.0,3,0.9989,Mast,Mast,True
17,18,5.0,4,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,9.0,5,0.7133,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,17.0,6,0.4817,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,7.0,7,0.9994,DC_family,DC_family,True
17,18,12.0,8,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,11.0,9,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,10.0,10,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,12.0,11,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,13.0,12,0.5693,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,13.0,13,0.5666,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,14.0,14,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,12.0,15,0.9999,Ambiguous/Mixed,Macrophage_family,False
17,18,12.0,16,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,16.0,17,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
17,18,9.0,18,0.5145,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,1.0,1,0.9813,Ambiguous/Mixed,Mac_SPP1,False
18,19,2.0,2,0.9954,DC_pDC,DC_pDC,True
18,19,10.0,3,0.9831,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,10.0,4,0.9906,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,7.0,5,0.9755,DC_family,DC_family,True
18,19,7.0,6,0.8388,DC_family,Ambiguous/Mixed,False
18,19,7.0,7,0.8201,DC_family,Ambiguous/Mixed,False
18,19,16.0,8,0.9988,Ambiguous/Mixed,DC_family,False
18,19,10.0,9,0.9952,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,3.0,10,0.9978,Mast,Mast,True
18,19,15.0,11,0.9987,Macrophage_family,Ambiguous/Mixed,False
18,19,4.0,12,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,7.0,13,0.998,DC_family,Ambiguous/Mixed,False
18,19,11.0,14,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,4.0,15,0.9979,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,14.0,16,0.999,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,4.0,17,0.9985,Ambiguous/Mixed,Ambiguous/Mixed,True
18,19,15.0,18,0.9995,Macrophage_family,Ambiguous/Mixed,False
18,19,8.0,19,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,4.0,1,0.3272,Ambiguous/Mixed,Monocyte_family,False
19,20,3.0,2,0.8329,Ambiguous/Mixed,cDC2_CD33,False
19,20,8.0,3,0.9723,DC_family,Mono_CD16,False
19,20,4.0,4,0.9942,Ambiguous/Mixed,Macrophage_family,False
19,20,9.0,5,0.9927,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,9.0,6,0.9963,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,9.0,7,0.9936,Ambiguous/Mixed,DC_family,False
19,20,18.0,8,0.9974,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,9.0,9,0.9947,Ambiguous/Mixed,Macrophage_family,False
19,20,9.0,10,0.9959,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,9.0,11,0.9959,Ambiguous/Mixed,DC_family,False
19,20,9.0,12,0.9986,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,12.0,13,0.9978,Ambiguous/Mixed,Mast,False
19,20,18.0,14,0.9991,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,19.0,15,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,14.0,16,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,14.0,17,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,14.0,18,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,14.0,19,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
19,20,14.0,20,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,2.0,1,0.8906,cDC2_CD33,cDC2_CD33,True
20,21,1.0,2,0.6716,Monocyte_family,Monocyte_family,True
20,21,4.0,3,0.9994,Macrophage_family,Macrophage_family,True
20,21,5.0,4,0.9956,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,8.0,5,0.9984,Ambiguous/Mixed,DC_pDC,False
20,21,5.0,6,0.9987,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,6.0,7,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,9.0,8,0.999,Macrophage_family,Macrophage_family,True
20,21,6.0,9,0.998,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,7.0,10,0.9988,DC_family,DC_family,True
20,21,10.0,11,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,14.0,12,0.998,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,11.0,13,0.9991,DC_family,DC_family,True
20,21,9.0,14,0.9978,Macrophage_family,Ambiguous/Mixed,False
20,21,12.0,15,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,13.0,16,0.9995,Mast,Mast,True
20,21,14.0,17,0.9985,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,19.0,18,0.9994,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,15.0,19,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,18.0,20,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
20,21,17.0,21,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,2.0,1,0.5698,Monocyte_family,Monocyte_family,True
21,22,1.0,2,0.8808,cDC2_CD33,cDC2_CD33,True
21,22,18.0,3,0.9716,Ambiguous/Mixed,Mono_CD16,False
21,22,3.0,4,0.999,Macrophage_family,Macrophage_family,True
21,22,4.0,5,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,5.0,6,0.9994,DC_pDC,DC_pDC,True
21,22,6.0,7,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,8.0,8,0.9992,Macrophage_family,Macrophage_family,True
21,22,7.0,9,0.9991,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,10.0,10,0.9997,DC_family,DC_family,True
21,22,9.0,11,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,11.0,12,0.9994,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,14.0,13,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,12.0,14,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,13.0,15,0.9992,DC_family,DC_family,True
21,22,16.0,16,0.9999,Mast,Mast,True
21,22,15.0,17,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,17.0,18,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,18.0,19,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,19.0,20,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,20.0,21,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
21,22,21.0,22,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,1.0,1,0.9996,Monocyte_family,Monocyte_family,True
22,23,2.0,2,1.0,cDC2_CD33,cDC2_CD33,True
22,23,3.0,3,1.0,Mono_CD16,Mono_CD16,True
22,23,4.0,4,1.0,Macrophage_family,Macrophage_family,True
22,23,5.0,5,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,6.0,6,1.0,DC_pDC,DC_pDC,True
22,23,7.0,7,0.9991,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,9.0,8,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,13.0,9,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,10.0,10,1.0,DC_family,DC_family,True
22,23,8.0,11,0.9999,Macrophage_family,Macrophage_family,True
22,23,11.0,12,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,14.0,13,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,12.0,14,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,15.0,15,1.0,DC_family,DC_family,True
22,23,7.0,16,0.9991,Ambiguous/Mixed,Macrophage_family,False
22,23,16.0,17,1.0,Mast,Mast,True
22,23,17.0,18,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,19.0,19,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,18.0,20,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,20.0,21,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,21.0,22,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
22,23,22.0,23,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,2.0,1,0.5181,cDC2_CD33,Mono_CD16,False
23,24,7.0,2,0.4743,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,9.0,3,0.9816,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,6.0,4,0.991,DC_pDC,DC_pDC,True
23,24,14.0,5,0.9968,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,7.0,6,0.8481,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,15.0,7,0.9986,DC_family,DC_family,True
23,24,20.0,8,0.9994,Ambiguous/Mixed,DC_family,False
23,24,13.0,9,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,23.0,10,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,9.0,11,0.9931,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,9.0,12,0.9981,Ambiguous/Mixed,Mac_SPP1,False
23,24,20.0,13,0.9996,Ambiguous/Mixed,DC_family,False
23,24,22.0,14,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,15,0.9991,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,16,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,17,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,8.0,18,0.9949,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,19,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,20,0.9993,Ambiguous/Mixed,DC_family,False
23,24,22.0,21,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,23.0,22,0.9983,Ambiguous/Mixed,Ambiguous/Mixed,True
23,24,22.0,23,0.9996,Ambiguous/Mixed,Macrophage_family,False
23,24,22.0,24,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,6.0,1,0.9785,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,12.0,2,0.9835,Mac_SPP1,DC_family,False
24,25,4.0,3,0.9929,DC_pDC,Ambiguous/Mixed,False
24,25,9.0,4,0.9951,Ambiguous/Mixed,DC_pDC,False
24,25,2.0,5,0.7429,Ambiguous/Mixed,Mac_IL1B,False
24,25,8.0,6,0.9979,DC_family,Ambiguous/Mixed,False
24,25,6.0,7,0.9404,Ambiguous/Mixed,Mast,False
24,25,12.0,8,0.9957,Mac_SPP1,Ambiguous/Mixed,False
24,25,12.0,9,0.9874,Mac_SPP1,Ambiguous/Mixed,False
24,25,12.0,10,0.9974,Mac_SPP1,Ambiguous/Mixed,False
24,25,13.0,11,0.996,DC_family,Ambiguous/Mixed,False
24,25,13.0,12,0.9984,DC_family,Ambiguous/Mixed,False
24,25,16.0,13,0.9988,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,,14,0.2804,,Ambiguous/Mixed,False
24,25,18.0,15,0.9979,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,18.0,16,0.996,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,19.0,17,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,13.0,18,0.9982,DC_family,Ambiguous/Mixed,False
24,25,3.0,19,0.8773,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,22.0,20,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,22.0,21,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,3.0,22,0.4916,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,19.0,23,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,3.0,24,0.5233,Ambiguous/Mixed,Ambiguous/Mixed,True
24,25,24.0,25,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,3.0,1,0.9984,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,23.0,2,0.9974,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,1.0,3,0.9674,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,17.0,4,0.9988,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,15.0,5,0.9969,Ambiguous/Mixed,Mast,False
25,26,12.0,6,0.9994,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,12.0,7,0.9987,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,18.0,8,0.9992,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,17.0,9,0.9997,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,17.0,10,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,17.0,11,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,15.0,12,0.9965,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,18.0,13,0.998,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,23.0,14,0.63,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,18.0,15,0.9978,Ambiguous/Mixed,Mac_SPP1,False
25,26,23.0,16,0.794,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,23.0,17,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,22.0,18,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,21.0,19,0.999,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,22.0,20,0.7363,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,20.0,21,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,16.0,22,0.4368,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,17.0,23,0.9997,Ambiguous/Mixed,Macrophage_family,False
25,26,17.0,24,0.9999,Ambiguous/Mixed,Macrophage_family,False
25,26,14.0,25,0.667,Ambiguous/Mixed,Ambiguous/Mixed,True
25,26,22.0,26,0.5434,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,1.0,1,0.9952,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,6.0,2,0.974,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,2.0,3,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,12.0,4,0.9976,Ambiguous/Mixed,Mast,False
26,27,21.0,5,0.9982,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,6.0,6,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,10.0,7,0.9996,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,17.0,8,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,24.0,9,0.9998,Macrophage_family,DC_family,False
26,27,10.0,10,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,17.0,11,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,24.0,12,0.9999,Macrophage_family,Ambiguous/Mixed,False
26,27,17.0,13,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,12.0,14,0.9993,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,13.0,15,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,1.0,16,0.8158,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,15.0,17,0.9965,Mac_SPP1,Macrophage_family,False
26,27,,18,0.2609,,Ambiguous/Mixed,False
26,27,16.0,19,0.6102,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,21.0,20,0.9995,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,11.0,21,0.7946,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,21.0,22,0.9998,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,16.0,23,1.0,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,24.0,24,1.0,Macrophage_family,Macrophage_family,True
26,27,17.0,25,0.9999,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,25.0,26,0.6939,Ambiguous/Mixed,Ambiguous/Mixed,True
26,27,,27,0.2858,,Ambiguous/Mixed,False
27,28,2.0,1,0.6058,Ambiguous/Mixed,Ambiguous/Mixed,True
27,28,17.0,2,0.7256,Macrophage_family,DC_family,False
27,28,3.0,3,0.9963,Ambiguous/Mixed,Ambiguous/Mixed,True
27,28,9.0,4,0.9992,DC_family,Ambiguous/Mixed,False
27,28,4.0,5,0.9915,Mast,Ambiguous/Mixed,False
27,28,6.0,6,0.9936,Ambiguous/Mixed,Ambiguous/Mixed,True
