GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
11,0.8478780455818913,0.9767064927753271,0.9826785946561936,0.9775741967658138,0.5885861253367743,0.9829917424328167,0.8504539730328097,0.9879324997619412,0.9769742692802658,0.9901331251830231,0.9849884607694014,0.9878228098761698,0.986851982375809,0.2053029017370681,0.9957382228790994,0.9947029615453304,0.9832609362964737,0.9935213024202504,0.8566887065477993,0.9916321741898064,0.9907769676062091,0.4823546870854967,0.982524413656934,0.5135512314752941,0.9825594181138239
12,0.8271745658640438,0.983467789180727,0.989869827905451,0.9872574750123194,0.5558634998061514,0.9918576847077852,0.8133784650330794,0.9956624504510257,0.9874113604005078,0.9974357061216327,0.9936423326415843,0.9955644170102734,0.9959066199348068,0.179970749511602,0.9962753738170549,0.994215806954646,0.9911224400205213,0.9972453435164872,0.8328144048746459,0.9953310819820045,0.9938819329263072,0.4467295392729518,0.9905685811966313,0.49754185154211317,0.9906515671440056
13,0.7892687509659779,0.9760530838118121,0.9910420930450278,0.9945154342744952,0.49152705436138205,0.9972625968920409,0.7678603006869761,0.9927337634414107,0.9766816815974467,0.9971376582903105,0.9959987870541633,0.9984208063470544,0.9979907985755122,0.16069665989399198,0.9935938611494273,0.9911678234322991,0.9986993242144377,0.9981744883870195,0.8112301599753806,0.9968797799950293,0.9970571922975634,0.41914053575750193,0.9985081577229713,0.5009002532555321,0.9984480893677173
14,0.7746941316909522,0.9703337319036834,0.9865732848518534,0.9932715302239864,0.48769567002284214,0.9972112878122769,0.7530553456253503,0.9907400949242301,0.9736501290057717,0.996025988528356,0.994738644838082,0.9978409863370149,0.9983586887952329,0.15314141456752056,0.9926991283232625,0.9883764988577661,0.9998496160860187,0.9975855844071753,0.7999589585936429,0.9961893796764878,0.996292402059106,0.40284716435275375,0.999778772608775,0.5004742471381035,0.9997696076127499
15,0.7742155290761266,0.9716187520951028,0.9885130214229392,0.995053553951649,0.4833761992599539,0.9970244539770716,0.7528551893894856,0.991299285271718,0.9742015262784856,0.9962088362468877,0.9958763924495715,0.9978403995856213,0.9980812349095164,0.15579616021605586,0.9929290511634444,0.9887974628813747,0.9993252474078311,0.9975738965780416,0.8082530397082884,0.9961457595957445,0.9966496836120812,0.4103074041929299,0.9991793597346779,0.4957437232856659,0.9991747648440422
16,0.7705232033838327,0.9701262187976812,0.9865295121952902,0.9932732394556225,0.4839454525318693,0.9971452111169475,0.7502647998839312,0.9905092360835124,0.974600684334365,0.9958410540313587,0.9944906701901822,0.9977698311517509,0.9987786039724146,0.15449967983657684,0.9928038423199949,0.9889103828448936,0.9996712867715443,0.9976527295443255,0.8003475284156336,0.9969945820160154,0.9968873687122589,0.40370587758882553,0.9996469920564865,0.5055086820272289,0.9996577627423823
17,0.7650693080211678,0.9685507436666312,0.9851202614213944,0.9929861405104996,0.4789634978068748,0.9973706658777158,0.7439398155244921,0.9891831670832835,0.9713815514641451,0.9948851032114254,0.9938431425307725,0.9971182063285656,0.9980074984504601,0.15122429919561028,0.9917435200018586,0.9873047564320395,0.9999080994518275,0.996941689581891,0.7974768134805303,0.9960813487116731,0.9962709643582899,0.39801724144739264,0.9999232008545496,0.5019696455299961,0.9999029968223314
18,0.8319305183399853,0.9732076242718073,0.9807895588089041,0.9793708301315118,0.5715782761558804,0.9870128260156358,0.8306782139952161,0.9880090814098323,0.9717807762589386,0.9914104289771749,0.9849284651360379,0.9895574147047167,0.9894769988404727,0.2032133733938564,0.9978975673971957,0.9959975844154099,0.9881245029624993,0.995658392729779,0.8450824992550557,0.9938368418319277,0.9933315001790983,0.4640780391855605,0.9875745825563491,0.5219489325802473,0.9875797932884212
19,0.7675558385380443,0.9669594444534767,0.9854446257313484,0.9934861073625779,0.4761781625299884,0.9967505072726809,0.7462835706948981,0.9885603722786399,0.9709072479480453,0.9945275019241212,0.993840556986795,0.9970934471862934,0.997667547273864,0.1489544034167463,0.9912357357603039,0.9868929770977126,0.9999811265520505,0.9965892322743279,0.7957454908894183,0.995737220922941,0.9960823408647321,0.3940531444709139,0.9999813861352447,0.49814200384957136,0.99997183534573
20,0.7712513931323962,0.9687633603877502,0.9860648228130302,0.9934416531239599,0.47882370169402494,0.9972226588759121,0.7495838588339385,0.9891784436075244,0.9711705040775988,0.9949391346992655,0.993969529773653,0.9972147373997672,0.9977804281253424,0.15186503403019644,0.9916632689950393,0.9878256648006195,0.9999097312410506,0.9969508509635849,0.7978895993861345,0.9961153757649411,0.996411924570861,0.39851009048808334,0.9999005312701316,0.4995381647279994,0.9998654178376917
