GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
21,0.46817618746874307,0.9682202506990548,0.9939534855193293,0.9873562561766844,0.9972605391562039,0.9980907307297041,0.9945177162106249,0.9991520458581821,0.9611025905018362,0.9998994072789117,0.9984371301905431,0.992471814886361,0.9980638598927329,0.9997805702001394,0.9974205089151416,0.1903632465849439,0.6296587499714106,0.08876529349807029,0.08871017240451366,0.9997047358248285,0.9999609383485787,0.06785502527482136,0.30999933619013254,0.99992123207758,0.08871024520651112,0.30954375376024057,0.9999812040870097,0.9999945509780375,0.19031692776943288,0.30926578150248185,0.7951707204531263,0.08857408595019127
22,0.467259990678827,0.9690701342323479,0.9942532303230014,0.9875995412574504,0.9974244482137856,0.9983439222241489,0.9945558555100676,0.9992462728368919,0.9619171001885366,0.9999332192904669,0.9986863063692075,0.9928879868036682,0.9983519955140087,0.9998324661385541,0.9976108904116601,0.19216496939212516,0.6320659581309941,0.08993396657388383,0.08973409144075892,0.9998311513327408,0.9999419133735469,0.06890379606410078,0.3109012959492026,0.999924839498288,0.089734219612062,0.3116379223997792,0.9999787212612053,0.9999780240486963,0.19129841091538718,0.3094554109346661,0.7957530496797905,0.08945039686676595
23,0.010367038622468754,0.0520898358265542,0.04850737827406876,0.0473592580204233,0.04795395622181385,0.05212512814389654,0.044972542640412436,0.053601288441063676,0.044588912043651466,0.05233672504518238,0.055570450453796785,0.05324936323242365,0.05519500676302697,0.05234348011838495,0.054760356349522615,0.1223597895997773,0.06089886301576921,0.3013679477563963,0.3012101892457049,0.05407539823815349,0.051380208181516625,0.4963410402481483,0.08619926668702109,0.05133360677288505,0.3011507352076739,0.08616378891209454,0.05162448975544287,0.05146070128352416,0.12221698018229217,0.027360728606930597,0.05557999106797313,0.07249747815916051
24,0.1573685078295183,0.4043790506527412,0.40114549553625306,0.4037434774657375,0.38723455168542864,0.39821425028410845,0.38521838675953046,0.40425855130537985,0.39486933079182324,0.398297171428694,0.41224649119423584,0.3965507057321811,0.4085990126501862,0.39948031895781067,0.406585085125982,0.3947450591068996,0.33440104513426905,0.14940058572118767,0.14944099735272523,0.4021134156078401,0.39509916556194025,0.10651273419160832,0.20579915918371453,0.39665986780618256,0.14944109359711882,0.38878728541879587,0.3941236756798278,0.3923440059811596,0.09589676671439175,0.20586144160567235,0.2746223038388979,0.14921436852419181
25,0.09720571809422437,0.2911211052917309,0.2942268634887164,0.29517554759767006,0.2894557230259514,0.30375614357292197,0.296227227632686,0.3176501994218789,0.2820730874663652,0.3123094374740089,0.3164431051809645,0.3016653046842381,0.31405011447064507,0.31302819647568436,0.3138825364176502,0.24408521872057437,0.1375287273446164,0.07202813137789185,0.1792473247809475,0.31429412423176567,0.31105241862031047,0.045468658856629,0.26552253870179165,0.31108400873029135,0.17924745452256854,0.5142023203902443,0.31054669228691056,0.31021961594742525,0.11777255021715104,0.26539635867157113,0.20773455339632102,0.17969437720828493
26,0.01514181897667821,0.06464786665807039,0.06290422257087268,0.05986169877809601,0.0619751500244809,0.06800062634366723,0.05785785890409483,0.07029681606146573,0.055296209160795896,0.06886661849498386,0.07201065824124869,0.06707890218593246,0.07170025082195385,0.06891662034563767,0.07010852609385027,0.18972262921349412,0.08287164489628339,0.15370759376578405,0.5524172442886445,0.07067658291080613,0.06760584533296769,0.25017723258617697,0.1251923712114479,0.06751609707128557,0.552404226682105,0.12507415341399125,0.06796660976217744,0.06780329662745747,0.18956738141069643,0.045523764628168165,0.07434689864646765,0.15355168337073644
27,0.08547431886949033,0.18856577563004864,0.16018278422061422,0.16756838418570955,0.14886689108069706,0.15885942291839486,0.15031976634626218,0.15585686467624685,0.17879895955055566,0.15127140084105622,0.16591803029835253,0.1654287479947079,0.1629647025831021,0.15294584105097403,0.16339570533107534,0.6662013783162408,0.198017673310881,0.4005169104887089,0.1420653423011666,0.15500561363578524,0.14892498817540878,0.2502913422011835,0.16640180965229803,0.15029062994941159,0.14206219326061484,0.36232022896149435,0.14926200048253616,0.14795291326928606,0.05154859711989113,0.03487786934611371,0.08513038170863411,0.050357931611259274
28,0.46732844143382174,0.969400185461168,0.9942223969337559,0.9876268703605281,0.9973719176116879,0.9982409012141968,0.9946336328628086,0.9993587791882392,0.9621795741799146,0.9999601175008683,0.9986466239635249,0.993057962311938,0.9982531408657926,0.9998411057097423,0.9977078369902327,0.1924199637723705,0.6323446350009074,0.08923558726876284,0.08939177636729005,0.9997945744327622,0.9999673692710628,0.06837686597189697,0.3088528988630585,0.9999490738463863,0.0893915304454582,0.3117591594884247,0.9999885586994768,0.9999825409901749,0.19014184975120166,0.3095486508785477,0.7917155804680537,0.08923534343477539
29,0.4668931571606905,0.9688098413446166,0.9940889497262949,0.9874895901044967,0.9973506304003081,0.9981706777247263,0.9945826797649091,0.9992630802777999,0.9616306212801365,0.9999305274272953,0.998538028274582,0.992730063884764,0.9981643291927123,0.999804916417212,0.9975322770959257,0.1915572780455091,0.6314290060249448,0.0888228215864727,0.08892937674603414,0.9997481961177397,0.9999610647518253,0.06802014015824977,0.30904998933586886,0.9999571939746956,0.08892930598845143,0.31103033760238946,0.9999937222401136,0.9999883748183432,0.1899779114924129,0.3104814661705741,0.791136939827295,0.08872105641199253
30,0.3872768745729373,0.6290336788015786,0.6427256148133245,0.632270394233874,0.6269191836128863,0.6322557922337398,0.6344659161498035,0.6305253616602745,0.6387449817325141,0.6327575966065567,0.623782667623264,0.6480405078050758,0.6141066858356795,0.6293162064480534,0.6502660253540167,0.1349824901694427,0.35081555318619784,0.0482066983388687,0.04819504406812849,0.6283820274550167,0.6298595038930849,0.032483126844666615,0.13757973528105538,0.6304437670814473,0.048171940333115254,0.24931153885530383,0.63008590260505,0.6296492668090327,0.06938297680108452,0.24877188628494123,0.4708911892972579,0.11105344365051521
31,0.46810743431412183,0.9686743879607097,0.9940788315742071,0.9875037915276677,0.9973644184963216,0.9981581193034629,0.9946217902891874,0.9992202550942382,0.9615518504537823,0.999919002632655,0.9984995509330562,0.9926823393376081,0.9981200538239141,0.9997977976709939,0.9975070397192465,0.19065590317540132,0.6305667031679619,0.08867118535117983,0.08872471406425018,0.9997273305201887,0.9999667991781,0.06782497938278861,0.30956758493149494,0.9999380452487389,0.08872470320951481,0.3097044005249417,0.9999901720677754,0.9999947228843892,0.19019071889579728,0.309404337728759,0.7936129135203341,0.08865174614542391
