pathway,K5,K6,K7,K8,K9,K10
MERGED_ELF3_AGBL2_POSITIVE,3,3,3,3,3,2
MERGED_ELF3_HIGH_EPITHELIAL,2,2,1,1,1,7
MERGED_ENDOCARDIAL,4,4,5,7,8,9
MERGED_ENDOTHELIAL_CELLS_AEA_AND_DVR,4,4,5,7,8,9
MERGED_ENDOTHELIAL_CELLS_AVR,4,4,5,7,8,9
MERGED_ENDOTHELIAL_CELLS_GLOMERULAR_CAPILLARIES,4,4,5,7,8,9
MERGED_ENDOTHELIAL_CELLS_UNASSIGNED,2,2,1,7,8,1
MERGED_ENS_GLIA,4,4,5,5,5,6
MERGED_ENS_NEURONS,2,2,1,1,1,7
MERGED_ENTEROCYTE,3,3,3,3,3,2
MERGED_ENTEROCYTE_PROGENITOR_SUBTYPE,3,3,3,3,3,2
MERGED_EPCAM_POS_BILE_DUCT,3,3,3,3,3,2
MERGED_EPICARDIAL,3,3,3,3,3,7
MERGED_EPICARDIAL_FAT,3,6,7,8,9,10
MERGED_EPITHELIAL_CELLS_UNASSIGNED,4,4,5,5,5,6
MERGED_EPSILON,2,2,1,1,1,1
MERGED_EREG_DENDRITIC,5,5,6,6,7,8
MERGED_ERYTHROBLAST,2,2,1,1,1,1
MERGED_EXTRAVILLOUS_TROPHOBLASTS,2,3,3,7,8,7
MERGED_EX_4_EXCITATORY_NEURON,4,4,5,7,8,9
MERGED_FAP,4,4,5,5,5,6
MERGED_FBN1_FAP,4,4,5,5,5,6
MERGED_FGFBP2_POS_NEURAL_PROGENITOR,4,4,5,7,8,9
MERGED_FGFR1HIGH_EPITHELIAL,4,4,5,5,5,6
MERGED_FGFR1LOW_EPITHELIAL,1,1,2,2,2,3
MERGED_FIBROBLAST,4,4,5,5,5,6
MERGED_FIBROBLASTS_STROMAL,4,4,5,5,5,6
MERGED_FIBROBLAST_LIKE,4,4,5,5,5,6
MERGED_FIBROCARTILAGE_CHONDROCYTE,3,3,3,3,3,2
MERGED_FIBROMYOCYTE,4,4,5,7,8,9
MERGED_FOLLICULAR_B,1,1,4,4,6,4
MERGED_G,2,2,1,1,1,7
MERGED_GAMMA,4,4,5,3,3,2
MERGED_GANGLION,2,2,1,1,1,1
MERGED_GHRL_POS_NEUROENDOCRINE,4,4,5,5,5,6
MERGED_GHRL_POS_NE_PRECURSOR,2,2,1,1,1,1
MERGED_GLIAL,2,2,1,1,1,7
MERGED_GMP,2,2,2,2,2,7
MERGED_GOBLET,3,3,3,3,3,2
MERGED_GRANULATING_CANCER_ASSOCIATED_FIBROBLAST,5,5,6,6,7,7
MERGED_GRANULOCYTE_MACROPHAGE_PROGENITOR,5,5,6,6,7,8
MERGED_GRANULOSA,2,2,1,1,1,7
MERGED_GRIA2_POS_ARTERIAL_ENDO,4,4,5,7,8,9
MERGED_HDA,3,3,3,3,3,1
MERGED_HDA1,2,2,1,1,1,1
MERGED_HDA2,2,2,1,1,1,7
MERGED_HEMATOPOIETIC_STEM,5,5,6,6,7,3
MERGED_HEPATOBLAST,3,3,3,3,3,2
MERGED_HEPATOCYTE,3,3,3,3,3,7
MERGED_HGABA,2,2,1,1,1,1
MERGED_HIGH_GRADE_CHONDROSARCOMA,4,4,5,5,5,7
MERGED_HMGL,1,1,6,6,7,8
MERGED_HNBGABA,4,2,1,1,6,1
MERGED_HNBM,2,2,1,1,1,1
MERGED_HNBML1,2,2,1,1,1,7
MERGED_HNBML5,2,2,1,1,1,1
MERGED_HNPROG,2,2,1,1,1,1
MERGED_HOMTN,2,2,1,1,1,7
MERGED_HOPC,2,2,1,1,1,7
MERGED_HORIZONTAL,2,2,1,1,1,1
MERGED_HPERIC,4,4,5,5,5,6
MERGED_HPROGBP,2,2,1,1,1,1
MERGED_HPROGFPL,2,2,1,1,1,1
MERGED_HPROGFPM,2,2,1,1,1,1
MERGED_HPROGM,2,2,1,1,1,1
MERGED_HRGL1,4,2,1,1,1,7
MERGED_HRGL2A,4,4,5,5,5,7
MERGED_HRGL2B,2,2,1,1,1,7
MERGED_HRGL2C,2,2,1,1,1,7
MERGED_HRGL3,4,4,5,5,5,7
MERGED_HRN,4,4,1,1,1,7
MERGED_HSC,1,1,2,2,2,1
MERGED_HSC_ELP,1,1,2,2,2,3
MERGED_HSC_MULTIPOTENT_PROGENITOR,1,1,2,2,2,3
MERGED_HSERT,2,2,1,1,1,7
MERGED_HYPERTROPHIC_CHONDROCYTE,3,3,3,3,3,7
MERGED_IGFBP1_DKK1_POSITIVE,4,4,5,5,5,6
MERGED_IGSF21_DENDRITIC,5,5,6,6,7,8
MERGED_ILC2,5,5,6,6,7,8
MERGED_ILC3,5,5,6,6,7,8
MERGED_ILCP,5,5,6,6,7,8
MERGED_IMMATURE_NEURONS,2,2,1,1,1,7
MERGED_IMMATURE_NEUTROPHIL,5,5,6,6,7,8
MERGED_IMMATURE_PIT,3,3,3,3,3,2
