GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11,0.7560535622432265,0.9497561514659631,0.3104813458103803,0.9969815578851212,0.23399346095164808,0.30683757564479375,0.9454154644169379,0.7899591045056789,0.7871492048083223,0.9802203014469655,0.7636830735058512,0.630130293917233,0.9926410752702183,0.9926334038136048,0.9956660562771383,0.7755104263195421,0.9943988196293931,0.9953224354876734,0.9952867518512764,0.995201236473575,0.9934872769036425,0.9947945143364834,0.7624352113176273,0.7769672215117681,0.7768292491545148,0.616357429112232,0.4742983812785712,0.9946561603939292,0.7728911825498274
12,0.7502008078803114,0.9276127101547134,0.3953738856836207,0.9728732156021581,0.29033486212015913,0.3878771186227999,0.9401839905074939,0.8332711005041027,0.8291617168430433,0.9655930189604942,0.7916933779971513,0.6624376191904017,0.9928298794846917,0.9859592879568315,0.9819231397720399,0.7475104589880052,0.9869244364014205,0.9819776236376528,0.9863883946263994,0.9859037089318153,0.9841371178656306,0.9850621744622632,0.788794889368478,0.7471754523210953,0.7469653721569457,0.6021263354319384,0.49792156308245644,0.9831100244639939,0.7574395278404171
13,0.7727155358448897,0.9432384315263092,0.3306457440985331,0.9863066819585238,0.26327269873310966,0.33411395609877015,0.9400311603512156,0.7831876713029233,0.7832842440958618,0.9841601093837828,0.7824463784360969,0.6292007859090857,0.9985384590242248,0.9976427685440568,0.9955794852782354,0.8009474768242513,0.9967706433087609,0.9961496080922912,0.9985769212020383,0.9985381798932941,0.9959635350226412,0.9980272907177867,0.797562382709985,0.8010682455303162,0.8010809982137079,0.644896532242669,0.4910337819072045,0.9967805019005025,0.7916728311657032
14,0.7452923368365771,0.9408297121852238,0.3257145908417475,0.9858654027224187,0.24810603236347653,0.315748548402187,0.9415273250643985,0.7803332801683405,0.7766231271540356,0.9837572243406478,0.7509453169960554,0.6043301955839582,0.9977614113923592,0.9978358958888285,0.9966823304523382,0.798040563506023,0.9972997002752935,0.9969972458102092,0.9992752461000799,0.9987451054095067,0.9974216746743849,0.9986428965260898,0.8030042917170788,0.798219539333228,0.7981968154175093,0.6180224093065962,0.4906821803650702,0.9976673006481489,0.7898041109741509
15,0.7502063497729964,0.9389463071199018,0.3931873907690543,0.976153426913812,0.3017785274182712,0.38459238322019984,0.9407997119806275,0.8205253223551543,0.7946387927280053,0.9726617562016773,0.7752292239399208,0.6545953483760123,0.9959579269492358,0.9944675455240557,0.9857509513103833,0.7886512226688528,0.9878382044154779,0.9863509712763215,0.9920146484261566,0.9918965844090223,0.9908156401219474,0.9906141276844612,0.7530491714336979,0.7867756381958545,0.7865310371890034,0.6245999670283706,0.46374330321719665,0.987819897982444,0.7307802181430932
16,0.7533983295280614,0.9403171155862148,0.3783706255643035,0.9793817120132429,0.2748387901786717,0.36933354513472877,0.9484612245632842,0.8145646693897419,0.8035528662453574,0.9772848735886012,0.7844922151243154,0.6517209623263059,0.9988072956746723,0.9937785366578981,0.9898885069903961,0.7509320144954126,0.9932633646344234,0.9904259011691655,0.9942863800325542,0.9937827953723254,0.992810856476305,0.9931545529979561,0.7945770415732929,0.7501940786287052,0.7499894112475205,0.598697012681199,0.4935065959528184,0.9912098453787616,0.7930988531989764
17,0.7734946837791684,0.9473773514083011,0.3079018983541069,0.9881887754684621,0.24237896445850296,0.3126550667154497,0.9409181654526552,0.7729048286600931,0.7725712252177019,0.989989308521749,0.7753727491098765,0.6204697929060495,0.9950416665461898,0.9958535735728332,0.9991147364982621,0.7916794180277044,0.999911543094032,0.9993369522477565,0.9987662981466273,0.9989565530406049,0.9977467635915085,0.9992338579431507,0.7900410459457872,0.7929512386609036,0.7928964815516317,0.6342768973418136,0.49873396131999875,0.99942002010801,0.7912284646685191
18,0.748071288103274,0.9460112060551825,0.32101949106440913,0.9874215715282674,0.2391890636346542,0.3110482338116125,0.9453761741551736,0.7784738468793354,0.7699415829319586,0.9864716076411344,0.7512359917046403,0.6020424936547422,0.9971188833702382,0.9977825299036308,0.998218168290362,0.7850224156670765,0.9983660970775157,0.9983392714590434,0.9998794665295296,0.999209644967826,0.9986114070873608,0.9991592340776917,0.8014218772668176,0.7853485223432676,0.7853403389125372,0.6080905520649282,0.4764397169682153,0.9988292739121026,0.7760093748987515
19,0.7393257154940307,0.9495769203122327,0.3319422309850853,0.9849316052032447,0.24972233298952604,0.3188096375622881,0.949761223584083,0.7808946253344254,0.7766175125891358,0.9861560678951783,0.7438943362906243,0.6005365468236463,0.9947034907299749,0.9953013525943881,0.9973844522587563,0.8009401562013788,0.9970202116254184,0.997392454600145,0.9981582423221922,0.9974686080656503,0.999658775202616,0.9983163061821448,0.802892493679699,0.8002948293352447,0.8001551694846963,0.6129416089212346,0.45473428338279426,0.9980118439937193,0.7643636849839698
20,0.9661938254275416,0.8373773387534592,0.18018587819322995,0.7975342411957225,0.2737250194487985,0.36231981299505805,0.6353239701424497,0.5534852442194907,0.6133863336034453,0.8456707291474655,0.9639145145436501,0.7557310817248066,0.7855697319749481,0.7912609154576263,0.7860568662290891,0.6105833241536518,0.8024132995671083,0.788626494810137,0.7875772740232607,0.8096038467849263,0.7612223440681725,0.8004410539545592,0.5981044507137223,0.6063416341617212,0.6098771083078076,0.772073440589501,0.6094021536902499,0.7931435240748635,0.6148495917007673
