GEP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
11,0.9494249625584069,0.2139756295876705,0.9659011850437587,0.39191605991424133,0.50109579041184,0.43080488527406796,0.6065198292373508,0.979158979660355,0.9659427463673214,0.9903781876713394,0.9781070389687729,0.9770329774754628,0.9907428476221609,0.9816586817305405,0.9880555002081645,0.9839629216869379,0.4308357006884686,0.9820231729137654,0.9863621959996962,0.7978706067481937,0.983419940379046,0.9831278027200603,0.9838826034252338,0.3695161688700912,0.6097127901677722
12,0.835930437844761,0.08496989071759829,0.7630510316201002,0.23808264873752602,0.2498682716704135,0.2664864333931163,0.7685327912343715,0.7597554967868644,0.801477157157843,0.7932497481317379,0.7582603881163259,0.8023234338978164,0.7741506485759895,0.7871032843975962,0.7913457789080481,0.8021541976861336,0.3336222227193249,0.7948914874615864,0.8068333867469709,0.9975019885137753,0.7947569728078409,0.780024485457504,0.7900405223376561,0.44924960150166304,0.7709495958314728
13,0.9603072347842169,0.21333685443378012,0.9693694709223685,0.37382545597790934,0.4656482734197939,0.39841137382730984,0.6213761665774157,0.9971355489701723,0.972427491438733,0.989526817516088,0.9840314198488144,0.9836137098831544,0.9857230818070004,0.9877240093190636,0.9904395406198091,0.9939611159445699,0.44076182934275543,0.988526957687991,0.9947869827792618,0.7825306269047433,0.9911142886455903,0.9884520419562486,0.9906910348574294,0.3650887740901738,0.6251614507801351
14,0.9614606815148858,0.16680227737957615,0.9758643594359367,0.28918909132758586,0.4458605428331601,0.3142194083254972,0.5879660233931808,0.9744814593418297,0.9783159561762097,0.9814149575693788,0.9983343654213783,0.9891271256176297,0.9652488065125286,0.9941115699867361,0.9920834277278631,0.9882039087948933,0.4668407417159823,0.9922847298722315,0.990895258933293,0.731996308726393,0.9914219293679452,0.9939361507348007,0.9931480214144428,0.3464123137911522,0.5855146840453622
15,0.9704815579582509,0.17741559710274624,0.9741169255640036,0.32218281326148995,0.4342379385354111,0.3503812579172395,0.6032225615435118,0.9824331620764186,0.9837050682556023,0.9911466256096041,0.9939298541360307,0.9924948780621965,0.9813689766666155,0.9953599759341206,0.9973430569231319,0.9940252367508168,0.5015503558013203,0.995683454394915,0.9954349387833621,0.7545554830324811,0.9958252820095441,0.9960341558300005,0.9965126437844725,0.3720086076278406,0.6050133050830785
16,0.5744415750773714,0.029140681334924524,0.4119595018240665,0.16694100972474968,0.12594902803361463,0.13738327060885497,0.7195496322160239,0.4912670573303534,0.4739192237578396,0.4565823490146172,0.4618482410440592,0.48704399199197623,0.4385621375743018,0.4671019566287358,0.4747173662422672,0.5096663888819434,0.25797131015206853,0.4990841876881747,0.5112933237743192,0.5941610497701041,0.4946477620739665,0.4731485009257158,0.49127397306831405,0.7625620891358057,0.7570074110799654
17,0.9768174581713928,0.16630195900600672,0.9766576233696901,0.31542993434002947,0.410537432705554,0.3301648280825905,0.6179645409471899,0.9873000408425007,0.9859294683240005,0.9909421738439657,0.9950699722263363,0.9959370230235527,0.9762434923198802,0.9971071723858926,0.9979372915739209,0.9983419439482084,0.4842926206662678,0.9987189525482195,0.9993016802168162,0.7761583242899097,0.9993212411327975,0.9980259253991536,0.9995513759767302,0.37011625272204524,0.6198428105871812
18,0.8381117250281842,0.08240334001126522,0.7625653667851909,0.2370960619781708,0.24749871792932046,0.26297084899291995,0.7707130924217092,0.7541341285686531,0.8042986734980483,0.7928103604348442,0.7586409222236118,0.8033351580186486,0.7756743645679617,0.7879165619681672,0.7925612871017346,0.7995998509348575,0.3420061244903224,0.7946590302538921,0.8053124601617283,0.9984141637376522,0.7935480765085638,0.7805984143007579,0.7895394155605855,0.4718401141042867,0.7733286448202144
19,0.9785983999295887,0.1563364127785231,0.9801722181967538,0.32876496783225356,0.40664412845314213,0.33011498660087557,0.6155573534686334,0.9819058348485931,0.9886187778213769,0.987385119378073,0.9942389373086901,0.995916155831807,0.9716326787945225,0.9964034982846333,0.995997035133973,0.9981215964416545,0.4507117182780158,0.9976607492426818,0.9978894745010369,0.8034973346118798,0.9978563954506512,0.9963972807190197,0.9977042359331144,0.38144206151048954,0.6182194453878764
20,0.9768334741865449,0.15209599472068275,0.980560806473859,0.31101083588554196,0.4012583243640293,0.3232882330138718,0.6180426082036948,0.9795464178279676,0.9915876626892057,0.9875505654142959,0.9942975438007549,0.9971904876357531,0.9738915774153395,0.9982137653386961,0.9969073036475552,0.9955358268213729,0.47609390612012137,0.9978164744908848,0.996977212367748,0.7881625785587677,0.9973040275758772,0.9997327900336217,0.9983306024678954,0.37223352580974095,0.6198573997040492
