celltype_A,celltype_B,median_R_across_K,family_A,family_B,pair_type,family_pair
Mono_CD14_THBS1,Mono_Int,0.5133797083408741,Monocyte,Monocyte,within,Monocyte
Mac_IL1Bint,cDC1_CLEC9A,0.5072994372036809,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1B,mregDC_LAMP3,0.48795868756449384,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1B,cDC2_CD1C,0.4632383150218012,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,cDC1_CLEC9A,0.45390729453142853,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,Mast,0.437144932710762,Macrophage,,unassigned,
Mono_CD14,Mono_Int,0.4321342080383562,Monocyte,Monocyte,within,Monocyte
DC_pDC,Mac_IL1B,0.43116382893354127,,Macrophage,unassigned,
Mono_TIL,cDC2_CD1C,0.35131204201911015,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1B,Mac_SPP1,0.3498154265418983,Macrophage,Macrophage,within,Macrophage
Mac_SPP1,Mono_TIL,0.33322466059989253,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14,Mono_CD16,0.25808484123480474,Monocyte,Monocyte,within,Monocyte
DC_pDC,Mac_SPP1,0.25767701534159854,,Macrophage,unassigned,
Mono_TIL,mregDC_LAMP3,0.24625118621811934,Monocyte,DC,between,DC ↔ Monocyte
DC_pDC,Mono_TIL,0.24091220320995083,,Monocyte,unassigned,
Mono_CD14_ID1,Mono_CD16,0.19463783868326046,Monocyte,Monocyte,within,Monocyte
Mono_CD16,cDC2_CD1C,0.1860943597560686,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1B,cDC1_CLEC9A,0.16335619000931212,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,Mono_CD16,0.16037916881206107,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD16,mregDC_LAMP3,0.12540773834146268,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_IL1B,Mono_CD16,0.11069217899518559,Monocyte,Monocyte,within,Monocyte
Mono_TIL,cDC1_CLEC9A,0.10857776617412707,Monocyte,DC,between,DC ↔ Monocyte
Mac_CXCL9,Mono_CD16,0.08572218693954918,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_IL1B,Mono_Int,0.06921438662105558,Monocyte,Monocyte,within,Monocyte
Mac_IL1B,Mono_CD14,0.0670930596056539,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
DC_pDC,Mono_Int,0.05790413729573383,,Monocyte,unassigned,
Mac_IL1Bint,Mono_CD16,0.04772511541240235,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mast,Mono_Int,0.04103273818730443,,Monocyte,unassigned,
cDC1_CLEC9A,cDC2_CD33,0.03330227321606456,DC,DC,within,DC
DC_pDC,Mono_CD16,0.013034181393810724,,Monocyte,unassigned,
Mono_CD14_THBS1,Mono_TIL,-0.009233737290695722,Monocyte,Monocyte,within,Monocyte
Mono_CD14_IL1B,Mono_TIL,-0.06993495551936924,Monocyte,Monocyte,within,Monocyte
Mono_CD14,cDC2_CD33,-0.08001949938938581,Monocyte,DC,between,DC ↔ Monocyte
Mast,Mono_CD16,-0.08693441871346123,,Monocyte,unassigned,
Mono_CD14_ID1,Mono_Int,-0.08718984835424086,Monocyte,Monocyte,within,Monocyte
Mono_CD14,Mono_TIL,-0.08906598993735038,Monocyte,Monocyte,within,Monocyte
Mono_CD16,cDC1_CLEC9A,-0.09145469534234305,Monocyte,DC,between,DC ↔ Monocyte
cDC2_CD1C,cDC2_CD33,-0.11091432900266514,DC,DC,within,DC
Mono_CD14_ID1,Mono_TIL,-0.1374306225074493,Monocyte,Monocyte,within,Monocyte
Mac_SPP1,cDC2_CD33,-0.15605367944702753,Macrophage,DC,between,DC ↔ Macrophage
cDC2_CD33,mregDC_LAMP3,-0.1561664534118478,DC,DC,within,DC
Mac_SPP1,Mono_Int,-0.18857040912117776,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_Int,cDC1_CLEC9A,-0.21754818716165714,Monocyte,DC,between,DC ↔ Monocyte
DC_pDC,cDC2_CD33,-0.2266620971757602,,DC,unassigned,
Mono_CD16,Mono_TIL,-0.28065924402734255,Monocyte,Monocyte,within,Monocyte
Mac_IL1B,Mono_CD14_IL1B,-0.309367546518155,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1B,Mono_CD14_THBS1,-0.3178697056543115,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1B,Mono_CD16,-0.3463531762596654,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_SPP1,Mono_CD14_IL1B,-0.36733093643374076,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_SPP1,Mono_CD14_ID1,-0.37166782410218296,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1Bint,Mono_CD14_IL1B,-0.3986298310771649,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_SPP1,Mono_CD14_THBS1,-0.41399628334006494,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1Bint,Mono_CD14_THBS1,-0.45501320088377295,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_Int,Mono_TIL,-0.45799927846347194,Monocyte,Monocyte,within,Monocyte
Mac_IL1Bint,Mono_CD14,-0.47525200125854467,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_CXCL9,cDC2_CD33,-0.47670288032250047,Macrophage,DC,between,DC ↔ Macrophage
Mac_SPP1,Mono_CD14,-0.5293440895110907,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1Bint,cDC2_CD33,-0.5553787050742335,Macrophage,DC,between,DC ↔ Macrophage
Mac_IL1Bint,Mono_CD14_ID1,-0.5714955938544376,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
DC_pDC,Mono_CD14,-0.5820150047304067,,Monocyte,unassigned,
Mast,Mono_CD14,-0.5910417342100946,,Monocyte,unassigned,
Mac_CXCL9,Mono_CD14,-0.6002805215240975,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1Bint,Mono_Int,-0.630415525213502,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mac_IL1B,Mono_CD14_ID1,-0.6469740652005346,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14,mregDC_LAMP3,-0.6592309812131318,Monocyte,DC,between,DC ↔ Monocyte
Mono_TIL,cDC2_CD33,-0.6651507588518081,Monocyte,DC,between,DC ↔ Monocyte
Mac_CXCL9,Mono_CD14_THBS1,-0.672264546449789,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mast,cDC2_CD33,-0.6749875112465819,,DC,unassigned,
Mac_CXCL9,Mono_CD14_IL1B,-0.676446576137646,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14,cDC2_CD1C,-0.7025805943729598,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14,cDC1_CLEC9A,-0.7490902079411575,Monocyte,DC,between,DC ↔ Monocyte
Mac_CXCL9,Mono_CD14_ID1,-0.7568071599141217,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_IL1B,cDC2_CD1C,-0.7611871695514637,Monocyte,DC,between,DC ↔ Monocyte
Mast,Mono_CD14_IL1B,-0.7649376651126593,,Monocyte,unassigned,
Mac_CXCL9,Mono_Int,-0.7703295869836005,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_ID1,cDC1_CLEC9A,-0.7936355187087967,Monocyte,DC,between,DC ↔ Monocyte
Mac_IL1B,Mono_Int,-0.794119215246687,Macrophage,Monocyte,between,Macrophage ↔ Monocyte
Mono_CD14_IL1B,cDC1_CLEC9A,-0.7960694623347973,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_IL1B,mregDC_LAMP3,-0.8010782895483086,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_THBS1,cDC1_CLEC9A,-0.8079237811931347,Monocyte,DC,between,DC ↔ Monocyte
Mono_Int,mregDC_LAMP3,-0.8085807212934132,Monocyte,DC,between,DC ↔ Monocyte
Mast,Mono_CD14_THBS1,-0.8108160269620891,,Monocyte,unassigned,
DC_pDC,Mono_CD14_IL1B,-0.8337992247216687,,Monocyte,unassigned,
Mac_IL1B,cDC2_CD33,-0.8421226431106774,Macrophage,DC,between,DC ↔ Macrophage
Mono_Int,cDC2_CD1C,-0.8557705577891161,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_THBS1,cDC2_CD1C,-0.8624506738214288,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_ID1,cDC2_CD1C,-0.8865964211398343,Monocyte,DC,between,DC ↔ Monocyte
Mono_CD14_THBS1,mregDC_LAMP3,-0.8879246373842863,Monocyte,DC,between,DC ↔ Monocyte
DC_pDC,Mono_CD14_THBS1,-0.8911465715803496,,Monocyte,unassigned,
Mast,Mono_CD14_ID1,-0.9111512990915405,,Monocyte,unassigned,
Mono_CD14_ID1,mregDC_LAMP3,-0.9487582437278674,Monocyte,DC,between,DC ↔ Monocyte
DC_pDC,Mono_CD14_ID1,-0.9595281782617,,Monocyte,unassigned,
