k_parent,k_child,parent_gep,child_gep,similarity,raw_value,parent_celltype,child_celltype,celltype_match
8,9,1,3,0.11378048201339838,4.346968566610933,Mono_CD14_ID1,Macrophage_family,False
8,9,1,4,0.1021556872209643,4.562514568150637,Mono_CD14_ID1,Ambiguous/Mixed,False
8,9,1,5,0.11716472783241617,4.28834880839437,Mono_CD14_ID1,Ambiguous/Mixed,False
8,9,1,6,0.10639395557587496,4.481213024371345,Mono_CD14_ID1,DC_pDC,False
8,9,1,7,0.11668212177717854,4.296603899129323,Mono_CD14_ID1,Macrophage_family,False
8,9,1,8,0.10602879296909817,4.488089179942717,Mono_CD14_ID1,DC_family,False
8,9,1,9,0.11953461892220493,4.248298502942394,Mono_CD14_ID1,Mast,False
8,9,2,1,0.10890912501607028,4.4344829198718045,DC_family,Mono_CD14_ID1,False
8,9,2,2,0.9999470297143079,0.00010594337733440358,DC_family,DC_family,True
8,9,2,3,0.9873571555880638,0.025446890478202762,DC_family,Macrophage_family,False
8,9,2,4,0.9919999230431472,0.01606449854947966,DC_family,Ambiguous/Mixed,False
8,9,2,5,0.9825030492183522,0.03530366342681456,DC_family,Ambiguous/Mixed,False
8,9,2,6,0.9898601193265093,0.020383278891940942,DC_family,DC_pDC,False
8,9,2,7,0.9884580553730896,0.023218139747170373,DC_family,Macrophage_family,False
8,9,2,8,0.9908627029455679,0.018358596400461065,DC_family,DC_family,True
8,9,2,9,0.9853602310591837,0.029495975713573964,DC_family,Mast,False
8,9,3,1,0.11413634246442081,4.340723117359591,Macrophage_family,Mono_CD14_ID1,False
8,9,3,2,0.9877692694877517,0.024612282828917472,Macrophage_family,DC_family,False
8,9,3,3,0.9999709772510794,5.804634017743274e-05,Macrophage_family,Macrophage_family,True
8,9,3,4,0.9937135401135767,0.012612605761090748,Macrophage_family,Ambiguous/Mixed,False
8,9,3,5,0.9928287821860914,0.014394109182495344,Macrophage_family,Ambiguous/Mixed,False
8,9,3,6,0.9839784238787094,0.032302618245627725,Macrophage_family,DC_pDC,False
8,9,3,7,0.9974603374126565,0.005085786001943545,Macrophage_family,Macrophage_family,True
8,9,3,8,0.9898226672661867,0.020458951743330414,Macrophage_family,DC_family,False
8,9,3,9,0.9891150580247275,0.021889232772537737,Macrophage_family,Mast,False
8,9,4,1,0.10357697085614963,4.534880525799856,Ambiguous/Mixed,Mono_CD14_ID1,False
8,9,4,2,0.991170785667746,0.017736845604767286,Ambiguous/Mixed,DC_family,False
8,9,4,3,0.9938609297866299,0.01231598357046525,Ambiguous/Mixed,Macrophage_family,False
8,9,4,4,0.9993939490480115,0.0012124693502017217,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,4,5,0.9895360191060819,0.021038226564174617,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,4,6,0.9908857002353166,0.018312178217985663,Ambiguous/Mixed,DC_pDC,False
8,9,4,7,0.9936458936335032,0.012748759249887833,Ambiguous/Mixed,Macrophage_family,False
8,9,4,8,0.9974998105662628,0.005006640253290017,Ambiguous/Mixed,DC_family,False
8,9,4,9,0.9917525729257975,0.016563250524101868,Ambiguous/Mixed,Mast,False
8,9,5,1,0.11673512222092926,4.295695646701118,Ambiguous/Mixed,Mono_CD14_ID1,False
8,9,5,2,0.9826445338415437,0.035015675644816675,Ambiguous/Mixed,DC_family,False
8,9,5,3,0.9925541366191029,0.014947444392824858,Ambiguous/Mixed,Macrophage_family,False
8,9,5,4,0.9895666134053637,0.02097639187448918,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,5,5,0.9999857724439034,2.8455314618469933e-05,Ambiguous/Mixed,Ambiguous/Mixed,True
8,9,5,6,0.9785884168176318,0.04328827336054465,Ambiguous/Mixed,DC_pDC,False
8,9,5,7,0.9933928504858115,0.013258146698539329,Ambiguous/Mixed,Macrophage_family,False
8,9,5,8,0.9869710580397562,0.02622912627985803,Ambiguous/Mixed,DC_family,False
8,9,5,9,0.9869510788231489,0.026269612611582654,Ambiguous/Mixed,Mast,False
8,9,6,1,0.10589770493358693,4.4905633972497,DC_pDC,Mono_CD14_ID1,False
8,9,6,2,0.9901000223356594,0.019898616589349803,DC_pDC,DC_family,False
8,9,6,3,0.9845144465484352,0.031213414030510877,DC_pDC,Macrophage_family,False
8,9,6,4,0.9900121941142115,0.020076037284552664,DC_pDC,Ambiguous/Mixed,False
8,9,6,5,0.9792838109644423,0.04186755924818396,DC_pDC,Ambiguous/Mixed,False
8,9,6,6,0.999980405326557,3.91897308423792e-05,DC_pDC,DC_pDC,True
8,9,6,7,0.9844432790801187,0.031357992997181866,DC_pDC,Macrophage_family,False
8,9,6,8,0.9935237834508662,0.012994556444156292,DC_pDC,DC_family,False
8,9,6,9,0.991088591471573,0.0179027052236809,DC_pDC,Mast,False
8,9,7,1,0.11489832304629928,4.327415378262484,Macrophage_family,Mono_CD14_ID1,False
8,9,7,2,0.9894384285195625,0.021235481433666343,Macrophage_family,DC_family,False
8,9,7,3,0.9972155153338359,0.005576737110040385,Macrophage_family,Macrophage_family,True
8,9,7,4,0.9947499042642481,0.01052785183224171,Macrophage_family,Ambiguous/Mixed,False
8,9,7,5,0.9934983681635653,0.013045719008764188,Macrophage_family,Ambiguous/Mixed,False
8,9,7,6,0.984700415548914,0.030835661445740143,Macrophage_family,DC_pDC,False
8,9,7,7,0.999971513828454,5.6973154569518194e-05,Macrophage_family,Macrophage_family,True
8,9,7,8,0.9901777153094328,0.019741683099998766,Macrophage_family,DC_family,False
8,9,7,9,0.9917811554579998,0.016505610904880307,Macrophage_family,Mast,False
8,9,8,1,0.11807460593734403,4.272877201196669,Mast,Mono_CD14_ID1,False
8,9,8,2,0.9862729473974607,0.027644279539157705,Mast,DC_family,False
8,9,8,3,0.9896717675613316,0.020763877491021314,Mast,Macrophage_family,False
8,9,8,4,0.9916025518533533,0.0168658107078149,Mast,Ambiguous/Mixed,False
8,9,8,5,0.9876040379942281,0.02494686565087418,Mast,Ambiguous/Mixed,False
8,9,8,6,0.9915969444009155,0.016877120618791278,Mast,DC_pDC,False
8,9,8,7,0.9916690940650245,0.016731603753698268,Mast,Macrophage_family,False
8,9,8,8,0.9926427338582706,0.014768928618305619,Mast,DC_family,False
8,9,8,9,0.99993585974908,0.00012828461598775862,Mast,Mast,True
9,10,1,1,0.26449661840300365,2.6598536252625617,Mono_CD14_ID1,Monocyte_family,False
9,10,1,2,0.2144789158863466,3.0790876793628135,Mono_CD14_ID1,Mono_CD16,False
9,10,1,3,0.11223397665751551,4.374339018950901,Mono_CD14_ID1,DC_family,False
9,10,1,4,0.11405923985936392,4.342074635337386,Mono_CD14_ID1,Macrophage_family,False
9,10,1,5,0.11548114481773084,4.3172960213561655,Mono_CD14_ID1,Ambiguous/Mixed,False
9,10,1,6,0.10153115160941226,4.574779230360543,Mono_CD14_ID1,Ambiguous/Mixed,False
9,10,1,7,0.10744137604792418,4.461619838509881,Mono_CD14_ID1,DC_pDC,False
9,10,1,8,0.11697483329165427,4.291592934786101,Mono_CD14_ID1,Macrophage_family,False
9,10,1,9,0.10606937434595773,4.487323847967086,Mono_CD14_ID1,DC_family,False
9,10,1,10,0.11982896849548792,4.24337963078091,Mono_CD14_ID1,Mast,False
9,10,2,1,0.27105397212028176,2.6108746376330982,DC_family,Monocyte_family,False
9,10,2,2,0.9583528707458567,0.08507845552272691,DC_family,Mono_CD16,False
9,10,2,3,0.9988462201166968,0.002308891999459844,DC_family,DC_family,True
9,10,2,4,0.987706559258179,0.024739260296687444,DC_family,Macrophage_family,False
9,10,2,5,0.9851449677167238,0.029932946584698618,DC_family,Ambiguous/Mixed,False
9,10,2,6,0.9921680132074391,0.015725635771540365,DC_family,Ambiguous/Mixed,False
9,10,2,7,0.9897545915970221,0.02059650771673155,DC_family,DC_pDC,False
9,10,2,8,0.9885577231138919,0.023016486847944818,DC_family,Macrophage_family,False
