k,gep,celltype,lineage_id,lineage_k_span,lineage_consecutive_span,lineage_size,lineage_dominant_celltype
16,13,DC_family,2,17,17,171,Ambiguous/Mixed
18,10,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
5,3,DC_family,2,17,17,171,Ambiguous/Mixed
8,2,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,2,Mono_CD14_THBS1,2,17,17,171,Ambiguous/Mixed
17,14,Mast,2,17,17,171,Ambiguous/Mixed
19,11,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
11,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,10,DC_family,2,17,17,171,Ambiguous/Mixed
15,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
6,4,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
7,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,3,DC_family,2,17,17,171,Ambiguous/Mixed
16,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,12,DC_family,2,17,17,171,Ambiguous/Mixed
20,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,8,Macrophage_family,2,17,17,171,Ambiguous/Mixed
5,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
19,4,Mono_CD16,2,17,17,171,Ambiguous/Mixed
9,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,16,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
11,9,DC_family,2,17,17,171,Ambiguous/Mixed
13,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,12,Mast,2,17,17,171,Ambiguous/Mixed
15,9,Macrophage_family,2,17,17,171,Ambiguous/Mixed
6,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
7,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,14,Mast,2,17,17,171,Ambiguous/Mixed
20,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,17,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,10,DC_family,2,17,17,171,Ambiguous/Mixed
17,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
9,5,DC_family,2,17,17,171,Ambiguous/Mixed
11,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
13,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
15,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
16,1,Mono_CD16,2,17,17,171,Ambiguous/Mixed
15,11,Macrophage_family,2,17,17,171,Ambiguous/Mixed
16,10,Mast,2,17,17,171,Ambiguous/Mixed
7,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
18,16,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,1,Mono_CD14_ID1,2,17,17,171,Ambiguous/Mixed
20,10,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
20,19,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,12,Mast,2,17,17,171,Ambiguous/Mixed
17,11,DC_family,2,17,17,171,Ambiguous/Mixed
9,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
11,4,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
10,8,DC_family,2,17,17,171,Ambiguous/Mixed
13,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,3,Mac_SPP1,2,17,17,171,Ambiguous/Mixed
15,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,12,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,18,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,12,DC_family,2,17,17,171,Ambiguous/Mixed
12,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,4,Macrophage_family,2,17,17,171,Ambiguous/Mixed
14,14,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
9,9,Mast,2,17,17,171,Ambiguous/Mixed
19,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
10,10,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
15,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
7,2,Macrophage_family,2,17,17,171,Ambiguous/Mixed
18,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
16,14,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,11,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,14,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,10,DC_family,2,17,17,171,Ambiguous/Mixed
14,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
9,2,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
8,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
10,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
19,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,11,DC_family,2,17,17,171,Ambiguous/Mixed
11,11,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,4,Macrophage_family,2,17,17,171,Ambiguous/Mixed
16,16,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,3,DC_family,2,17,17,171,Ambiguous/Mixed
20,16,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,12,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
8,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
13,4,Macrophage_family,2,17,17,171,Ambiguous/Mixed
19,17,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
16,9,DC_family,2,17,17,171,Ambiguous/Mixed
20,9,DC_family,2,17,17,171,Ambiguous/Mixed
12,5,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
20,18,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
14,11,DC_family,2,17,17,171,Ambiguous/Mixed
19,1,Mono_CD14_ID1,2,17,17,171,Ambiguous/Mixed
17,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,10,Macrophage_family,2,17,17,171,Ambiguous/Mixed
10,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
16,2,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,19,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
6,3,DC_family,2,17,17,171,Ambiguous/Mixed
20,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
15,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,11,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,7,Macrophage_family,2,17,17,171,Ambiguous/Mixed
14,4,Macrophage_family,2,17,17,171,Ambiguous/Mixed
4,3,DC_family,2,17,17,171,Ambiguous/Mixed
17,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
8,3,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,3,DC_family,2,17,17,171,Ambiguous/Mixed
17,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,12,DC_family,2,17,17,171,Ambiguous/Mixed
10,9,Mast,2,17,17,171,Ambiguous/Mixed
11,8,Macrophage_family,2,17,17,171,Ambiguous/Mixed
16,4,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
15,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,4,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
20,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,13,DC_family,2,17,17,171,Ambiguous/Mixed
12,9,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
8,5,DC_family,2,17,17,171,Ambiguous/Mixed
10,2,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
17,17,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,14,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
11,10,Mast,2,17,17,171,Ambiguous/Mixed
13,13,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
15,10,DC_family,2,17,17,171,Ambiguous/Mixed
20,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
7,6,DC_family,2,17,17,171,Ambiguous/Mixed
18,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,2,Mono_CD16,2,17,17,171,Ambiguous/Mixed
18,15,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
12,11,Mast,2,17,17,171,Ambiguous/Mixed
17,10,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
8,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
10,4,DC_family,2,17,17,171,Ambiguous/Mixed
9,6,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
11,3,DC_family,2,17,17,171,Ambiguous/Mixed
19,7,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
19,16,DC_family,2,17,17,171,Ambiguous/Mixed
15,3,DC_family,2,17,17,171,Ambiguous/Mixed
15,12,Mast,2,17,17,171,Ambiguous/Mixed
16,11,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
18,8,Ambiguous/Mixed,2,17,17,171,Ambiguous/Mixed
4,4,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
7,4,DC_pDC,3,17,17,17,Ambiguous/Mixed
10,5,DC_pDC,3,17,17,17,Ambiguous/Mixed
20,5,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
8,4,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
6,5,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
15,4,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
5,4,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
16,6,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
11,6,DC_pDC,3,17,17,17,Ambiguous/Mixed
14,6,DC_pDC,3,17,17,17,Ambiguous/Mixed
12,6,DC_pDC,3,17,17,17,Ambiguous/Mixed
13,6,DC_pDC,3,17,17,17,Ambiguous/Mixed
17,5,DC_pDC,3,17,17,17,Ambiguous/Mixed
18,5,DC_pDC,3,17,17,17,Ambiguous/Mixed
19,5,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
9,4,Ambiguous/Mixed,3,17,17,17,Ambiguous/Mixed
17,1,Mono_CD14_ID1,4,2,2,2,Mono_CD14_ID1
18,1,Mono_CD14_ID1,4,2,2,2,Mono_CD14_ID1
