k	gep	label
19	19	Ambiguous/Mixed
20	1	Mono_CD14_ID1
20	2	Mono_CD16
20	3	Ambiguous/Mixed
20	4	Ambiguous/Mixed
20	5	Ambiguous/Mixed
20	6	Ambiguous/Mixed
20	7	Ambiguous/Mixed
20	8	Ambiguous/Mixed
20	9	DC_family
20	10	Ambiguous/Mixed
20	11	Ambiguous/Mixed
20	12	DC_family
20	13	Ambiguous/Mixed
20	14	Ambiguous/Mixed
20	15	Ambiguous/Mixed
20	16	Ambiguous/Mixed
20	17	Ambiguous/Mixed
20	18	Ambiguous/Mixed
20	19	Ambiguous/Mixed
20	20	Ambiguous/Mixed
