K,GEP,Top_CellType,NES
15,5,Bcells_CD19,1.481
15,6,Tumor/Epithelials,1.377
15,7,Fibroblasts/Stromal,1.379
15,8,Tumor/Epithelials,1.338
15,9,Mac_C1Q_SPP1,1.367
15,10,CD8+Tcells_Ki67,1.36
15,11,Endothelials,1.427
15,12,Fibroblasts/Stromal,1.373
15,13,Tumor/Epithelials,1.189
15,14,DC_LAMP3,1.278
15,15,Mast,1.41
16,1,Tumor/Epithelials,1.674
16,2,CD4+Tcells,1.41
16,3,Tumor/Epithelials,1.459
16,4,Plasma_XBP1,1.564
16,5,Bcells_CD19,1.512
16,6,Fibroblasts/Stromal,1.405
16,7,Mac_C1Q_SPP1,1.474
16,8,Tumor/Epithelials,1.375
16,9,CD8+Tcells_Ki67,1.397
16,10,Tumor/Epithelials,1.251
16,11,Endothelials,1.276
16,12,Fibroblasts/Stromal,1.202
16,13,Endothelials,1.284
16,14,Fibroblasts/Stromal,1.245
16,15,Mast,1.44
16,16,DC_LAMP3,1.164
17,1,Tumor/Epithelials,1.819
17,2,Fibroblasts/Stromal,1.745
17,3,CD4+Tcells,1.418
17,4,Bcells_CD19,1.489
17,5,CD8+Tcells,1.291
17,6,Tumor/Epithelials,1.484
17,7,Plasma_XBP1,1.35
17,8,Plasma_XBP1,1.231
17,9,Bcells_CD19,1.338
17,10,Mac_C1Q_ZEB2,1.43
17,11,Endothelials,1.451
17,12,Endothelials,1.383
17,13,Mac_C1Q_ZEB2,1.247
17,14,Mast,1.686
17,15,Tumor/Epithelials,1.085
17,16,Tumor/Epithelials,1.209
17,17,DC_LAMP3,1.17
18,1,CD4+Tcells,1.64
18,2,Tumor/Epithelials,1.602
18,3,Tumor/Epithelials,1.661
18,4,Bcells_CD19,1.588
18,5,Plasma_XBP1,1.629
18,6,CD8+Tcells_Ki67,1.63
18,7,Endothelials,1.486
18,8,Tumor/Epithelials,1.466
18,9,Mac_C1Q_SPP1,1.654
18,10,Plasma_XBP1,1.152
18,11,Endothelials,1.365
18,12,Bcells_CD19,1.236
18,13,Mac_C1Q_ZEB2,1.164
18,14,Mast,1.558
18,15,Mast,1.244
18,16,Plasma_XBP1,1.015
18,17,Mon_VCAN,1.145
18,18,Tumor/Epithelials,1.023
19,1,Tumor/Epithelials,1.643
19,2,Tumor/Epithelials,1.704
19,3,Tregs,1.526
19,4,CD8+Tcells,1.436
19,5,Bcells_CD19,1.461
19,6,CD8+Tcells_Ki67,1.627
19,7,Plasma_XBP1,1.212
19,8,Endothelials,1.47
19,9,Mac_C1Q_ZEB2,1.58
19,10,Endothelials,1.367
19,11,Mac_C1Q_ZEB2,1.277
19,12,Bcells_CD19,1.282
19,13,Plasma_XBP1,1.196
19,14,Mast,1.575
19,15,Plasma_XBP1,1.058
19,16,Mac_C1Q_SPP1,1.271
19,17,Tumor/Epithelials,1.159
19,18,Mast,1.226
19,19,DC_LAMP3,1.167
20,1,Bcells_CD19,1.684
20,2,Plasma_XBP1,1.704
20,3,Tregs,1.479
20,4,Tumor/Epithelials,1.808
20,5,Tumor/Epithelials,1.505
20,6,CD8+Tcells,1.435
20,7,Tumor/Epithelials,1.311
20,8,Fibroblasts/Stromal,1.633
20,9,Mac_C1Q_SPP1,1.607
20,10,CD8+Tcells_Ki67,1.469
20,11,Endothelials,1.689
20,12,Tumor/Epithelials,1.212
20,13,Endothelials,1.258
20,14,Mast,1.781
20,15,DC_LAMP3,1.115
20,16,CD8+Tcells_Ki67,1.085
20,17,Tumor/Epithelials,1.037
20,18,DC_LAMP3,1.127
20,19,Mast,1.021
20,20,Mon_VCAN,1.089
21,1,Tumor/Epithelials,1.52
21,2,Tregs,1.513
21,3,CD8+Tcells,1.426
21,4,Tumor/Epithelials,1.593
21,5,Bcells_CD19,1.426
21,6,Tumor/Epithelials,1.306
21,7,Plasma_XBP1,1.297
21,8,Fibroblasts/Stromal,1.552
21,9,Tumor/Epithelials,1.384
21,10,Fibroblasts/Stromal,1.647
21,11,Endothelials,1.713
21,12,CD8+Tcells_Ki67,1.277
21,13,Tumor/Epithelials,1.229
21,14,Bcells_CD19,1.366
21,15,Plasma_XBP1,1.156
21,16,CD8+Tcells_Ki67,1.304
21,17,Mac_C1Q_SPP1,1.172
21,18,Mast,1.746
21,19,Endothelials,1.218
21,20,Tumor/Epithelials,1.074
21,21,Mon_VCAN,1.115
22,1,Tumor/Epithelials,1.574
22,2,CD4+Tcells,1.578
22,3,Tumor/Epithelials,1.507
22,4,Plasma_XBP1,1.464
22,5,Bcells_CD19,1.284
22,6,Tumor/Epithelials,1.327
22,7,Tumor/Epithelials,1.341
22,8,Bcells_CD19,1.479
22,9,Fibroblasts/Stromal,1.44
22,10,Fibroblasts/Stromal,1.523
22,11,Endothelials,1.501
22,12,Mac_C1Q_SPP1,1.26
22,13,DC_CD207,1.294
22,14,Plasma_XBP1,1.177
22,15,Endothelials,1.255
22,16,Tumor/Epithelials,1.099
22,17,CD8+Tcells_Ki67,1.22
22,18,Mast,1.362
22,19,Mon_VCAN,1.146
22,20,Mast,1.269
22,21,DC_LAMP3,1.094
22,22,Tumor/Epithelials,1.039
23,1,Tumor/Epithelials,1.677
23,2,Tumor/Epithelials,1.492
23,3,CD4+Tcells,1.418
23,4,Plasma_XBP1,1.422
23,5,Bcells_CD19,1.281
23,6,CD8+Tcells,1.446
23,7,Tregs,1.235
23,8,Bcells_CD19,1.435
23,9,Endothelials,1.523
23,10,Tumor/Epithelials,1.221
23,11,Tumor/Epithelials,1.187
23,12,Plasma_XBP1,1.406
23,13,Fibroblasts/Stromal,1.282
23,14,Fibroblasts/Stromal,1.371
23,15,DC_CD207,1.4
23,16,Tumor/Epithelials,1.086
23,17,CD8+Tcells_Ki67,1.138
23,18,Mast,1.43
23,19,Endothelials,1.186
23,20,Tumor/Epithelials,1.167
23,21,Mac_C1Q_SPP1,1.112
23,22,Mast,1.252
23,23,Tumor/Epithelials,1.129
24,1,Tumor/Epithelials,1.537
24,2,CD4+Tcells,1.623
24,3,Tumor/Epithelials,1.449
24,4,Plasma_XBP1,1.272
24,5,Bcells_CD19,1.378
24,6,CD8+Tcells,1.387
24,7,Tumor/Epithelials,1.402
24,8,Tumor/Epithelials,1.317
24,9,Bcells_CD19,1.32
24,10,Endothelials,1.601
24,11,Fibroblasts/Stromal,1.484
24,12,Tumor/Epithelials,1.182
24,13,Tumor/Epithelials,1.318
24,14,Plasma_XBP1,1.484
24,15,Fibroblasts/Stromal,1.291
24,16,DC_CD207,1.275
24,17,DC_LAMP3,1.131
24,18,Fibroblasts/Stromal,1.201
24,19,CD8+Tcells_Ki67,1.225
24,20,Mast,1.238
24,21,Mast,1.399
24,22,Mon_VCAN,1.163
24,23,Tumor/Epithelials,1.044
24,24,Tumor/Epithelials,1.06
25,1,Tregs,1.606
25,2,Tumor/Epithelials,1.661
25,3,Bcells_CD19,1.66
25,4,CD8+Tcells_Ki67,1.656
25,5,Fibroblasts/Stromal,1.681
25,6,Fibroblasts/Stromal,1.772
25,7,Plasma_XBP1,1.277
25,8,Tumor/Epithelials,1.55
25,9,CD8+Tcells,1.423
25,10,Endothelials,1.626
25,11,Plasma_XBP1,1.386
25,12,DC_LAMP3,1.187
25,13,Fibroblasts/Stromal,1.467
25,14,Mac_C1Q_ZEB2,1.216
25,15,Endothelials,1.303
25,16,Tumor/Epithelials,1.213
25,17,Mast,1.41
25,18,Tumor/Epithelials,1.055
25,19,Tumor/Epithelials,1.182
25,20,DC_CLEC9A,1.062
25,21,Tumor/Epithelials,1.137
25,22,Mast,1.177
25,23,DC_LAMP3,1.087
25,24,Mast,1.202
25,25,CD8+Tcells_Ki67,1.102
26,1,Bcells_CD19,1.844
26,2,Tumor/Epithelials,1.603
26,3,CD4+Tcells,1.296
26,4,Tumor/Epithelials,1.656
26,5,Plasma_XBP1,1.327
26,6,Endothelials,1.983
26,7,CD8+Tcells_Ki67,1.459
26,8,Fibroblasts/Stromal,1.7
26,9,CD8+Tcells,1.422
26,10,Fibroblasts/Stromal,1.581
26,11,Plasma_XBP1,1.442
26,12,Tumor/Epithelials,1.261
26,13,Fibroblasts/Stromal,1.46
26,14,Tumor/Epithelials,1.186
26,15,CD4+Tcells,1.051
26,16,Tumor/Epithelials,1.323
26,17,Mast,1.376
26,18,Tumor/Epithelials,1.053
26,19,Fibroblasts/Stromal,1.161
26,20,Tumor/Epithelials,1.131
26,21,Mast,1.27
26,22,Tumor/Epithelials,1.057
26,23,Mast,1.116
26,24,Tumor/Epithelials,1.026
26,25,Tumor/Epithelials,1.05
26,26,Mon_VCAN,1.028
27,1,Tregs,1.754
27,2,Tumor/Epithelials,1.7
27,3,Bcells_CD19,1.819
27,4,Plasma_XBP1,1.199
27,5,Mac_C1Q_ZEB2,1.765
27,6,Fibroblasts/Stromal,1.651
27,7,Fibroblasts/Stromal,1.684
27,8,CD8+Tcells,1.401
27,9,Endothelials,1.839
27,10,Tumor/Epithelials,1.315
27,11,Plasma_XBP1,1.325
27,12,Tumor/Epithelials,1.249
27,13,Fibroblasts/Stromal,1.459
27,14,Tumor/Epithelials,1.343
27,15,Endothelials,1.171
27,16,DC_LAMP3,1.088
27,17,CD8+Tcells_Ki67,1.182
27,18,Tumor/Epithelials,1.163
27,19,Mast,1.404
27,20,Mast,1.176
27,21,Fibroblasts/Stromal,1.087
27,22,Tumor/Epithelials,1.069
27,23,Mast,1.073
27,24,DC_LAMP3,1.044
27,25,DC_LAMP3,1.047
27,26,Tumor/Epithelials,1.044
27,27,DC_LAMP3,1.037
28,1,Tregs,1.838
28,2,Bcells_CD19,1.782
28,3,Tumor/Epithelials,1.614
28,4,Tumor/Epithelials,1.634
28,5,Plasma_XBP1,1.174
28,6,Mac_C1Q_SPP1,1.707
28,7,CD8+Tcells,1.39
28,8,Fibroblasts/Stromal,1.546
28,9,Endothelials,1.762
28,10,Endothelials,1.825
28,11,Plasma_XBP1,1.368
28,12,Fibroblasts/Stromal,1.582
28,13,Tumor/Epithelials,1.278
28,14,Tumor/Epithelials,1.256
28,15,Tumor/Epithelials,1.317
28,16,Tumor/Epithelials,1.295
28,17,Fibroblasts/Stromal,1.141
28,18,Tumor/Epithelials,1.167
28,19,Mast,1.327
28,20,DC_CLEC9A,1.047
28,21,Tumor/Epithelials,1.106
28,22,Fibroblasts/Stromal,1.063
28,23,Mast,1.077
28,24,DC_CLEC9A,1.044
28,25,Fibroblasts/Stromal,1.066
28,26,Mast,1.114
28,27,Mast,1.166
28,28,DC_LAMP3,1.032
29,1,CD4+Tcells,1.837
29,2,Bcells_CD19,1.784
29,3,Tumor/Epithelials,1.616
29,4,Plasma_XBP1,1.546
29,5,Tumor/Epithelials,1.636
29,6,Tumor/Epithelials,1.573
29,7,Mac_C1Q_ZEB2,1.707
29,8,Fibroblasts/Stromal,1.62
29,9,Fibroblasts/Stromal,1.697
29,10,CD8+Tcells,1.392
29,11,Endothelials,1.763
29,12,Endothelials,1.829
29,13,Tumor/Epithelials,1.38
29,14,Tumor/Epithelials,1.248
29,15,Plasma_XBP1,1.103
29,16,Mast,1.245
29,17,Fibroblasts/Stromal,1.112
29,18,Plasma_XBP1,1.046
29,19,Tumor/Epithelials,1.143
29,20,Tumor/Epithelials,1.106
29,21,Mac_C1Q_SPP1,1.235
29,22,Tumor/Epithelials,1.084
29,23,Mac_C1Q_SPP1,1.095
29,24,Mast,1.096
29,25,Mast,1.084
29,26,Mon_VCAN,1.037
29,27,Mon_VCAN,1.038
29,28,DC_LAMP3,1.055
29,29,DC_CLEC9A,1.006
30,1,Tumor/Epithelials,1.871
30,2,CD4+Tcells,1.526
30,3,Bcells_CD19,1.826
30,4,Fibroblasts/Stromal,1.941
30,5,Endothelials,2.134
30,6,Mac_C1Q_ZEB2,1.883
30,7,CD8+Tcells,1.484
30,8,Plasma_XBP1,1.402
30,9,CD8+Tcells_Ki67,1.336
30,10,Plasma_XBP1,1.111
30,11,Tumor/Epithelials,1.373
30,12,Plasma_XBP1,1.103
30,13,Plasma_XBP1,1.07
30,14,Fibroblasts/Stromal,1.229
30,15,Tumor/Epithelials,1.143
30,16,Mast,1.23
30,17,Tumor/Epithelials,1.183
30,18,CD8+Tcells_Ki67,1.027
30,19,Tumor/Epithelials,1.119
30,20,Tumor/Epithelials,1.112
30,21,Mast,1.159
30,22,Tumor/Epithelials,1.065
30,23,Mast,1.105
30,24,DC_LAMP3,1.056
30,25,Mast,1.122
30,26,DC_CD207,1.02
30,27,Mon_VCAN,1.021
30,28,Mast,1.078
30,29,Mac_C1Q_SPP1,1.053
30,30,DC_CD207,1.046
