K,GEP,Top_CellType,NES
17,10,Mac_SPP1,1.481
17,11,Mast,1.262
17,12,Mac_SPP1,1.024
17,13,DC_pDC,1.009
17,14,Mast,1.076
17,15,cDC1_CLEC9A,1.09
17,16,Mast,1.039
17,17,DC_pDC,1.002
18,1,Mac_CXCL9,2.56
18,2,DC_pDC,2.548
18,3,Mast,1.624
18,4,Mast,1.416
18,5,DC_pDC,1.027
18,6,Mac_CXCL9,1.01
18,7,mregDC_LAMP3,1.497
18,8,Mast,1.062
18,9,Mast,1.364
18,10,Mac_SPP1,1.476
18,11,Mast,1.034
18,12,DC_pDC,1.007
18,13,DC_pDC,1.007
18,14,Mac_IL1Bint,1.087
18,15,Mac_SPP1,1.068
18,16,cDC1_CLEC9A,1.073
18,17,Mac_SPP1,1.012
18,18,Mono_CD14_THBS1,1.002
19,1,Mac_SPP1,2.656
19,2,DC_pDC,2.219
19,3,Mac_CXCL9,1.77
19,4,Mac_CXCL9,1.511
19,5,mregDC_LAMP3,2.092
19,6,Mono_TIL,1.846
19,7,Mac_IL1B,1.612
19,8,mregDC_LAMP3,1.215
19,9,cDC2_CD1C,1.472
19,10,Mast,1.572
19,11,Mac_IL1Bint,1.201
19,12,Mast,1.348
19,13,cDC2_CD1C,1.613
19,14,Mast,1.052
19,15,Mac_SPP1,1.364
19,16,Mac_SPP1,1.218
19,17,Mac_SPP1,1.267
19,18,Mac_SPP1,1.194
19,19,cDC1_CLEC9A,1.123
20,1,Mono_CD14_THBS1,1.55
20,2,cDC2_CD33,2.099
20,3,Mono_CD16,1.778
20,4,Mac_CXCL9,1.283
20,5,Mac_IL1B,1.321
20,6,cDC2_CD1C,1.254
20,7,cDC1_CLEC9A,1.405
20,8,DC_pDC,1.193
20,9,Mac_SPP1,1.336
20,10,Mono_TIL,1.3
20,11,mregDC_LAMP3,1.351
20,12,Mac_IL1Bint,1.246
20,13,Mast,1.306
20,14,DC_pDC,1.215
20,15,Mast,1.207
20,16,Mac_SPP1,1.067
20,17,Mac_SPP1,1.116
20,18,Mac_SPP1,1.085
20,19,Mac_SPP1,1.103
20,20,Mac_SPP1,1.033
21,1,cDC2_CD33,2.222
21,2,Mono_CD14_THBS1,1.708
21,3,Mac_CXCL9,1.297
21,4,cDC2_CD1C,1.313
21,5,DC_pDC,1.245
21,6,Mac_IL1B,1.239
21,7,cDC2_CD1C,1.279
21,8,Mac_SPP1,1.336
21,9,Mac_CXCL9,1.253
21,10,cDC1_CLEC9A,1.418
21,11,Mono_TIL,1.352
21,12,cDC2_CD1C,1.211
