k	gep	program_class	top_identity_label	second_identity_label	top_identity_nes	second_identity_nes	top_identity_fdr	second_identity_fdr	nes_gap	runner_up_ratio	n_significant_identity_sets	significant_identity_sets	classification_reason
7	3	non_identity_unresolved	Mac_CXCL9	Mac_SPP1	1.2695971670802024	1.207203464754015	0.0	0.0	0.06239370232618735		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	4	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.375038109615292	1.2361383088572853	0.0	0.0	0.13889980075800668	0.0	1	mregDC_LAMP3:NES=1.375,q=0	single significant identity (mregDC_LAMP3); no competitor set
7	5	identity_supported	Mac_IL1B	Mono_TIL	1.3486822725042538	1.2157595559396093	0.0	0.0	0.1329227165646445	0.0	1	Mac_IL1B:NES=1.349,q=0	single significant identity (Mac_IL1B); no competitor set
7	6	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.2885522395376363	1.041913487115879	0.0	0.33749999999999997	0.24663875242175726		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
7	7	non_identity_unresolved	Mast	Mac_SPP1	1.254467271565297	1.0345018310909266	0.0	1.0	0.21996544047437028		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	1	identity_supported	Mono_CD14_ID1	Mono_CD16	2.3006091669265354	1.780262389082299	0.0	0.0	0.5203467778442363	0.7738221748723249	5	Mono_CD14_ID1:NES=2.301,q=0; Mono_CD16:NES=1.780,q=0; cDC2_CD33:NES=1.701,q=0; Mono_CD14_THBS1:NES=1.658,q=0; Mono_CD14_IL1B:NES=1.401,q=0	Mono_CD14_ID1 dominates 5 significant sets (runner_up_ratio=0.774 <= 0.8)
8	2	identity_ambiguous	cDC2_CD1C	cDC1_CLEC9A	1.3545989484288088	1.3398078947736334	0.0	0.0	0.014791053655175412	0.9890808614074804	2	cDC2_CD1C:NES=1.355,q=0; cDC1_CLEC9A:NES=1.340,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.989 > 0.8)
8	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2974044075706868	1.142800404955243	0.0	0.0	0.15460400261544383		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	4	identity_supported	mregDC_LAMP3	cDC2_CD1C	1.3498502853288035	1.2215066727332042	0.0	0.0	0.12834361259559923	0.0	1	mregDC_LAMP3:NES=1.350,q=0	single significant identity (mregDC_LAMP3); no competitor set
8	5	identity_supported	Mac_IL1B	Mono_TIL	1.3478904102579485	1.2163074317238245	0.0	0.0	0.13158297853412404	0.0	1	Mac_IL1B:NES=1.348,q=0	single significant identity (Mac_IL1B); no competitor set
8	6	non_identity_unresolved	DC_pDC	cDC2_CD1C	1.286446554916435	1.0432811710668177	0.0	0.2805	0.24316538384961728		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
8	7	identity_supported	Mac_SPP1	Mac_CXCL9	1.3272933775104105	1.1769609567602866	0.0	0.0	0.15033242075012399	0.0	1	Mac_SPP1:NES=1.327,q=0	single significant identity (Mac_SPP1); no competitor set
8	8	non_identity_unresolved	Mast	cDC2_CD1C	1.2515870725222875	0.9919647104347734	0.0	1.0	0.2596223620875141		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
9	1	identity_supported	Mono_CD14_ID1	Mono_CD16	2.309898800134672	1.765900077921401	0.0	0.0	0.543998722213271	0.7644924001945217	5	Mono_CD14_ID1:NES=2.310,q=0; Mono_CD16:NES=1.766,q=0; Mono_CD14_THBS1:NES=1.675,q=0; cDC2_CD33:NES=1.636,q=0; Mono_CD14_IL1B:NES=1.407,q=0	Mono_CD14_ID1 dominates 5 significant sets (runner_up_ratio=0.764 <= 0.8)
9	2	identity_ambiguous	cDC2_CD1C	cDC1_CLEC9A	1.3551052738515001	1.336632088001139	0.0	0.0	0.018473185850361062	0.9863677116406931	2	cDC2_CD1C:NES=1.355,q=0; cDC1_CLEC9A:NES=1.337,q=0	2 significant sets, top two near-tied (runner_up_ratio=0.986 > 0.8)
9	3	non_identity_unresolved	Mac_CXCL9	Mac_IL1Bint	1.2998428123490413	1.142746024425312	0.0	0.0	0.15709678792372928		0		0 significant identity sets (alpha=0.1, NES floor=1.3)
