NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	44	17		
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_HEART_MORPHOGENESIS	7		Rejected!	
GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	30	15		
GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	6		Rejected!	
GOBP_APOPTOTIC_SIGNALING_PATHWAY	640	208		
GOBP_APPENDAGE_DEVELOPMENT	194	75		
GOBP_APPENDAGE_MORPHOGENESIS	156	61		
GOBP_ARACHIDONATE_METABOLIC_PROCESS	52	21		
GOBP_ARACHIDONATE_SECRETION	29		Rejected!	
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	22		Rejected!	
GOBP_ARGININE_CATABOLIC_PROCESS	10		Rejected!	
GOBP_ARGININE_METABOLIC_PROCESS	23		Rejected!	
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	24		Rejected!	
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS	40		Rejected!	
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	13		Rejected!	
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	46		Rejected!	
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION	6		Rejected!	
GOBP_ARTERY_DEVELOPMENT	119	67		
GOBP_ARTERY_MORPHOGENESIS	84	50		
GOBP_ARTERY_SMOOTH_MUSCLE_CONTRACTION	10		Rejected!	
GOBP_ARTICULAR_CARTILAGE_DEVELOPMENT	6		Rejected!	
GOBP_ASCENDING_AORTA_DEVELOPMENT	5		Rejected!	
GOBP_ASPARAGINE_METABOLIC_PROCESS	5		Rejected!	
GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	15		Rejected!	
GOBP_ASPARTATE_FAMILY_AMINO_ACID_CATABOLIC_PROCESS	11		Rejected!	
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	38		Rejected!	
GOBP_ASPARTATE_METABOLIC_PROCESS	9		Rejected!	
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	20		Rejected!	
GOBP_ASSOCIATIVE_LEARNING	93	34		
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	11		Rejected!	
GOBP_ASTROCYTE_ACTIVATION	26		Rejected!	
GOBP_ASTROCYTE_CELL_MIGRATION	9		Rejected!	
GOBP_ASTROCYTE_DEVELOPMENT	43	22		
GOBP_ASTROCYTE_DIFFERENTIATION	90	41		
GOBP_ASYMMETRIC_CELL_DIVISION	19		Rejected!	
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION	6		Rejected!	
GOBP_ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	10		Rejected!	
GOBP_ATP_BIOSYNTHETIC_PROCESS	104		Rejected!	
GOBP_ATP_EXPORT	10		Rejected!	
GOBP_ATP_METABOLIC_PROCESS	236	50		
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	101		Rejected!	
GOBP_ATP_TRANSPORT	24		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION	11		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION	19		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	23		Rejected!	
GOBP_ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS	7		Rejected!	
GOBP_ATRIAL_SEPTUM_DEVELOPMENT	23		Rejected!	
GOBP_ATRIAL_SEPTUM_MORPHOGENESIS	16		Rejected!	
GOBP_ATRIAL_SEPTUM_PRIMUM_MORPHOGENESIS	5		Rejected!	
GOBP_ATRIOVENTRICULAR_CANAL_DEVELOPMENT	13		Rejected!	
GOBP_ATRIOVENTRICULAR_NODE_DEVELOPMENT	9		Rejected!	
GOBP_ATRIOVENTRICULAR_VALVE_DEVELOPMENT	31	17		
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION	8		Rejected!	
GOBP_ATTACHMENT_OF_GPI_ANCHOR_TO_PROTEIN	6		Rejected!	
GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE	26		Rejected!	
GOBP_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	55	19		
GOBP_AUDITORY_RECEPTOR_CELL_DEVELOPMENT	30		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	24		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION	20		Rejected!	
GOBP_AUTOCRINE_SIGNALING	8		Rejected!	
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	46	28		
GOBP_AUTOPHAGIC_CELL_DEATH	9		Rejected!	
GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION	16		Rejected!	
GOBP_AUTOPHAGOSOME_MATURATION	70		Rejected!	
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING	7		Rejected!	
GOBP_AUTOPHAGOSOME_ORGANIZATION	133	22		
GOBP_AUTOPHAGY_OF_MITOCHONDRION	116		Rejected!	
GOBP_AUTOPHAGY_OF_PEROXISOME	16		Rejected!	
GOBP_AUTOSOME_GENOMIC_IMPRINTING	6		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	14		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING	11		Rejected!	
GOBP_AXIAL_MESODERM_DEVELOPMENT	9		Rejected!	
GOBP_AXIS_ELONGATION	31	15		
GOBP_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS	5		Rejected!	
GOBP_AXIS_SPECIFICATION	100	30		
GOBP_AXONAL_FASCICULATION	21		Rejected!	
GOBP_AXONAL_TRANSPORT	69		Rejected!	
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	16		Rejected!	
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY	6		Rejected!	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	40		Rejected!	
GOBP_AXONEME_ASSEMBLY	105		Rejected!	
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	10		Rejected!	
GOBP_AXON_CHOICE_POINT_RECOGNITION	7		Rejected!	
GOBP_AXON_DEVELOPMENT	534	203		
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	25		Rejected!	
GOBP_AXON_EXTENSION	113	48		
GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	5		Rejected!	
GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT	9		Rejected!	
GOBP_AXO_DENDRITIC_TRANSPORT	86		Rejected!	
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT	15		Rejected!	
GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING	27		Rejected!	
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	40	24		
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	18		Rejected!	
GOBP_BASE_EXCISION_REPAIR	48		Rejected!	
GOBP_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	12		Rejected!	
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING	14		Rejected!	
GOBP_BASIC_AMINO_ACID_TRANSPORT	23		Rejected!	
GOBP_BASOLATERAL_PROTEIN_SECRETION	5		Rejected!	
