K,GEP,Top_CellType,NES
19,1,Mono_CD14_ID1,1.552
19,2,Mono_CD14_THBS1,1.321
19,3,cDC2_CD33,1.525
19,4,Mono_CD16,1.457
19,5,DC_pDC,1.325
19,6,Mac_IL1B,1.331
19,7,cDC2_CD1C,1.189
19,8,Mono_CD16,1.177
19,9,Mac_CXCL9,1.161
19,10,Mac_CXCL9,1.103
19,11,cDC2_CD1C,1.17
19,12,mregDC_LAMP3,1.3
19,13,Mac_CXCL9,1.11
19,14,Mast,1.291
19,15,Mono_TIL,1.12
19,16,mregDC_LAMP3,1.127
19,17,Mast,1.117
19,18,Mac_SPP1,1.205
19,19,cDC2_CD1C,1.164
20,1,Mono_CD14_ID1,2.264
20,2,Mono_CD16,1.479
20,3,Mac_CXCL9,1.341
20,4,Mono_CD16,1.254
20,5,DC_pDC,1.335
20,6,Mac_SPP1,1.433
20,7,Mac_IL1B,1.296
20,8,DC_pDC,1.237
20,9,mregDC_LAMP3,1.235
20,10,Mono_TIL,1.173
20,11,cDC2_CD1C,1.167
20,12,mregDC_LAMP3,1.319
20,13,Mac_CXCL9,1.086
20,14,Mast,1.095
20,15,Mast,1.279
20,16,Mast,1.17
20,17,Mac_SPP1,1.116
20,18,cDC2_CD1C,1.109
20,19,cDC2_CD1C,1.109
20,20,Mac_SPP1,1.083
