sample,cluster,ROGUE,n_cells,K,celltype,top_NES
GSM4138167,1,0.8926047298520585,340,3,Mono_CD14_ID1,2.2976299708461276
GSM4138141,1,0.8644043440019915,300,3,Mono_CD14_ID1,2.2976299708461276
GSM4138127,2,0.6670379665961677,300,3,Mac_CXCL9,1.3058427979691687
GSM4138144,1,0.8395818442923761,298,3,Mono_CD14_ID1,2.2976299708461276
GSM4138118,1,0.8707060076322368,292,3,Mono_CD14_ID1,2.2976299708461276
GSM4138145,1,0.8013543644020593,290,3,Mono_CD14_ID1,2.2976299708461276
GSM4138158,1,0.8937477002522067,277,3,Mono_CD14_ID1,2.2976299708461276
GSM4138141,2,0.6376957193379349,257,3,Mac_CXCL9,1.3058427979691687
GSM4138133,2,0.6543184248575297,234,3,Mac_CXCL9,1.3058427979691687
GSM4138161,2,0.6042175339904976,200,3,Mac_CXCL9,1.3058427979691687
GSM4138145,2,0.6592061349125975,197,3,Mac_CXCL9,1.3058427979691687
GSM4138150,1,0.8893628817520021,190,3,Mono_CD14_ID1,2.2976299708461276
GSM4138117,2,0.6832966071943741,182,3,Mac_CXCL9,1.3058427979691687
GSM4138148,1,0.8320514530999539,178,3,Mono_CD14_ID1,2.2976299708461276
GSM4138143,1,0.8192126481446224,176,3,Mono_CD14_ID1,2.2976299708461276
GSM4138143,2,0.6109645173967979,170,3,Mac_CXCL9,1.3058427979691687
GSM4138155,1,0.7799353402624333,169,3,Mono_CD14_ID1,2.2976299708461276
GSM4138111,2,0.6298627836623951,162,3,Mac_CXCL9,1.3058427979691687
GSM4138129,2,0.7040098082479593,161,3,Mac_CXCL9,1.3058427979691687
GSM4138164,1,0.8498413236837918,155,3,Mono_CD14_ID1,2.2976299708461276
GSM4138111,1,0.7605835059563701,148,3,Mono_CD14_ID1,2.2976299708461276
GSM4138121,2,0.5964377476822584,147,3,Mac_CXCL9,1.3058427979691687
GSM4138117,1,0.796345356628499,143,3,Mono_CD14_ID1,2.2976299708461276
GSM4138161,1,0.8026136883454329,129,3,Mono_CD14_ID1,2.2976299708461276
GSM4138127,1,0.8811718035368108,129,3,Mono_CD14_ID1,2.2976299708461276
GSM4138139,1,0.8282577691269681,125,3,Mono_CD14_ID1,2.2976299708461276
GSM4138125,1,0.856757554094669,124,3,Mono_CD14_ID1,2.2976299708461276
GSM4138161,3,0.7861723827885154,114,3,DC_pDC,1.34227043674028
GSM4138131,3,0.8727891936617708,112,3,DC_pDC,1.34227043674028
GSM4138157,2,0.6618766993278877,106,3,Mac_CXCL9,1.3058427979691687
GSM4138137,1,0.8967774320378931,103,3,Mono_CD14_ID1,2.2976299708461276
GSM4138115,2,0.6917745653384216,103,3,Mac_CXCL9,1.3058427979691687
GSM4138131,1,0.8872688346219206,102,3,Mono_CD14_ID1,2.2976299708461276
GSM4138113,1,0.7961175146374182,93,3,Mono_CD14_ID1,2.2976299708461276
GSM4138159,2,0.6460334112232176,88,3,Mac_CXCL9,1.3058427979691687
GSM4138129,1,0.8556444866417943,85,3,Mono_CD14_ID1,2.2976299708461276
GSM4138135,1,0.9103715829893828,83,3,Mono_CD14_ID1,2.2976299708461276
GSM4138141,3,0.8934944874676117,75,3,DC_pDC,1.34227043674028
GSM4138119,2,0.6025476195857516,74,3,Mac_CXCL9,1.3058427979691687
GSM4138111,3,0.7304192708886548,72,3,DC_pDC,1.34227043674028
GSM4138133,1,0.8842966793807653,63,3,Mono_CD14_ID1,2.2976299708461276
GSM4138155,3,0.8065072308234937,56,3,DC_pDC,1.34227043674028
GSM4138157,1,0.846698337641533,53,3,Mono_CD14_ID1,2.2976299708461276
GSM4138123,3,0.89082161286665,50,3,DC_pDC,1.34227043674028
GSM4138143,3,0.854836173635095,47,3,DC_pDC,1.34227043674028
GSM4138145,3,0.8910345097419601,47,3,DC_pDC,1.34227043674028
GSM4138115,1,0.8733544180322814,46,3,Mono_CD14_ID1,2.2976299708461276
GSM4138113,2,0.6942686935590024,46,3,Mac_CXCL9,1.3058427979691687
GSM4138159,1,0.8770521503913169,46,3,Mono_CD14_ID1,2.2976299708461276
GSM4138119,1,0.8907264916806871,43,3,Mono_CD14_ID1,2.2976299708461276
GSM4138153,2,0.7293645585847299,38,3,Mac_CXCL9,1.3058427979691687
GSM4138113,3,0.7799159025409726,38,3,DC_pDC,1.34227043674028
GSM4138121,1,0.8957715012116396,37,3,Mono_CD14_ID1,2.2976299708461276
GSM4138127,3,0.8841099372340152,33,3,DC_pDC,1.34227043674028
GSM4138147,3,0.8610042948818039,32,3,DC_pDC,1.34227043674028
GSM4138129,3,0.9162232384408976,28,3,DC_pDC,1.34227043674028
GSM4138149,2,0.7844084055793299,28,3,Mac_CXCL9,1.3058427979691687
GSM4138112,3,0.9480145225252716,25,3,DC_pDC,1.34227043674028
GSM4138123,1,0.9385981078063116,24,3,Mono_CD14_ID1,2.2976299708461276
GSM4138153,1,0.8706846332766258,24,3,Mono_CD14_ID1,2.2976299708461276
GSM4138139,3,0.9288264594772754,24,3,DC_pDC,1.34227043674028
GSM4138160,3,0.9637168406872292,23,3,DC_pDC,1.34227043674028
GSM4138133,3,0.968913729778171,22,3,DC_pDC,1.34227043674028
GSM4138110,3,0.9492793865854678,21,3,DC_pDC,1.34227043674028
GSM4138115,3,0.937336703195328,21,3,DC_pDC,1.34227043674028
GSM4138122,3,0.9671572886913488,20,3,DC_pDC,1.34227043674028
GSM4138128,3,0.9671572886913488,20,3,DC_pDC,1.34227043674028
GSM4138168,3,0.9011449212070114,20,3,DC_pDC,1.34227043674028
GSM4138170,2,0.9093490045761848,19,3,Mac_CXCL9,1.3058427979691687
GSM4138135,3,0.9277395526018996,19,3,DC_pDC,1.34227043674028
GSM4138162,3,0.9844611143723536,17,3,DC_pDC,1.34227043674028
GSM4138130,3,0.9655214820192856,17,3,DC_pDC,1.34227043674028
GSM4138157,3,0.9372135155166408,17,3,DC_pDC,1.34227043674028
GSM4138172,1,0.8942882041960688,17,3,Mono_CD14_ID1,2.2976299708461276
GSM4138163,3,0.9903020421816136,16,3,DC_pDC,1.34227043674028
GSM4138147,2,0.8054698739036412,16,3,Mac_CXCL9,1.3058427979691687
GSM4138151,3,0.962833882807993,16,3,DC_pDC,1.34227043674028
GSM4138172,2,0.9155732980030667,16,3,Mac_CXCL9,1.3058427979691687
GSM4138121,3,0.9032983957695008,16,3,DC_pDC,1.34227043674028
GSM4138134,3,0.975264804294986,15,3,DC_pDC,1.34227043674028
GSM4138117,3,0.8988714761016199,15,3,DC_pDC,1.34227043674028
GSM4138134,1,0.9375265302853202,1213,4,Mono_CD14_ID1,2.307140337299911
GSM4138156,1,0.8898235532929372,919,4,Mono_CD14_ID1,2.307140337299911
GSM4138126,1,0.952463858652414,758,4,Mono_CD14_ID1,2.307140337299911
GSM4138116,1,0.9194511038188076,703,4,Mono_CD14_ID1,2.307140337299911
GSM4138140,1,0.9181030810489228,700,4,Mono_CD14_ID1,2.307140337299911
GSM4138142,1,0.8939122300750916,689,4,Mono_CD14_ID1,2.307140337299911
GSM4138132,1,0.924501759892542,643,4,Mono_CD14_ID1,2.307140337299911
GSM4138136,1,0.900254442022012,641,4,Mono_CD14_ID1,2.307140337299911
GSM4138110,1,0.9189053976740236,628,4,Mono_CD14_ID1,2.307140337299911
GSM4138120,1,0.8350058803258972,609,4,Mono_CD14_ID1,2.307140337299911
GSM4138130,1,0.9145429713993988,585,4,Mono_CD14_ID1,2.307140337299911
GSM4138138,1,0.8946940598911253,576,4,Mono_CD14_ID1,2.307140337299911
GSM4138123,2,0.6374608015596221,562,4,Mac_CXCL9,1.3409065287561508
GSM4138122,1,0.8882989825751952,543,4,Mono_CD14_ID1,2.307140337299911
GSM4138128,1,0.8882989825751952,543,4,Mono_CD14_ID1,2.307140337299911
GSM4138135,2,0.6956905630594556,521,4,Mac_CXCL9,1.3409065287561508
GSM4138160,1,0.9043595733831084,485,4,Mono_CD14_ID1,2.307140337299911
GSM4138162,1,0.8899451442375059,485,4,Mono_CD14_ID1,2.307140337299911
GSM4138137,2,0.7122106249424418,469,4,Mac_CXCL9,1.3409065287561508
GSM4138166,1,0.8748052691542805,467,4,Mono_CD14_ID1,2.307140337299911
GSM4138146,1,0.8766444694029204,461,4,Mono_CD14_ID1,2.307140337299911
GSM4138152,1,0.861871870831414,461,4,Mono_CD14_ID1,2.307140337299911
GSM4138165,1,0.8800031964381653,437,4,Mono_CD14_ID1,2.307140337299911
GSM4138131,2,0.6865194434418933,436,4,Mac_CXCL9,1.3409065287561508
GSM4138163,1,0.9087111349062196,424,4,Mono_CD14_ID1,2.307140337299911
GSM4138125,2,0.6781620077310064,383,4,Mac_CXCL9,1.3409065287561508
GSM4138112,1,0.8692096204364403,354,4,Mono_CD14_ID1,2.307140337299911
GSM4138114,1,0.8727743280621546,352,4,Mono_CD14_ID1,2.307140337299911
GSM4138154,1,0.8554243030770464,352,4,Mono_CD14_ID1,2.307140337299911
GSM4138139,2,0.6689479468258397,349,4,Mac_CXCL9,1.3409065287561508
GSM4138124,1,0.9287415601125042,341,4,Mono_CD14_ID1,2.307140337299911
GSM4138167,1,0.8926047298520585,340,4,Mono_CD14_ID1,2.307140337299911
GSM4138155,2,0.5747932083159533,319,4,Mac_CXCL9,1.3409065287561508
GSM4138144,1,0.8395818442923761,298,4,Mono_CD14_ID1,2.307140337299911
GSM4138141,1,0.8683274332887482,294,4,Mono_CD14_ID1,2.307140337299911
GSM4138118,1,0.8707060076322368,292,4,Mono_CD14_ID1,2.307140337299911
GSM4138145,1,0.795396596243545,279,4,Mono_CD14_ID1,2.307140337299911
GSM4138158,1,0.8934536144496751,275,4,Mono_CD14_ID1,2.307140337299911
GSM4138133,2,0.6503142241578368,250,4,Mac_CXCL9,1.3409065287561508
GSM4138141,2,0.6441906769873009,245,4,Mac_CXCL9,1.3409065287561508
GSM4138135,4,0.7431930830339346,206,4,Mac_IL1B,1.35887232401585
GSM4138143,2,0.6323006355725633,196,4,Mac_CXCL9,1.3409065287561508
GSM4138150,1,0.8893628817520021,190,4,Mono_CD14_ID1,2.307140337299911
GSM4138155,1,0.7700529991813994,189,4,Mono_CD14_ID1,2.307140337299911
GSM4138111,2,0.604012101052005,179,4,Mac_CXCL9,1.3409065287561508
GSM4138117,2,0.6768969940567736,178,4,Mac_CXCL9,1.3409065287561508
GSM4138148,1,0.8433939758251854,177,4,Mono_CD14_ID1,2.307140337299911
GSM4138145,2,0.6623639036020814,172,4,Mac_CXCL9,1.3409065287561508
GSM4138127,2,0.6820641103681071,165,4,Mac_CXCL9,1.3409065287561508
GSM4138164,1,0.8498413236837918,155,4,Mono_CD14_ID1,2.307140337299911
GSM4138127,1,0.8740052546525878,148,4,Mono_CD14_ID1,2.307140337299911
GSM4138143,1,0.8119754737607391,147,4,Mono_CD14_ID1,2.307140337299911
GSM4138161,2,0.6091342648864404,147,4,Mac_CXCL9,1.3409065287561508
GSM4138117,1,0.7924811537183419,145,4,Mono_CD14_ID1,2.307140337299911
GSM4138139,1,0.8512745766547406,142,4,Mono_CD14_ID1,2.307140337299911
GSM4138155,4,0.6862845367208752,137,4,Mac_IL1B,1.35887232401585
GSM4138139,4,0.8084416438187683,137,4,Mac_IL1B,1.35887232401585
GSM4138161,1,0.8066222726705019,137,4,Mono_CD14_ID1,2.307140337299911
GSM4138129,2,0.7180417336720439,133,4,Mac_CXCL9,1.3409065287561508
GSM4138125,1,0.8597859015246782,130,4,Mono_CD14_ID1,2.307140337299911
GSM4138137,4,0.7802254672128748,129,4,Mac_IL1B,1.35887232401585
GSM4138111,1,0.7719263449117347,127,4,Mono_CD14_ID1,2.307140337299911
GSM4138115,2,0.7005367547853906,122,4,Mac_CXCL9,1.3409065287561508
GSM4138131,1,0.8473425991784402,117,4,Mono_CD14_ID1,2.307140337299911
GSM4138127,4,0.7735484817142165,117,4,Mac_IL1B,1.35887232401585
GSM4138137,1,0.8816264909047027,114,4,Mono_CD14_ID1,2.307140337299911
GSM4138135,1,0.9020158123485298,114,4,Mono_CD14_ID1,2.307140337299911
GSM4138161,3,0.7961539325378617,113,4,DC_pDC,1.3477762324216638
GSM4138131,3,0.8805059006911912,111,4,DC_pDC,1.3477762324216638
GSM4138113,1,0.8020183909418108,92,4,Mono_CD14_ID1,2.307140337299911
GSM4138157,2,0.7065770601739423,91,4,Mac_CXCL9,1.3409065287561508
GSM4138129,1,0.881235890066883,89,4,Mono_CD14_ID1,2.307140337299911
GSM4138131,4,0.7462460856584932,88,4,Mac_IL1B,1.35887232401585
GSM4138121,4,0.7141143672061319,85,4,Mac_IL1B,1.35887232401585
GSM4138159,2,0.6598074354866754,75,4,Mac_CXCL9,1.3409065287561508
GSM4138141,3,0.8916367495065172,74,4,DC_pDC,1.3477762324216638
GSM4138111,3,0.7586753836429339,71,4,DC_pDC,1.3477762324216638
GSM4138119,2,0.5930030785628881,60,4,Mac_CXCL9,1.3409065287561508
GSM4138121,2,0.6704998076722386,57,4,Mac_CXCL9,1.3409065287561508
GSM4138155,3,0.822255839416768,52,4,DC_pDC,1.3477762324216638
GSM4138157,1,0.8641175229199973,51,4,Mono_CD14_ID1,2.307140337299911
GSM4138159,1,0.9247693220083734,50,4,Mono_CD14_ID1,2.307140337299911
GSM4138119,1,0.7652097301772163,50,4,Mono_CD14_ID1,2.307140337299911
GSM4138123,3,0.89082161286665,50,4,DC_pDC,1.3477762324216638
GSM4138143,3,0.8312257644588733,48,4,DC_pDC,1.3477762324216638
GSM4138113,2,0.7136410944873308,47,4,Mac_CXCL9,1.3409065287561508
GSM4138133,1,0.93043632861976,46,4,Mono_CD14_ID1,2.307140337299911
GSM4138145,3,0.9157891509887158,46,4,DC_pDC,1.3477762324216638
GSM4138161,4,0.8245747160094892,46,4,Mac_IL1B,1.35887232401585
GSM4138121,1,0.8405190953348887,43,4,Mono_CD14_ID1,2.307140337299911
GSM4138153,2,0.7057081177465747,43,4,Mac_CXCL9,1.3409065287561508
GSM4138113,3,0.7799159025409726,38,4,DC_pDC,1.3477762324216638
GSM4138145,4,0.8938578333136451,37,4,Mac_IL1B,1.35887232401585
GSM4138123,4,0.8386398489047179,32,4,Mac_IL1B,1.35887232401585
GSM4138147,3,0.8610042948818039,32,4,DC_pDC,1.3477762324216638
GSM4138127,3,0.9002007116477044,32,4,DC_pDC,1.3477762324216638
GSM4138149,2,0.780801232618827,28,4,Mac_CXCL9,1.3409065287561508
GSM4138115,1,0.9339541698481096,28,4,Mono_CD14_ID1,2.307140337299911
GSM4138129,4,0.8503529347465156,27,4,Mac_IL1B,1.35887232401585
GSM4138123,1,0.9321866434337188,27,4,Mono_CD14_ID1,2.307140337299911
GSM4138112,3,0.9480145225252716,25,4,DC_pDC,1.3477762324216638
GSM4138129,3,0.9522192501682016,25,4,DC_pDC,1.3477762324216638
GSM4138160,3,0.9637168406872292,23,4,DC_pDC,1.3477762324216638
GSM4138139,3,0.9353229218665796,23,4,DC_pDC,1.3477762324216638
GSM4138133,3,0.968913729778171,22,4,DC_pDC,1.3477762324216638
GSM4138110,3,0.9492793865854678,21,4,DC_pDC,1.3477762324216638
GSM4138170,2,0.9310118739481325,20,4,Mac_CXCL9,1.3409065287561508
GSM4138128,3,0.9671572886913488,20,4,DC_pDC,1.3477762324216638
GSM4138115,3,0.9465956413034108,20,4,DC_pDC,1.3477762324216638
GSM4138168,3,0.9011449212070114,20,4,DC_pDC,1.3477762324216638
GSM4138122,3,0.9671572886913488,20,4,DC_pDC,1.3477762324216638
GSM4138141,4,0.919475788810371,19,4,Mac_IL1B,1.35887232401585
GSM4138153,1,0.9379991373692308,19,4,Mono_CD14_ID1,2.307140337299911
GSM4138147,2,0.8350821125764198,19,4,Mac_CXCL9,1.3409065287561508
GSM4138171,2,0.9337810089115642,18,4,Mac_CXCL9,1.3409065287561508
GSM4138135,3,0.9478940622923178,18,4,DC_pDC,1.3477762324216638
GSM4138172,2,0.8832833746836937,18,4,Mac_CXCL9,1.3409065287561508
GSM4138157,3,0.9372135155166408,17,4,DC_pDC,1.3477762324216638
GSM4138162,3,0.9844611143723536,17,4,DC_pDC,1.3477762324216638
GSM4138157,4,0.9590931618417232,17,4,Mac_IL1B,1.35887232401585
GSM4138130,3,0.9655214820192856,17,4,DC_pDC,1.3477762324216638
GSM4138163,3,0.9903020421816136,16,4,DC_pDC,1.3477762324216638
GSM4138172,1,0.9159979071124504,15,4,Mono_CD14_ID1,2.307140337299911
GSM4138134,3,0.975264804294986,15,4,DC_pDC,1.3477762324216638
GSM4138121,3,0.8925741955797982,15,4,DC_pDC,1.3477762324216638
GSM4138151,3,0.9660966498243028,15,4,DC_pDC,1.3477762324216638
GSM4138134,1,0.9375265302853202,1213,5,Mono_CD14_ID1,2.308379126529838
GSM4138156,1,0.8898235532929372,919,5,Mono_CD14_ID1,2.308379126529838
GSM4138126,1,0.952463858652414,758,5,Mono_CD14_ID1,2.308379126529838
GSM4138116,1,0.9194511038188076,703,5,Mono_CD14_ID1,2.308379126529838
GSM4138140,1,0.9181030810489228,700,5,Mono_CD14_ID1,2.308379126529838
GSM4138142,1,0.8939122300750916,689,5,Mono_CD14_ID1,2.308379126529838
GSM4138132,1,0.924501759892542,643,5,Mono_CD14_ID1,2.308379126529838
GSM4138136,1,0.900254442022012,641,5,Mono_CD14_ID1,2.308379126529838
GSM4138110,1,0.9189053976740236,628,5,Mono_CD14_ID1,2.308379126529838
GSM4138120,1,0.8350058803258972,609,5,Mono_CD14_ID1,2.308379126529838
GSM4138130,1,0.9145429713993988,585,5,Mono_CD14_ID1,2.308379126529838
GSM4138138,1,0.8946940598911253,576,5,Mono_CD14_ID1,2.308379126529838
GSM4138123,2,0.666782490478695,550,5,Mac_CXCL9,1.334929204562302
GSM4138122,1,0.888430729830415,544,5,Mono_CD14_ID1,2.308379126529838
GSM4138128,1,0.888430729830415,544,5,Mono_CD14_ID1,2.308379126529838
GSM4138135,2,0.7087859089894566,493,5,Mac_CXCL9,1.334929204562302
GSM4138162,1,0.8899451442375059,485,5,Mono_CD14_ID1,2.308379126529838
GSM4138160,1,0.9043595733831084,485,5,Mono_CD14_ID1,2.308379126529838
GSM4138166,1,0.8748052691542805,467,5,Mono_CD14_ID1,2.308379126529838
GSM4138146,1,0.8766444694029204,461,5,Mono_CD14_ID1,2.308379126529838
GSM4138152,1,0.861871870831414,461,5,Mono_CD14_ID1,2.308379126529838
GSM4138137,2,0.7252770551626463,460,5,Mac_CXCL9,1.334929204562302
GSM4138165,1,0.8800031964381653,437,5,Mono_CD14_ID1,2.308379126529838
GSM4138163,1,0.9087111349062196,424,5,Mono_CD14_ID1,2.308379126529838
GSM4138131,2,0.70487932427237,409,5,Mac_CXCL9,1.334929204562302
GSM4138125,2,0.6845844622939111,379,5,Mac_CXCL9,1.334929204562302
GSM4138112,1,0.8692096204364403,354,5,Mono_CD14_ID1,2.308379126529838
GSM4138114,1,0.8727743280621546,352,5,Mono_CD14_ID1,2.308379126529838
GSM4138154,1,0.8554243030770464,352,5,Mono_CD14_ID1,2.308379126529838
GSM4138167,1,0.8926047298520585,340,5,Mono_CD14_ID1,2.308379126529838
GSM4138124,1,0.9286797788464348,340,5,Mono_CD14_ID1,2.308379126529838
GSM4138155,2,0.5764498656311816,300,5,Mac_CXCL9,1.334929204562302
GSM4138144,1,0.8395818442923761,298,5,Mono_CD14_ID1,2.308379126529838
GSM4138141,1,0.8683274332887482,294,5,Mono_CD14_ID1,2.308379126529838
GSM4138118,1,0.8707060076322368,292,5,Mono_CD14_ID1,2.308379126529838
GSM4138139,2,0.691754213376736,286,5,Mac_CXCL9,1.334929204562302
GSM4138145,1,0.794564535315921,283,5,Mono_CD14_ID1,2.308379126529838
GSM4138158,1,0.8925965768186321,276,5,Mono_CD14_ID1,2.308379126529838
GSM4138133,2,0.6531416439980401,239,5,Mac_CXCL9,1.334929204562302
GSM4138141,2,0.6530014377900972,235,5,Mac_CXCL9,1.334929204562302
GSM4138135,4,0.7455364916872056,209,5,Mac_IL1B,1.360238756347714
GSM4138155,1,0.7678295423707263,190,5,Mono_CD14_ID1,2.308379126529838
GSM4138150,1,0.8893628817520021,190,5,Mono_CD14_ID1,2.308379126529838
GSM4138148,1,0.8433939758251854,177,5,Mono_CD14_ID1,2.308379126529838
GSM4138145,2,0.6604202553332438,166,5,Mac_CXCL9,1.334929204562302
GSM4138127,2,0.6707316859581609,164,5,Mac_CXCL9,1.334929204562302
GSM4138143,2,0.6493285550939301,159,5,Mac_CXCL9,1.334929204562302
GSM4138117,2,0.6903560859932671,157,5,Mac_CXCL9,1.334929204562302
GSM4138164,1,0.8498413236837918,155,5,Mono_CD14_ID1,2.308379126529838
GSM4138143,1,0.8102051526021767,153,5,Mono_CD14_ID1,2.308379126529838
GSM4138117,1,0.7938389863817706,150,5,Mono_CD14_ID1,2.308379126529838
GSM4138127,1,0.8711429173309513,148,5,Mono_CD14_ID1,2.308379126529838
GSM4138139,1,0.834290847198747,145,5,Mono_CD14_ID1,2.308379126529838
GSM4138161,1,0.80924039533667,140,5,Mono_CD14_ID1,2.308379126529838
GSM4138111,2,0.6195726228401437,139,5,Mac_CXCL9,1.334929204562302
GSM4138139,4,0.8084416438187683,137,5,Mac_IL1B,1.360238756347714
GSM4138111,1,0.7534022936455689,137,5,Mono_CD14_ID1,2.308379126529838
GSM4138161,2,0.5998862160810031,136,5,Mac_CXCL9,1.334929204562302
GSM4138155,4,0.6830662760832653,136,5,Mac_IL1B,1.360238756347714
GSM4138137,4,0.7771255156817489,131,5,Mac_IL1B,1.360238756347714
GSM4138125,1,0.8597859015246782,130,5,Mono_CD14_ID1,2.308379126529838
GSM4138129,2,0.7387712241856241,122,5,Mac_CXCL9,1.334929204562302
GSM4138131,1,0.8426406620104,121,5,Mono_CD14_ID1,2.308379126529838
GSM4138135,1,0.9009569228315604,118,5,Mono_CD14_ID1,2.308379126529838
GSM4138127,4,0.7735484817142165,117,5,Mac_IL1B,1.360238756347714
GSM4138137,1,0.8810181361681796,115,5,Mono_CD14_ID1,2.308379126529838
GSM4138161,3,0.7961539325378617,113,5,DC_pDC,1.3392428913948986
GSM4138131,3,0.8727891936617708,112,5,DC_pDC,1.3392428913948986
GSM4138115,2,0.690773063365853,110,5,Mac_CXCL9,1.334929204562302
GSM4138113,1,0.79875145105165,93,5,Mono_CD14_ID1,2.308379126529838
GSM4138131,4,0.7475409810064171,91,5,Mac_IL1B,1.360238756347714
GSM4138129,1,0.881235890066883,89,5,Mono_CD14_ID1,2.308379126529838
GSM4138121,4,0.7141143672061319,85,5,Mac_IL1B,1.360238756347714
GSM4138157,2,0.7069168911243342,80,5,Mac_CXCL9,1.334929204562302
GSM4138159,2,0.674027261190151,74,5,Mac_CXCL9,1.334929204562302
GSM4138141,3,0.8916367495065172,74,5,DC_pDC,1.3392428913948986
GSM4138111,3,0.7586753836429339,71,5,DC_pDC,1.3392428913948986
GSM4138139,5,0.94695658041952,60,5,Mast,1.2548338661059304
GSM4138121,2,0.6704998076722386,57,5,Mac_CXCL9,1.334929204562302
GSM4138155,3,0.822255839416768,52,5,DC_pDC,1.3392428913948986
GSM4138157,1,0.870021734089935,52,5,Mono_CD14_ID1,2.308379126529838
GSM4138119,2,0.5998489339703665,52,5,Mac_CXCL9,1.334929204562302
GSM4138123,3,0.89082161286665,50,5,DC_pDC,1.3392428913948986
GSM4138119,1,0.7652097301772163,50,5,Mono_CD14_ID1,2.308379126529838
GSM4138159,1,0.9247693220083734,50,5,Mono_CD14_ID1,2.308379126529838
GSM4138133,1,0.9240077724196482,48,5,Mono_CD14_ID1,2.308379126529838
GSM4138143,3,0.8312257644588733,48,5,DC_pDC,1.3392428913948986
GSM4138145,3,0.9157891509887158,46,5,DC_pDC,1.3392428913948986
GSM4138161,4,0.8245747160094892,46,5,Mac_IL1B,1.360238756347714
GSM4138121,1,0.8405190953348887,43,5,Mono_CD14_ID1,2.308379126529838
GSM4138113,2,0.7233294532275388,42,5,Mac_CXCL9,1.334929204562302
GSM4138113,3,0.7799159025409726,38,5,DC_pDC,1.3392428913948986
GSM4138145,4,0.8938578333136451,37,5,Mac_IL1B,1.360238756347714
GSM4138153,2,0.7218035395065683,36,5,Mac_CXCL9,1.334929204562302
GSM4138127,3,0.8841099372340152,33,5,DC_pDC,1.3392428913948986
GSM4138123,4,0.8386398489047179,32,5,Mac_IL1B,1.360238756347714
GSM4138147,3,0.8610042948818039,32,5,DC_pDC,1.3392428913948986
GSM4138143,5,0.9499099441330964,31,5,Mast,1.2548338661059304
GSM4138111,5,0.8494515226370922,30,5,Mast,1.2548338661059304
GSM4138115,1,0.9219370262385554,30,5,Mono_CD14_ID1,2.308379126529838
GSM4138123,1,0.9321866434337188,27,5,Mono_CD14_ID1,2.308379126529838
GSM4138129,4,0.8503529347465156,27,5,Mac_IL1B,1.360238756347714
GSM4138112,3,0.9480145225252716,25,5,DC_pDC,1.3392428913948986
GSM4138129,3,0.9522192501682016,25,5,DC_pDC,1.3392428913948986
GSM4138139,3,0.9353229218665796,23,5,DC_pDC,1.3392428913948986
