K,GEP,n_samples,median_ROGUE,mean_ROGUE,min_ROGUE,max_ROGUE,total_cells
10,7,28,0.931,0.923,0.827,0.99,968
10,8,8,0.768,0.774,0.659,0.893,690
10,9,11,0.881,0.88,0.815,0.951,329
10,10,7,0.954,0.942,0.857,0.984,192
11,1,55,0.889,0.878,0.764,0.952,18705
11,2,28,0.787,0.792,0.626,0.959,1355
11,3,12,0.81,0.815,0.717,0.907,1314
11,4,12,0.817,0.811,0.707,0.962,1013
11,5,13,0.735,0.735,0.652,0.851,666
11,6,28,0.93,0.924,0.827,0.99,963
11,7,8,0.752,0.768,0.665,0.881,667
11,8,4,0.885,0.877,0.777,0.963,230
11,9,11,0.881,0.881,0.816,0.952,329
11,10,7,0.954,0.944,0.857,0.984,191
12,1,53,0.944,0.925,0.808,0.983,12592
12,2,45,0.921,0.927,0.85,1.0,5435
12,3,32,0.808,0.806,0.632,0.966,1573
12,4,14,0.812,0.823,0.714,0.947,1434
12,5,14,0.739,0.744,0.64,0.854,733
12,6,12,0.814,0.804,0.698,0.94,1043
12,7,28,0.931,0.924,0.827,0.99,969
12,8,8,0.764,0.771,0.668,0.875,699
12,9,4,0.887,0.883,0.781,0.976,240
12,10,11,0.881,0.882,0.816,0.952,328
12,11,7,0.954,0.944,0.857,0.984,191
13,1,53,0.943,0.924,0.792,0.983,12660
13,2,46,0.923,0.927,0.861,0.985,5417
13,3,32,0.797,0.802,0.615,0.96,1691
13,4,12,0.807,0.809,0.709,0.924,1415
13,5,14,0.742,0.75,0.637,0.881,721
13,6,28,0.931,0.923,0.827,0.99,968
13,7,11,0.839,0.81,0.714,0.911,878
13,8,8,0.76,0.773,0.692,0.875,703
13,9,4,0.893,0.879,0.778,0.953,242
13,10,11,0.881,0.882,0.816,0.952,328
13,11,7,0.954,0.944,0.857,0.984,191
14,1,53,0.943,0.927,0.799,0.983,12475
14,2,48,0.924,0.925,0.832,0.989,5542
14,3,29,0.814,0.822,0.637,0.964,1313
14,4,14,0.821,0.83,0.701,0.951,1449
14,5,11,0.903,0.891,0.744,0.959,357
14,6,14,0.737,0.745,0.64,0.865,734
14,7,27,0.931,0.925,0.822,0.99,957
14,8,8,0.776,0.769,0.667,0.857,714
14,9,11,0.835,0.815,0.72,0.911,792
14,10,5,0.876,0.867,0.777,0.916,261
14,11,11,0.892,0.882,0.808,0.951,328
14,12,7,0.954,0.94,0.856,0.984,193
15,1,56,0.872,0.859,0.675,0.963,15238
15,2,51,0.892,0.873,0.699,0.967,5007
15,3,20,0.799,0.807,0.662,0.93,1494
15,4,29,0.934,0.919,0.805,0.99,961
15,5,11,0.849,0.835,0.715,0.915,652
15,6,5,0.858,0.853,0.737,0.944,300
15,7,10,0.758,0.761,0.635,0.881,814
15,8,8,0.907,0.896,0.809,0.959,213
15,9,7,0.766,0.805,0.755,0.918,208
15,10,7,0.95,0.942,0.849,0.984,194
15,11,7,0.868,0.862,0.737,0.935,268
15,12,1,0.941,0.941,0.941,0.941,15
16,1,62,0.863,0.805,0.543,0.952,24715
16,2,24,0.929,0.93,0.845,0.986,628
16,4,9,0.884,0.879,0.708,0.958,242
16,5,6,0.97,0.965,0.941,0.983,132
16,9,3,0.951,0.927,0.876,0.954,58
17,1,62,0.862,0.807,0.551,0.972,24015
17,2,30,0.927,0.901,0.747,0.986,1057
17,3,8,0.816,0.811,0.723,0.851,570
17,4,7,0.96,0.96,0.941,0.984,165
17,9,1,0.938,0.938,0.938,0.938,17
18,1,62,0.863,0.805,0.541,0.972,24415
18,2,25,0.919,0.906,0.718,0.986,683
18,3,6,0.969,0.966,0.943,0.977,130
18,5,6,0.919,0.91,0.867,0.943,219
18,6,7,0.806,0.824,0.729,0.944,270
19,1,47,0.9,0.883,0.622,0.966,6204
19,2,53,0.902,0.887,0.751,0.981,2113
19,3,52,0.883,0.855,0.657,0.964,8060
19,4,56,0.871,0.847,0.65,0.96,6205
19,5,10,0.816,0.829,0.686,0.951,258
19,6,11,0.917,0.892,0.751,0.994,554
19,7,16,0.801,0.815,0.692,0.946,1450
19,8,7,0.859,0.87,0.82,0.912,207
19,9,2,0.89,0.89,0.853,0.926,97
19,10,6,0.954,0.94,0.856,0.975,172
20,1,52,0.972,0.948,0.816,0.991,8919
20,2,53,0.876,0.859,0.7,0.947,6673
20,3,39,0.962,0.957,0.889,1.0,3635
20,4,17,0.804,0.82,0.691,0.944,1651
20,5,12,0.819,0.81,0.683,0.927,964
20,6,12,0.733,0.74,0.647,0.817,528
20,7,12,0.837,0.826,0.735,0.908,391
20,8,25,0.934,0.924,0.799,0.994,891
20,9,7,0.773,0.776,0.699,0.88,537
20,10,5,0.862,0.861,0.769,0.929,279
20,11,12,0.869,0.854,0.754,0.954,371
20,12,2,0.88,0.88,0.859,0.902,112
20,13,7,0.954,0.944,0.858,0.984,192
21,1,53,0.882,0.876,0.771,0.953,10045
21,2,51,0.971,0.953,0.826,0.991,8729
21,3,15,0.817,0.828,0.701,0.967,1497
21,4,10,0.93,0.908,0.721,0.968,239
21,5,28,0.931,0.924,0.803,0.99,972
21,6,11,0.811,0.811,0.721,0.912,876
21,7,9,0.723,0.741,0.656,0.83,355
21,8,7,0.811,0.806,0.713,0.881,470
21,9,5,0.783,0.801,0.753,0.871,167
21,10,7,0.913,0.9,0.839,0.94,167
21,11,5,0.872,0.862,0.768,0.925,281
21,12,11,0.798,0.796,0.632,0.902,364
21,13,11,0.894,0.889,0.799,0.951,329
21,14,2,0.836,0.836,0.769,0.904,54
21,15,2,0.897,0.897,0.858,0.936,109
21,16,7,0.954,0.94,0.857,0.984,192
21,18,1,0.94,0.94,0.94,0.94,24
22,1,51,0.971,0.953,0.835,0.991,8916
22,2,51,0.882,0.881,0.764,0.978,5972
22,3,38,0.961,0.959,0.91,0.992,3628
22,4,15,0.813,0.822,0.701,0.942,1521
22,5,8,0.913,0.893,0.721,0.952,206
22,6,28,0.931,0.923,0.82,0.99,978
22,7,11,0.817,0.809,0.721,0.912,888
22,8,7,0.806,0.803,0.715,0.881,500
22,9,9,0.721,0.742,0.667,0.832,357
22,10,6,0.901,0.895,0.84,0.935,156
22,11,5,0.793,0.802,0.742,0.871,172
22,12,5,0.872,0.863,0.775,0.925,282
22,13,3,0.814,0.832,0.811,0.871,66
22,14,11,0.815,0.795,0.629,0.906,380
22,15,11,0.896,0.889,0.798,0.951,327
22,16,7,0.954,0.94,0.857,0.984,192
22,17,2,0.896,0.896,0.856,0.936,112
22,19,1,0.94,0.94,0.94,0.94,24
23,1,48,0.973,0.957,0.851,0.991,8693
23,2,50,0.883,0.879,0.763,0.97,5966
23,3,40,0.963,0.961,0.908,1.0,3621
23,4,15,0.81,0.824,0.697,0.942,1519
23,5,5,0.907,0.895,0.711,0.989,124
23,6,28,0.931,0.925,0.82,0.99,975
23,7,13,0.845,0.845,0.725,0.92,901
23,8,9,0.721,0.738,0.656,0.805,359
23,9,3,0.798,0.81,0.779,0.855,74
23,10,6,0.911,0.904,0.84,0.935,153
23,11,7,0.829,0.811,0.714,0.893,457
23,12,5,0.808,0.805,0.743,0.884,172
23,13,11,0.815,0.797,0.631,0.906,382
23,14,5,0.888,0.865,0.767,0.901,259
23,15,11,0.896,0.889,0.798,0.951,327
23,16,6,0.856,0.855,0.763,0.942,264
23,17,7,0.954,0.944,0.857,0.984,191
23,18,2,0.899,0.899,0.874,0.924,101
23,19,1,0.94,0.94,0.94,0.94,24
24,1,59,0.866,0.837,0.595,0.952,19968
24,2,23,0.74,0.737,0.57,0.883,3017
24,3,9,0.741,0.782,0.696,0.889,326
24,4,28,0.947,0.931,0.843,0.99,934
24,5,7,0.826,0.831,0.734,0.942,402
24,6,5,0.868,0.884,0.832,0.944,203
24,7,8,0.911,0.899,0.839,0.962,217
24,8,5,0.834,0.807,0.672,0.863,127
24,10,7,0.95,0.936,0.856,0.984,195
24,16,1,0.959,0.959,0.959,0.959,20
25,1,36,0.896,0.87,0.687,1.0,2648
25,2,52,0.897,0.847,0.635,0.97,4723
25,3,54,0.841,0.827,0.607,0.954,6623
25,4,54,0.934,0.918,0.798,1.0,6861
25,5,16,0.807,0.804,0.654,0.926,1340
25,6,40,0.943,0.931,0.819,0.992,2107
25,7,7,0.947,0.937,0.849,0.984,196
25,8,4,0.919,0.919,0.848,0.989,127
25,9,1,0.829,0.829,0.829,0.829,19
25,10,3,0.841,0.836,0.801,0.865,144
25,13,1,0.889,0.889,0.889,0.889,24
25,14,9,0.935,0.92,0.866,0.958,256
26,1,61,0.834,0.798,0.563,0.947,10974
26,2,52,0.933,0.923,0.799,0.979,7524
26,4,54,0.916,0.864,0.66,0.985,5966
26,5,6,0.889,0.888,0.834,0.943,198
26,6,1,0.961,0.961,0.961,0.961,17
26,7,3,0.803,0.851,0.789,0.96,66
26,14,2,0.96,0.96,0.92,1.0,39
26,16,5,0.77,0.798,0.703,1.0,213
26,18,7,0.906,0.881,0.74,0.927,170
26,20,4,0.882,0.873,0.799,0.929,70
27,1,58,0.853,0.806,0.58,0.942,15932
27,3,48,0.943,0.939,0.858,0.987,5911
27,4,6,0.91,0.89,0.777,0.954,192
27,8,18,0.743,0.751,0.557,0.893,1252
27,11,16,0.96,0.954,0.895,0.991,516
27,13,18,0.876,0.858,0.647,0.989,495
27,16,11,0.794,0.784,0.657,0.951,417
27,18,2,0.939,0.939,0.923,0.955,49
27,19,3,0.985,0.975,0.953,0.987,59
28,1,62,0.862,0.81,0.553,0.952,24311
28,2,13,0.864,0.843,0.738,0.945,429
28,3,2,0.958,0.958,0.946,0.969,41
28,4,10,0.882,0.879,0.786,0.975,351
28,9,12,0.939,0.942,0.911,0.976,286
28,10,5,0.948,0.936,0.88,0.967,148
29,1,58,0.855,0.826,0.594,0.957,14322
29,2,53,0.923,0.863,0.56,0.991,4475
29,3,49,0.92,0.855,0.631,1.0,3545
29,6,3,0.926,0.909,0.858,0.943,55
29,8,22,0.965,0.905,0.708,0.995,798
29,9,6,0.943,0.923,0.849,0.963,183
29,10,14,0.945,0.911,0.732,0.99,373
29,11,17,0.927,0.902,0.738,1.0,509
29,12,9,0.914,0.904,0.851,0.934,303
29,13,2,0.916,0.916,0.882,0.949,39
30,1,57,0.857,0.807,0.548,0.953,22429
30,2,25,0.857,0.866,0.625,1.0,950
30,5,6,0.966,0.96,0.939,0.97,131
30,6,32,0.831,0.841,0.668,1.0,1295
30,7,1,0.972,0.972,0.972,0.972,21
30,8,8,0.915,0.903,0.795,0.988,189
30,12,6,0.873,0.875,0.802,0.943,123
30,15,1,0.908,0.908,0.908,0.908,22
31,1,46,0.96,0.897,0.664,0.992,2016
31,2,54,0.91,0.845,0.576,0.965,9174
31,3,56,0.843,0.801,0.599,0.947,8826
31,4,8,0.802,0.8,0.63,0.929,443
31,5,53,0.89,0.862,0.62,0.967,4799
31,6,2,0.879,0.879,0.822,0.936,41
31,7,6,0.925,0.918,0.861,0.954,184
31,15,1,0.894,0.894,0.894,0.894,32
32,1,63,0.845,0.799,0.543,0.952,25688
32,6,2,0.906,0.906,0.879,0.932,43
32,8,4,0.96,0.957,0.924,0.983,91
32,16,1,0.907,0.907,0.907,0.907,21
32,18,1,0.953,0.953,0.953,0.953,17
32,19,1,0.975,0.975,0.975,0.975,17
33,1,49,0.95,0.889,0.609,0.992,2616
33,2,61,0.848,0.806,0.567,0.962,12580
33,3,56,0.896,0.85,0.597,0.97,9842
33,6,1,0.95,0.95,0.95,0.95,15
33,7,2,0.876,0.876,0.805,0.947,37
33,10,5,0.945,0.921,0.86,0.976,145
33,12,6,0.854,0.858,0.732,1.0,156
33,15,2,0.89,0.89,0.871,0.91,35
33,19,1,0.978,0.978,0.978,0.978,15
34,1,59,0.855,0.815,0.616,0.952,15617
34,2,47,0.96,0.91,0.683,0.989,2321
34,3,16,0.789,0.784,0.626,0.932,1616
34,4,6,0.853,0.831,0.715,0.933,274
34,5,51,0.906,0.862,0.638,1.0,3338
34,6,2,0.947,0.947,0.941,0.954,44
34,9,42,0.956,0.942,0.792,0.994,1717
34,10,1,0.882,0.882,0.882,0.882,22
34,11,1,0.949,0.949,0.949,0.949,23
34,15,9,0.98,0.975,0.907,1.0,208
34,18,3,0.962,0.964,0.96,0.972,74
35,1,59,0.844,0.818,0.623,0.946,15913
35,2,43,0.96,0.91,0.702,0.988,1960
35,3,42,0.961,0.951,0.844,1.0,1431
35,4,12,0.836,0.829,0.709,0.912,591
35,5,45,0.938,0.896,0.682,0.993,2600
35,6,4,0.776,0.779,0.709,0.856,235
35,7,1,0.943,0.943,0.943,0.943,17
35,8,1,0.787,0.787,0.787,0.787,35
35,9,2,0.947,0.947,0.933,0.962,42
35,11,10,0.808,0.815,0.679,0.936,600
35,12,6,0.887,0.869,0.786,0.919,138
35,13,4,0.959,0.954,0.932,0.967,94
35,14,1,0.935,0.935,0.935,0.935,15
35,15,11,0.84,0.827,0.695,0.944,547
35,16,5,0.837,0.83,0.786,0.858,138
35,18,10,0.801,0.795,0.702,0.888,434
