NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC		24	-0.70036465	-1.5950892	0.0033783785	0.06218128	0.944	1154	tags=71%, list=23%, signal=92%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION		96	-0.58429056	-1.5932653	0.0	0.06271864	0.948	911	tags=44%, list=18%, signal=52%	
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT		100	-0.5773789	-1.5927466	0.0	0.062120985	0.95	836	tags=29%, list=17%, signal=34%	
GOBP_REGULATION_OF_CELL_KILLING	GOBP_REGULATION_OF_CELL_KILLING		67	-0.5961839	-1.5887928	0.0	0.06546562	0.961	745	tags=36%, list=15%, signal=42%	
GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE	GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE		102	-0.57353115	-1.5855628	0.0	0.06820559	0.97	1031	tags=42%, list=21%, signal=52%	
GOBP_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_NEUTROPHIL_MIGRATION		18	-0.7128326	-1.5775797	0.0070588235	0.07700368	0.985	756	tags=44%, list=15%, signal=52%	
GOBP_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_LEUKOCYTE_CELL_CELL_ADHESION		222	-0.54507023	-1.5773779	0.0	0.0758354	0.985	1310	tags=52%, list=26%, signal=67%	
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE		113	-0.5720596	-1.5757486	0.0	0.07666438	0.985	1065	tags=45%, list=21%, signal=56%	
GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION		26	-0.67558205	-1.5733917	0.0034168565	0.07842423	0.99	825	tags=54%, list=17%, signal=64%	
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION		216	-0.5460336	-1.573318	0.0	0.07711816	0.99	1061	tags=38%, list=21%, signal=46%	
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	GOBP_REGULATION_OF_B_CELL_PROLIFERATION		45	-0.62753695	-1.5725887	0.0	0.076695845	0.99	539	tags=51%, list=11%, signal=57%	
GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS	GOBP_PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS		22	-0.68631023	-1.5705703	0.0056179776	0.07819268	0.991	779	tags=45%, list=16%, signal=54%	
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN		16	-0.725536	-1.5660676	0.005720824	0.08400581	0.994	574	tags=44%, list=11%, signal=49%	
GOBP_CALCIUM_ION_TRANSPORT	GOBP_CALCIUM_ION_TRANSPORT		171	-0.5465392	-1.5658855	0.0	0.0828568	0.995	614	tags=22%, list=12%, signal=24%	
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY		109	-0.5673297	-1.5634748	0.0010362695	0.0849378	0.995	1051	tags=42%, list=21%, signal=52%	
GOBP_LEUKOCYTE_DEGRANULATION	GOBP_LEUKOCYTE_DEGRANULATION		51	-0.61942714	-1.5614592	0.0	0.08676292	0.997	745	tags=37%, list=15%, signal=43%	
GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS	GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS		43	-0.630586	-1.5607792	0.00220022	0.086775646	0.997	1301	tags=60%, list=26%, signal=81%	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS		27	-0.6588425	-1.5598317	0.002259887	0.08697174	0.997	1060	tags=63%, list=21%, signal=79%	
GOBP_SYNCYTIUM_FORMATION	GOBP_SYNCYTIUM_FORMATION		27	-0.6541321	-1.5577161	0.0045045046	0.08878881	0.999	407	tags=22%, list=8%, signal=24%	
GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY	GOBP_T_CELL_RECEPTOR_SIGNALING_PATHWAY		75	-0.5828839	-1.5574464	0.0	0.087998234	0.999	899	tags=48%, list=18%, signal=58%	
GOBP_LEUKOCYTE_CHEMOTAXIS	GOBP_LEUKOCYTE_CHEMOTAXIS		156	-0.5447455	-1.5562768	0.0	0.08860636	0.999	997	tags=30%, list=20%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS	GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_CHEMOTAXIS		16	-0.7189389	-1.5529363	0.010404624	0.09195059	0.999	323	tags=31%, list=6%, signal=33%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY		48	-0.6179447	-1.5522909	0.005458515	0.09157438	0.999	1031	tags=46%, list=21%, signal=57%	
GOBP_LYMPHOCYTE_COSTIMULATION	GOBP_LYMPHOCYTE_COSTIMULATION		34	-0.64443254	-1.5515743	0.002224694	0.091560215	0.999	1051	tags=56%, list=21%, signal=70%	
GOBP_ACTIN_FILAMENT_POLYMERIZATION	GOBP_ACTIN_FILAMENT_POLYMERIZATION		62	-0.5916275	-1.5503352	0.0	0.09233545	0.999	1263	tags=50%, list=25%, signal=66%	
GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	GOBP_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING		44	-0.6141071	-1.5474015	0.0033370412	0.09533946	0.999	731	tags=32%, list=15%, signal=37%	
GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION	GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION		21	-0.6872299	-1.545854	0.0045454544	0.096215054	0.999	794	tags=38%, list=16%, signal=45%	
GOBP_LEUKOCYTE_HOMEOSTASIS	GOBP_LEUKOCYTE_HOMEOSTASIS		63	-0.59298503	-1.5456178	0.0	0.09530393	0.999	1011	tags=48%, list=20%, signal=59%	
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION		36	-0.63013464	-1.5436727	0.006764374	0.0968506	1.0	1154	tags=58%, list=23%, signal=75%	
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	GOBP_ALPHA_BETA_T_CELL_PROLIFERATION		28	-0.6548472	-1.540478	0.0033519552	0.100449935	1.0	1058	tags=61%, list=21%, signal=77%	
GOBP_LYMPHOCYTE_DIFFERENTIATION	GOBP_LYMPHOCYTE_DIFFERENTIATION		224	-0.5346999	-1.5369307	0.0	0.10463429	1.0	756	tags=40%, list=15%, signal=45%	
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION		84	-0.5629829	-1.534919	0.0	0.106519856	1.0	1423	tags=54%, list=28%, signal=74%	
GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	GOBP_NEGATIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION		26	-0.65800923	-1.5344244	0.005733945	0.10604618	1.0	862	tags=58%, list=17%, signal=69%	
GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION		266	-0.5257429	-1.5338397	0.0	0.10577988	1.0	1067	tags=46%, list=21%, signal=55%	
