label,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,k,gep
k8_8,-2.4393730696553315,1.163569030031501,5.641800477298022,3.393713618890549,-0.06141508580558155,-6.978327742103419,-10.653929474177009,-0.014264504495809661,15.875798471692956,18.719394433463613,8,8
k9_1,8.50192903254155,9.112479490907296,18.286826192376132,21.89688444365422,5.869243545278563,-18.08141837289761,8.831376359748111,-3.794162930547779,-2.4063279977633303,-0.5701068525239753,9,1
k9_2,5.795760177964425,28.118468856302222,-29.822029852251397,-17.184575223869643,-2.2866657713813705,-3.8758530247213785,-7.254882398962055,-21.798901540147448,4.831969951086394,-2.5630266243113136,9,2
k9_3,1.205169320502148,-5.535991251740656,25.68305032623957,-14.832500647358371,-19.25177123283254,3.2907317622891035,-18.031295014959042,3.610495855905988,-5.652136278126252,-4.633894253286126,9,3
k9_4,-39.475655369292376,-18.40083575537964,-13.963650255383612,-5.672606346693956,0.3994695506063404,-5.1501393409964775,1.205928147879782,-0.216171946097565,-6.861373690783779,-0.017665061574875716,9,4
k9_5,13.932320185184036,-12.625287466576916,-8.09425979375341,18.784700927283748,0.007836422425186632,16.020141104468905,-1.6618758354639869,-1.0308478045905736,3.1270943159334124,-17.432098615360168,9,5
k9_6,1.616101266700713,19.93243625649272,-26.624329346129397,-15.439882066173563,-2.9861779515004634,-7.499536973251828,11.473654864345512,29.707929560679315,-18.365385888654775,3.419971905730379,9,6
k9_7,1.296323946416828,4.083572424524359,-2.0586143060675126,-3.460441346613229,6.104081980179198,7.013002685388028,7.238417198634606,20.703873484749284,20.913597183254115,-6.686125607294406,9,7
k9_8,13.002159021623006,4.342543437936873,3.017008893288514,11.588042149336026,7.959152328509269,32.2119909844721,5.737660417259941,-6.873782391806001,-18.525189544237616,24.031222734813248,9,8
k9_9,-2.303934972446479,1.2612333863315457,5.566536880474987,3.3240523064970007,-0.0907946843636881,-7.023035072148513,-10.473593437790136,0.4865089838108491,15.637293703087455,18.806758317319254,9,9
k10_1,14.777484814645776,10.369477525653648,17.867663631739813,20.129001670674544,4.836151835446512,-18.73442271395445,11.15043968766425,-5.206451755167994,-10.106497305233965,-5.577795334832514,10,1
k10_2,0.6460480346708165,-5.816576553589063,25.67364356053283,-15.32590247314784,-19.56618086375056,3.8132336695164346,-18.751071964389475,3.573775930032138,-5.132435808037834,-4.464322422753272,10,2
k10_3,6.319109017356454,29.536970975132935,-30.8554118303343,-17.73276923949966,-2.363484772345588,-3.5911337300044375,-8.960560233069716,-25.61060999309342,6.411176389674208,-2.8615409574848982,10,3
k10_4,1.342899714824578,19.48843894439042,-26.782790771537318,-15.88758984537283,-2.937035963408083,-6.910542191586184,11.235036534565532,28.655769595076983,-16.78285640535337,3.715534165034973,10,4
