,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AC007906.2,0.022105275209146374,-0.012860991514609609,0.008970664125140412,-0.012851040671814818,0.009404540285876065,-0.009070723811001465,-0.018509701042288315,0.004564867161760362,0.002532546080450728,0.015923666090623755
AC073111.4,0.023025674526997685,-0.00021966372127953167,-0.023198027492075227,-0.00872541193992926,-0.016263963587057485,-0.01288002545422849,-0.002919906187063199,-0.005600470674859336,-0.008839630214400885,0.00766494457333994
AC090360.1,0.02040537529573526,-0.02314296217810374,-0.009249481300395341,0.007875042071963378,-0.009312711325820412,-0.007103401246059255,0.009776113449966877,-0.004925414254224723,0.005746971990342209,0.0045769484408360464
AC091057.6,0.011444549455896473,0.002700225239790326,0.005611941329023157,0.006271258494655725,0.0022528180670219385,-0.02495168268117733,0.010052673149496535,-0.008893442956343119,-0.02740132079881648,-0.021879400288161155
AC093323.1,0.027425457376990533,0.011638456968030501,-0.00788885923540171,-0.008722099430853739,-0.012850949129557766,-0.0060211796165935486,0.003891957994654456,-0.012313740855908363,0.004090737401822031,0.0036546409767385913
AC099489.1,0.023566454073959867,-0.0014715646133918237,-0.01341925294294025,0.0009686571554804508,-0.008184679604580756,-0.009415399955514067,-0.012688204797267752,0.007703629395697469,0.0008268566065491827,0.0003532501291716731
AC119396.1,0.007544962648159457,0.02334491640253356,-0.021569655718309214,-0.008192995326908053,-0.005902095794310432,-0.0059490490221552235,-0.0011987712273090747,0.027024139176301216,-0.020350033731213694,0.007873411603422654
AC233723.1,0.024555387361209994,-0.011669862004399059,-0.0024799260065177303,0.008416385889506542,0.0063072518783145225,-0.008010775614369437,0.012409104134846733,-0.009930965478193943,0.005737047720614301,-0.016020202615284623
ACAA2,0.007321381982391536,0.009364468817403316,0.028746978374281633,-0.014675705594241084,-0.012768900976049545,0.009577046556014308,-0.021323269279984677,0.001140446477755266,-0.0021106078578779844,-0.016912300506138987
ACACB,0.0226619445556078,0.004280275095617006,0.007113651914771746,0.00326861216560025,-0.017066927479494457,0.022198443387455895,0.012335337721095206,-0.007478187977607046,-0.021111967727353423,0.003092511830507531
ACAD11,0.022359151473847254,0.013881363249513138,-0.01032980767828254,0.008321874858781417,-0.010358538424114628,-0.002359900922142147,0.01133844983514587,-0.0025537713869542115,-0.010046709150528679,-0.004975589665735822
ACAN,0.0047654687277093296,0.0056149662177331855,0.0018093719152369962,0.008737927209430148,-0.004484508316118499,0.02739926350909867,0.004053878721317918,-0.006983042220972349,-0.004505070141199949,-0.022745433412612114
ACAP1,0.006938493646485855,0.031057111486891567,-0.024264442157561447,-0.012479781187627196,-0.00265998373964117,-0.0023084091893043946,-0.008244228394482463,-0.004540495109872744,-0.003143909686643875,0.0010819424612023012
ACAT2,0.005477635528671375,0.019287676823180635,0.022533388445681816,0.009619319479448272,0.022867464979886815,-0.020861647145584847,0.007460670716548747,-0.004513909092911802,0.012877999834236943,0.0054379551362991295
ACE,0.013315967157359773,-0.007392027947848901,0.014908898351763154,-0.007182341804620769,-0.012665958008482293,0.03306112481281122,-0.007501755202927686,0.0014657384610894124,-0.01596803867307766,0.020849814318642534
ACER1,0.013445131552081144,0.023020324110479936,-0.009124589439590654,-0.012950813783044152,-0.012597884341435196,0.0003288636487267142,-0.010985258511366534,-0.027920563974612365,0.006732260158085637,-0.004410013332046708
ACHE,0.0012301947093167507,0.0026822299465739095,0.0058665072540052664,0.0075681336242386455,-0.020504203131537082,0.010091974319714678,-0.020290937998013184,0.008996668871613113,0.012366148434586046,0.0052289344027347424
ACKR1,0.005223712909188877,0.003208781923675265,0.0037434521483862998,0.005062711819276333,0.01141262587310614,0.03696357771761504,0.008284435869598124,-0.009534032468972628,-0.025230794684091024,0.04084197384149048
ACKR2,0.005606866848586173,0.006546574817884625,0.001243299270027623,0.011681769309676841,0.0030086710784240855,0.017677476922237624,-0.011709903696452804,-6.375996818121736e-05,-0.012628444265261855,0.03976584770007769
ACKR3,0.006958732558218933,0.013830031181294496,0.015133161004849557,0.03263309584691729,0.015241140446326705,-0.011238901013070832,-0.0003470674692818596,0.0023177454382710483,0.012177373708709286,0.00609918935089859
ACOT12,0.005996616867398197,0.025067961339521317,0.001042760850133559,0.009796688548336086,0.007380394111335706,0.02286265109544928,-0.00871629480351368,0.009444504682953317,-0.0016075770186358967,0.014938606787273542
ACOT7,0.015122780107770843,-0.003137139226358551,0.029725117275759456,-0.01564896698545893,-0.0018504195102004644,-0.008835617347008374,0.016940191365324972,-0.009836685835523308,-0.007581806347921767,-0.010111312289855704
ACOX1,0.011533950288029402,0.004669017560324299,0.02840750126954148,-0.011334214589257534,-0.004875631852999771,0.002837933823564016,-0.029431444835778572,0.011626179766329727,0.013609726360566525,0.002324520809651996
ACOXL,0.009232215734683833,-0.019030176492711944,-0.003532352265538817,-0.009396212938374802,-0.01459513668987088,-0.009429624197443608,0.017722364964376285,-0.004953057249775567,-0.008255049050144235,0.0036902121326735917
ACP5,-0.00041527661441294355,-0.0011827148803194069,-0.012782448387978077,0.00084798926029044,-0.017626633026718845,0.005765279503845741,0.02696018457658166,0.028008818387685024,0.031169355626805707,-0.0006456189047274989
