K,GEP,program_id,gep_col,top1_celltype,top_celltypes,celltype_gap
8,GEP4,K8_GEP4,4,Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials,"Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials (96%), Plasma_XBP1 (70%), Bcells_CD19 (14%), Tumor/Epithelials (12%)",0.5612172682236376
8,GEP5,K8_GEP5,5,Fibroblasts/Stromal,"Fibroblasts/Stromal (88%), Tumor/Epithelials (10%), Endothelials (1%)",0.775654635527247
8,GEP6,K8_GEP6,6,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (61%), Tumor/Epithelials (35%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (11%)",0.19603680113234254
8,GEP7,K8_GEP7,7,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (37%), Endothelials (29%), Fibroblasts/Stromal (26%)",0.07997169143665961
8,GEP8,K8_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (87%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)",0.8032554847841471
9,GEP1,K9_GEP1,1,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (70%), CD4+Tcells (30%), CD8+Tcells (26%), Tregs (15%)",0.03963198867657469
9,GEP2,K9_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9355980184005661
9,GEP3,K9_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)",0.9943382873319179
9,GEP4,K9_GEP4,4,Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials,"Mixed: Plasma_XBP1/Bcells_CD19/Tumor/Epithelials (96%), Plasma_XBP1 (69%), Bcells_CD19 (14%), Tumor/Epithelials (12%)",0.551309271054494
9,GEP5,K9_GEP5,5,Fibroblasts/Stromal,"Fibroblasts/Stromal (88%), Tumor/Epithelials (10%), Endothelials (1%)",0.778485491861288
9,GEP6,K9_GEP6,6,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (61%), Tumor/Epithelials (35%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (10%)",0.19462137296532198
9,GEP7,K9_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (86%), Fibroblasts/Stromal (10%), Endothelials (1%)",0.7650389242745931
9,GEP8,K9_GEP8,8,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (37%), Endothelials (29%), Fibroblasts/Stromal (25%)",0.07926397735314933
9,GEP9,K9_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (85%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)",0.7777777777777778
10,GEP1,K10_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (95%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9306440198159943
10,GEP2,K10_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (100%), Fibroblasts/Stromal (0%), Endothelials (0%)",0.9943382873319179
10,GEP3,K10_GEP3,3,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.04033970276008492
10,GEP4,K10_GEP4,4,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8117480537862704
10,GEP5,K10_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6185421089879689
10,GEP6,K10_GEP6,6,Fibroblasts/Stromal,"Fibroblasts/Stromal (88%), Tumor/Epithelials (10%), Endothelials (1%)",0.7799009200283086
10,GEP7,K10_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)",0.9037508846426044
10,GEP8,K10_GEP8,8,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (68%), Tumor/Epithelials (40%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (12%)",0.24062278839348905
10,GEP9,K10_GEP9,9,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (36%), Endothelials (29%), Fibroblasts/Stromal (26%)",0.07572540693559804
10,GEP10,K10_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (85%), Fibroblasts/Stromal (7%), Bcells_CD19 (3%)",0.7714083510261854
11,GEP1,K11_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (95%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9292285916489739
11,GEP2,K11_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.04033970276008497
11,GEP3,K11_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9936305732484076
11,GEP4,K11_GEP4,4,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8103326256192498
11,GEP5,K11_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6185421089879689
11,GEP6,K11_GEP6,6,Fibroblasts/Stromal,"Fibroblasts/Stromal (87%), Tumor/Epithelials (10%), Endothelials (1%)",0.7763623496107572
11,GEP7,K11_GEP7,7,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)",0.9037508846426044
11,GEP8,K11_GEP8,8,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (68%), Tumor/Epithelials (40%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (12%)",0.23779193205944799
11,GEP9,K11_GEP9,9,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (36%), Endothelials (29%), Fibroblasts/Stromal (26%)",0.07289455060155697
11,GEP10,K11_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (76%), Fibroblasts/Stromal (9%), Bcells_CD19 (5%)",0.6751592356687899
11,GEP11,K11_GEP11,11,Tumor/Epithelials,"Tumor/Epithelials (82%), Fibroblasts/Stromal (8%), Bcells_CD19 (4%)",0.7374380750176929
12,GEP1,K12_GEP1,1,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (73%), CD4+Tcells (30%), CD8+Tcells (27%), Tregs (16%)",0.03113941967445155
12,GEP2,K12_GEP2,2,Tumor/Epithelials,"Tumor/Epithelials (99%), Fibroblasts/Stromal (1%), Endothelials (0%)",0.9787685774946921
12,GEP3,K12_GEP3,3,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8075017692852088
12,GEP4,K12_GEP4,4,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (98%), Fibroblasts/Stromal (78%), Tumor/Epithelials (19%), Endothelials (2%)",0.5895258315640481
12,GEP5,K12_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (4%)",0.6135881104033971
12,GEP6,K12_GEP6,6,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (96%), Tumor/Epithelials (51%), Endothelials (29%), Fibroblasts/Stromal (16%)",0.2229299363057325
12,GEP7,K12_GEP7,7,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Mast,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Mast (93%), Fibroblasts/Stromal (53%), Tumor/Epithelials (36%), Mast (4%)",0.16631280962491157
12,GEP8,K12_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (7%), Endothelials (2%)",0.8244869072894551
12,GEP9,K12_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (91%), Fibroblasts/Stromal (5%), Bcells_CD19 (2%)",0.8556263269639066
12,GEP10,K12_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (89%), Fibroblasts/Stromal (5%), Endothelials (2%)",0.8343949044585987
12,GEP11,K12_GEP11,11,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Mac_C1Q_ZEB2 (77%), Tumor/Epithelials (50%), Fibroblasts/Stromal (16%), Mac_C1Q_ZEB2 (11%)",0.34748761500353864
12,GEP12,K12_GEP12,12,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (68%), Tumor/Epithelials (42%), Mac_C1Q_ZEB2 (14%), Fibroblasts/Stromal (12%)",0.28520877565463554
13,GEP1,K13_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9348903043170559
13,GEP2,K13_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.0410474168435952
13,GEP3,K13_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9922151450813872
13,GEP4,K13_GEP4,4,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8110403397027601
13,GEP5,K13_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6199575371549894
13,GEP6,K13_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)",0.8924274593064402
13,GEP7,K13_GEP7,7,Fibroblasts/Stromal,"Fibroblasts/Stromal (80%), Tumor/Epithelials (15%), Endothelials (3%)",0.6546355272469923
13,GEP8,K13_GEP8,8,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (68%), Tumor/Epithelials (39%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (12%)",0.23354564755838642
13,GEP9,K13_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (93%), Fibroblasts/Stromal (3%), Endothelials (1%)",0.8987968860580327
13,GEP10,K13_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (86%), Bcells_CD19 (4%), Fibroblasts/Stromal (4%)",0.8174097664543524
13,GEP11,K13_GEP11,11,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (39%), Endothelials (29%), Fibroblasts/Stromal (22%)",0.10686482661004959
13,GEP12,K13_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Mast,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Mast (92%), Fibroblasts/Stromal (56%), Tumor/Epithelials (30%), Mast (5%)",0.25973106864826606
13,GEP13,K13_GEP13,13,Tumor/Epithelials,"Tumor/Epithelials (82%), Fibroblasts/Stromal (9%), Bcells_CD19 (4%)",0.726822363765039
14,GEP1,K14_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9348903043170559
14,GEP2,K14_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.0410474168435952
14,GEP3,K14_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9922151450813872
14,GEP4,K14_GEP4,4,Bcells_CD19,"Bcells_CD19 (86%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8131634819532908
14,GEP5,K14_GEP5,5,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6199575371549894
14,GEP6,K14_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)",0.8924274593064402
14,GEP7,K14_GEP7,7,Fibroblasts/Stromal,"Fibroblasts/Stromal (80%), Tumor/Epithelials (15%), Endothelials (3%)",0.6553432413305025
14,GEP8,K14_GEP8,8,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (72%), Tumor/Epithelials (42%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (14%)",0.26610049539985847
14,GEP9,K14_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (93%), Fibroblasts/Stromal (3%), Endothelials (1%)",0.8980891719745223
14,GEP10,K14_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (86%), Bcells_CD19 (4%), Fibroblasts/Stromal (4%)",0.8181174805378627
14,GEP11,K14_GEP11,11,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (93%), Tumor/Epithelials (41%), Endothelials (29%), Fibroblasts/Stromal (23%)",0.11889596602972402
14,GEP12,K14_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (95%), Fibroblasts/Stromal (58%), Tumor/Epithelials (32%), Endothelials (5%)",0.25336164189667376
14,GEP13,K14_GEP13,13,Tumor/Epithelials,"Tumor/Epithelials (82%), Fibroblasts/Stromal (9%), Bcells_CD19 (4%)",0.7268223637650388
14,GEP14,K14_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (69%), Tumor/Epithelials (47%), Fibroblasts/Stromal (15%), Bcells_CD19 (7%)",0.3170559094125973
15,GEP1,K15_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9348903043170559
15,GEP2,K15_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.04033970276008492
15,GEP3,K15_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9922151450813872
15,GEP4,K15_GEP4,4,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6199575371549894
15,GEP5,K15_GEP5,5,Bcells_CD19,"Bcells_CD19 (89%), Tumor/Epithelials (6%), Fibroblasts/Stromal (2%)",0.832271762208068
15,GEP6,K15_GEP6,6,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (4%), Bcells_CD19 (1%)",0.89171974522293
15,GEP7,K15_GEP7,7,Fibroblasts/Stromal,"Fibroblasts/Stromal (80%), Tumor/Epithelials (15%), Endothelials (3%)",0.6553432413305025
15,GEP8,K15_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (3%), Endothelials (1%)",0.9023354564755839
15,GEP9,K15_GEP9,9,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (74%), Tumor/Epithelials (44%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (14%)",0.27813163481953296
15,GEP10,K15_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (86%), Bcells_CD19 (4%), Fibroblasts/Stromal (4%)",0.8209483368719037
15,GEP11,K15_GEP11,11,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (93%), Tumor/Epithelials (41%), Endothelials (29%), Fibroblasts/Stromal (23%)",0.1245576786978061
15,GEP12,K15_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (95%), Fibroblasts/Stromal (58%), Tumor/Epithelials (32%), Endothelials (5%)",0.2526539278131635
15,GEP13,K15_GEP13,13,Tumor/Epithelials,"Tumor/Epithelials (82%), Fibroblasts/Stromal (9%), Bcells_CD19 (4%)",0.7317763623496107
15,GEP14,K15_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/CD4+Tcells,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/CD4+Tcells (70%), Tumor/Epithelials (46%), Fibroblasts/Stromal (19%), CD4+Tcells (5%)",0.27105449398443027
15,GEP15,K15_GEP15,15,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Bcells_CD19 (70%), Tumor/Epithelials (48%), Fibroblasts/Stromal (15%), Bcells_CD19 (8%)",0.32837933474876146
16,GEP1,K16_GEP1,1,Tumor/Epithelials,"Tumor/Epithelials (96%), Fibroblasts/Stromal (2%), Bcells_CD19 (1%)",0.9426751592356688
16,GEP2,K16_GEP2,2,Mixed: CD4+Tcells/CD8+Tcells/Tregs,"Mixed: CD4+Tcells/CD8+Tcells/Tregs (74%), CD4+Tcells (31%), CD8+Tcells (27%), Tregs (16%)",0.03750884642604385
16,GEP3,K16_GEP3,3,Tumor/Epithelials,"Tumor/Epithelials (100%), Endothelials (0%), Fibroblasts/Stromal (0%)",0.9922151450813872
16,GEP4,K16_GEP4,4,Plasma_XBP1,"Plasma_XBP1 (77%), Tumor/Epithelials (15%), Fibroblasts/Stromal (3%)",0.6206652512384997
16,GEP5,K16_GEP5,5,Bcells_CD19,"Bcells_CD19 (88%), Tumor/Epithelials (5%), Fibroblasts/Stromal (2%)",0.8237791932059447
16,GEP6,K16_GEP6,6,Fibroblasts/Stromal,"Fibroblasts/Stromal (80%), Tumor/Epithelials (15%), Endothelials (3%)",0.6454352441613588
16,GEP7,K16_GEP7,7,Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Mac_C1Q_ZEB2/Fibroblasts/Stromal (72%), Tumor/Epithelials (43%), Mac_C1Q_ZEB2 (16%), Fibroblasts/Stromal (13%)",0.27034677990092004
16,GEP8,K16_GEP8,8,Tumor/Epithelials,"Tumor/Epithelials (94%), Fibroblasts/Stromal (3%), Endothelials (1%)",0.9051663128096249
16,GEP9,K16_GEP9,9,Tumor/Epithelials,"Tumor/Epithelials (86%), Bcells_CD19 (4%), Fibroblasts/Stromal (4%)",0.8259023354564756
16,GEP10,K16_GEP10,10,Tumor/Epithelials,"Tumor/Epithelials (88%), Fibroblasts/Stromal (6%), Bcells_CD19 (3%)",0.8216560509554139
16,GEP11,K16_GEP11,11,Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal,"Mixed: Tumor/Epithelials/Endothelials/Fibroblasts/Stromal (91%), Tumor/Epithelials (49%), Endothelials (23%), Fibroblasts/Stromal (20%)",0.25831564048124556
16,GEP12,K16_GEP12,12,Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials,"Mixed: Fibroblasts/Stromal/Tumor/Epithelials/Endothelials (91%), Fibroblasts/Stromal (46%), Tumor/Epithelials (41%), Endothelials (4%)",0.04741684359518755
16,GEP13,K16_GEP13,13,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (86%), Tumor/Epithelials (52%), Fibroblasts/Stromal (19%), Endothelials (16%)",0.32696390658174096
16,GEP14,K16_GEP14,14,Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials,"Mixed: Tumor/Epithelials/Fibroblasts/Stromal/Endothelials (91%), Tumor/Epithelials (53%), Fibroblasts/Stromal (33%), Endothelials (5%)",0.20028308563340408
