sample,K,gep,label,label_kind,ROGUE,n_cells
GSM4138125,8,3,Macrophage_family,family,0.8417560044161253,37
GSM4138123,8,1,Mono_CD14_ID1,specific,0.8821741426919781,35
GSM4138129,8,3,Macrophage_family,family,0.887846199303265,35
GSM4138113,8,6,DC_pDC,specific,0.8770105097170787,34
GSM4138137,8,2,DC_family,family,0.762451351535602,33
GSM4138135,8,2,DC_family,family,0.7978440956072073,32
GSM4138143,8,8,Mast,specific,0.9499099441330964,31
GSM4138147,8,6,DC_pDC,specific,0.8800969637734649,31
GSM4138135,8,7,Macrophage_family,family,0.8155602544190769,30
GSM4138115,8,1,Mono_CD14_ID1,specific,0.9370298114170056,30
GSM4138155,8,3,Macrophage_family,family,0.8453127385519278,30
GSM4138111,8,8,Mast,specific,0.8570514282209254,28
GSM4138127,8,6,DC_pDC,specific,0.9313771396418056,28
GSM4138127,8,7,Macrophage_family,family,0.8927126205323255,27
GSM4138113,8,2,DC_family,family,0.7612353000788131,26
GSM4138112,8,6,DC_pDC,specific,0.9480145225252716,25
GSM4138129,8,6,DC_pDC,specific,0.9522192501682016,25
GSM4138119,8,7,Macrophage_family,family,0.7699785190978079,25
GSM4138119,8,2,DC_family,family,0.6865066676654855,25
GSM4138153,8,2,DC_family,family,0.8126481541930819,23
GSM4138160,8,6,DC_pDC,specific,0.9618161262174572,22
GSM4138139,8,6,DC_pDC,specific,0.9333160959033334,22
GSM4138125,8,2,DC_family,family,0.822436537560959,22
GSM4138133,8,6,DC_pDC,specific,0.9677791977403044,21
GSM4138110,8,6,DC_pDC,specific,0.9492793865854678,21
GSM4138135,8,8,Mast,specific,0.9632808291710414,21
GSM4138129,8,2,DC_family,family,0.8696851377040018,21
GSM4138117,8,2,DC_family,family,0.905722087428504,21
GSM4138122,8,6,DC_pDC,specific,0.9671572886913488,20
GSM4138144,8,2,DC_family,family,0.937086611484638,20
GSM4138168,8,6,DC_pDC,specific,0.9011449212070114,20
GSM4138128,8,6,DC_pDC,specific,0.9671572886913488,20
GSM4138115,8,6,DC_pDC,specific,0.9225313235859188,19
GSM4138127,8,2,DC_family,family,0.9470502276078128,19
GSM4138155,8,8,Mast,specific,0.9304048836734372,19
GSM4138153,8,1,Mono_CD14_ID1,specific,0.8925676110311169,19
GSM4138131,8,8,Mast,specific,0.9536975701437346,19
GSM4138135,8,6,DC_pDC,specific,0.9277395526018996,19
GSM4138120,8,2,DC_family,family,0.9252430382036522,18
GSM4138172,8,2,DC_family,family,0.876801661908376,18
GSM4138171,8,2,DC_family,family,0.91325331721818,18
GSM4138121,8,2,DC_family,family,0.8323078484638943,18
GSM4138159,8,3,Macrophage_family,family,0.8696411088406966,18
GSM4138162,8,2,DC_family,family,0.9629668472436136,18
GSM4138130,8,6,DC_pDC,specific,0.9655214820192856,17
GSM4138162,8,6,DC_pDC,specific,0.9844611143723536,17
GSM4138163,8,6,DC_pDC,specific,0.9903020421816136,16
GSM4138111,8,3,Macrophage_family,family,0.8635384127620684,16
GSM4138157,8,6,DC_pDC,specific,0.9528870226328386,16
GSM4138151,8,6,DC_pDC,specific,0.9660966498243028,15
GSM4138117,8,8,Mast,specific,0.9843483876594742,15
GSM4138147,8,2,DC_family,family,0.8958648233412956,15
GSM4138121,8,6,DC_pDC,specific,0.9091717713934686,15
GSM4138152,8,2,DC_family,family,0.9398797025217304,15
GSM4138134,8,6,DC_pDC,specific,0.975264804294986,15
GSM4138134,9,1,Mono_CD14_ID1,specific,0.9375022092914892,1212
GSM4138156,9,1,Mono_CD14_ID1,specific,0.8941287005804951,911
GSM4138126,9,1,Mono_CD14_ID1,specific,0.9524984459421776,757
GSM4138116,9,1,Mono_CD14_ID1,specific,0.9295774111559684,701
GSM4138140,9,1,Mono_CD14_ID1,specific,0.9257737344992634,692
GSM4138142,9,1,Mono_CD14_ID1,specific,0.8990559128916908,682
GSM4138132,9,1,Mono_CD14_ID1,specific,0.931604132369899,640
GSM4138136,9,1,Mono_CD14_ID1,specific,0.9151286572377852,632
GSM4138110,9,1,Mono_CD14_ID1,specific,0.9188732496763384,621
GSM4138120,9,1,Mono_CD14_ID1,specific,0.8622278369830793,591
GSM4138130,9,1,Mono_CD14_ID1,specific,0.9188261994959755,584
