sample,K,gep,label,label_kind,membership_label,baseline_group_type,members_str,ROGUE,n_cells,baseline_ROGUE,delta_ROGUE,baseline_ROGUE_mean,baseline_ROGUE_min,baseline_ROGUE_max,delta_ROGUE_vs_mean,delta_ROGUE_vs_max,recommendation
GSM4138120,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9359013874116876,31,0.9491002714747008,-0.013198884063013172,,,,,,no_change
GSM4138129,20,4,Macrophage_family,family,Macrophage_family,family,Mac_CXCL9,0.8718011004638734,31,0.7276843190978783,0.14411678136599504,0.8366798343855724,0.782080787449773,0.8654753933612986,0.03512126607830102,0.00632570710257474,no_change
GSM4138164,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.9395398464744548,30,0.966078119778324,-0.026538273303869264,,,,,,no_change
GSM4138135,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.9091763534929694,30,0.7578892579334059,0.15128709555956354,0.8758613386723189,0.8722619719534979,0.87946070539114,0.03331501482065058,0.029715648101829473,no_change
GSM4138119,20,1,Monocyte_family,family,Monocyte_family,family,Mono_CD14_IL1B,0.8162610212148829,30,0.9119757097974496,-0.09571468858256671,0.9095936137925964,0.9095936137925964,0.9095936137925964,-0.09333259257771354,-0.09333259257771354,GEP_less_pure_than_family
GSM4138111,20,13,Mast,specific,Mast,specific,Mast,0.8580139148973691,29,0.8580139148973691,0.0,,,,,,no_change
GSM4138111,20,1,Monocyte_family,family,Monocyte_family,family,,0.8671612178786823,29,0.8035274934011722,0.06363372447751003,0.850956021773753,0.8471696773813896,0.8547423661661163,0.01620519610492932,0.01241885171256596,no_change
GSM4138127,20,8,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,DC_pDC,0.9272067221531218,29,,,,,,,,ambiguous
GSM4138111,20,7,DC_family,family,DC_family,family,cDC1_CLEC9A,0.8373321605025988,28,0.6349829952708956,0.2023491652317032,0.8001298856559369,0.7113042769620459,0.8879178701916859,0.03720227484666194,-0.050585709689087044,GEP_less_pure_than_family
GSM4138129,20,9,Macrophage_family,family,Macrophage_family,family,Mac_SPP1,0.84330165691621,28,0.7276843190978783,0.11561733781833161,0.8366798343855724,0.782080787449773,0.8654753933612986,0.006621822530637589,-0.022173736445088688,no_change
GSM4138131,20,3,Mono_CD16,specific,Mono_CD16,specific,,0.9499561365250516,28,,,,,,,,no_baseline
GSM4138139,20,7,DC_family,family,DC_family,family,cDC1_CLEC9A,0.9080565953137064,27,0.7665754651974331,0.14148113011627328,0.897991475340932,0.8638748916000272,0.931333155556242,0.010065119972774372,-0.02327656024253555,no_change
GSM4138145,20,3,Mono_CD16,specific,Mono_CD16,specific,,0.9379296676810882,27,,,,,,,,no_baseline
GSM4138143,20,7,DC_family,family,DC_family,family,cDC1_CLEC9A,0.8260046019790284,27,0.7000515593569699,0.12595304262205842,0.841300837605308,0.7259410347876485,0.9228842678642892,-0.015296235626279686,-0.09687966588526087,GEP_less_pure_than_family
GSM4138117,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.8081402045952577,27,,,,,,,,ambiguous
GSM4138135,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.816939537029491,26,,,,,,,,ambiguous
GSM4138159,20,2,cDC2_CD33,specific,cDC2_CD33,specific,,0.8882409910189087,26,,,,,,,,no_baseline
GSM4138161,20,6,Ambiguous/Mixed,ambiguous,Ambiguous/Mixed,ambiguous,,0.7411760763168223,25,,,,,,,,ambiguous
GSM4138119,20,9,Macrophage_family,family,Macrophage_family,family,Mac_SPP1,0.7726136084352723,25,0.6677798765723472,0.1048337318629251,0.8120160144317397,0.810842143205032,0.8131898856584474,-0.03940240599646738,-0.04057627722317514,no_change
GSM4138153,20,2,cDC2_CD33,specific,cDC2_CD33,specific,,0.8654643206221253,24,,,,,,,,no_baseline
GSM4138135,20,9,Macrophage_family,family,Macrophage_family,family,,0.8798752801783501,24,0.6765538050497086,0.20332147512864152,0.7496906212351554,0.734814502091345,0.7758895693138232,0.13018465894319475,0.1039857108645269,family_GEP_purer
GSM4138115,20,7,DC_family,family,DC_family,family,,0.8459168234864196,24,0.7226113874170712,0.1233054360693484,0.879377161103832,0.7959116588996087,0.9579712498150992,-0.033460337617412406,-0.11205442632867957,GEP_less_pure_than_family
GSM4138123,20,11,DC_family,family,DC_family,family,mregDC_LAMP3,0.8941040505028006,24,0.6667997738663793,0.22730427663642128,0.7944793301776124,0.7217787508104097,0.8671799095448152,0.09962472032518821,0.026924140957985454,no_change
GSM4138159,20,7,DC_family,family,DC_family,family,,0.7730192558820773,24,0.688344760341324,0.08467449554075335,0.8249973646145293,0.8249973646145293,0.8249973646145293,-0.05197810873245201,-0.05197810873245201,GEP_less_pure_than_family
GSM4138158,20,3,Mono_CD16,specific,Mono_CD16,specific,Mono_CD16,0.98343559186875,23,0.9835745946977852,-0.00013900282903522854,,,,,,no_change
