sample,members_str,ROGUE,n_cells
GSM4138144,Mono_CD14+Mono_CD14_THBS1,0.9676560732729731,140
GSM4138165,Mono_CD14+Mono_CD16+Mono_Int,0.9136704466154102,412
GSM4138110,Mono_CD16+Mono_Int,0.967944092574297,123
GSM4138162,Mono_CD16+Mono_Int,0.9497814265025415,105
GSM4138152,Mono_CD16+Mono_Int,0.9186751325326217,126
GSM4138150,Mono_CD14+Mono_CD14_IL1B,0.9705418968128108,121
GSM4138167,Mono_CD14+Mono_CD16+Mono_Int,0.9358055527939024,297
GSM4138144,Mono_CD16+Mono_Int,0.9583753180981621,87
GSM4138148,Mono_CD14+Mono_CD14_IL1B,0.9868679820734982,99
GSM4138124,Mono_CD14_THBS1+Mono_CD16+Mono_Int,0.9423677400986921,250
GSM4138114,Mono_CD16+Mono_Int,0.9518674063744501,84
GSM4138141,cDC2_CD1C+cDC2_CD33,0.7135190283043086,96
GSM4138161,Mono_CD14_IL1B+Mono_TIL,0.7939840379707832,95
GSM4138126,Mono_CD14+Mono_CD16+Mono_Int,0.9608113520325916,675
GSM4138139,Mac_IL1Bint+Mac_SPP1,0.7343585348061827,171
GSM4138120,Mono_CD16+Mono_Int,0.8999836555740173,68
GSM4138141,Mono_CD16+Mono_Int,0.9437757519615286,46
GSM4138163,Mono_CD16+Mono_Int,0.9454855284474226,40
GSM4138154,Mono_CD16+Mono_Int,0.9209833114961055,51
GSM4138162,Mono_CD14_IL1B+Mono_CD16+Mono_Int,0.9339313409979866,397
GSM4138163,Mono_CD14_IL1B+Mono_CD16+Mono_Int,0.9442714007120365,353
GSM4138122,Mono_CD16+Mono_Int,0.9641994886574021,225
GSM4138128,Mono_CD16+Mono_Int,0.9641994886574021,225
GSM4138140,Mono_CD16+Mono_Int,0.9449388683062274,179
GSM4138125,Mac_CXCL9+Mac_SPP1,0.7019914286009784,356
GSM4138132,Mono_CD16+Mono_Int,0.9579506500473108,170
GSM4138165,Mono_CD16+Mono_Int,0.93705861312039,127
GSM4138124,Mono_CD16+Mono_Int,0.9573904820814009,68
GSM4138167,Mono_CD16+Mono_Int,0.9601915034700708,63
GSM4138131,Mac_CXCL9+Mac_IL1Bint,0.7489047694360209,145
GSM4138139,Mac_CXCL9+Mac_SPP1,0.7249088611758865,145
GSM4138126,Mono_CD16+Mono_Int,0.9715532515167651,57
GSM4138155,cDC2_CD1C+mregDC_LAMP3,0.6239772853297045,158
GSM4138135,Mac_CXCL9+Mac_IL1B,0.64631285109397,364
GSM4138134,Mono_CD14+Mono_Int,0.9611165391719432,1044
GSM4138110,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.945454851728821,544
GSM4138140,Mono_CD14+Mono_Int,0.9527339760888035,570
GSM4138140,Mono_CD14+Mono_CD16,0.9389937006710914,545
GSM4138136,Mono_CD14+Mono_CD16,0.9359185926607921,439
GSM4138146,Mono_CD14+Mono_CD16,0.910225073854481,349
GSM4138124,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9508120281600929,309
GSM4138122,Mono_CD14+Mono_CD16,0.9357079864017944,373
GSM4138128,Mono_CD14+Mono_CD16,0.9357079864017944,373
GSM4138144,Mono_CD14+Mono_CD16,0.910961120439537,163
GSM4138134,Mono_CD16+Mono_Int,0.9712519517089017,302
GSM4138142,Mono_CD14+Mono_CD14_IL1B+Mono_Int,0.9422092209034049,501
GSM4138138,Mono_CD14+Mono_Int,0.9357979623053763,406
GSM4138161,cDC2_CD1C+cDC2_CD33,0.6271295131276019,105
GSM4138115,cDC2_CD1C+cDC2_CD33,0.8005699811051051,68
GSM4138143,Mono_CD14+Mono_CD14_IL1B,0.9154996296580005,54
GSM4138142,Mono_CD14+Mono_CD16+Mono_Int,0.9067466174585014,526
GSM4138162,Mono_CD14_IL1B+Mono_CD16,0.9438656217259419,355
GSM4138138,Mono_CD14+Mono_CD16+Mono_Int,0.906620240659441,518
GSM4138126,Mono_CD14+Mono_Int,0.9697439760848566,652
GSM4138112,Mono_CD14+Mono_CD16+Mono_Int,0.8940122493309992,325
GSM4138124,Mono_CD14_THBS1+Mono_CD16,0.9392403162586848,230
GSM4138160,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9359131885374091,450
GSM4138155,Mac_CXCL9+Mac_IL1Bint,0.660182646319212,149
GSM4138111,Mac_CXCL9+Mac_IL1Bint,0.7028956201241414,76
GSM4138134,Mono_CD14+Mono_CD16,0.9420729965967661,1006
GSM4138139,Mac_IL1B+Mac_IL1Bint,0.7204423282474985,213
GSM4138142,Mono_CD14+Mono_CD14_IL1B+Mono_CD16,0.9171570789383129,551
GSM4138123,Mac_CXCL9+Mac_IL1B,0.6609859482916873,455
GSM4138152,Mono_CD14_ID1+Mono_CD16,0.8986188232929267,231
GSM4138130,Mono_CD14+Mono_Int,0.9339422973249181,426
GSM4138150,Mono_CD14+Mono_CD16,0.9261908962643107,112
GSM4138162,Mono_CD14_IL1B+Mono_Int,0.9490962839015046,334
GSM4138136,Mono_CD14+Mono_Int,0.947103402592812,438
GSM4138122,Mono_CD14+Mono_Int,0.951760333601334,320
GSM4138128,Mono_CD14+Mono_Int,0.951760333601334,320
GSM4138125,Mac_IL1Bint+Mac_SPP1,0.7043198892374365,359
GSM4138127,Mac_IL1B+Mac_SPP1,0.7327071419234785,158
GSM4138143,cDC2_CD1C+cDC2_CD33+mregDC_LAMP3,0.7017333193188834,132
GSM4138132,Mono_CD14+Mono_CD16,0.9439090464747116,501
GSM4138144,Mono_CD14+Mono_CD14_THBS1+Mono_CD16,0.9147057548004714,204
GSM4138139,Mac_IL1B+Mac_SPP1,0.7205740298292541,166
GSM4138152,Mono_CD14_ID1+Mono_CD14_IL1B,0.943606981724792,232
GSM4138155,Mac_IL1B+Mac_IL1Bint,0.6256362135672305,213
