sample,K,gep,label,label_kind,ROGUE,n_cells,size_bin,null_median,null_mean,null_std,n_draws,null_zscore,beats_null_median
GSM4138131,18,3,Mast,specific,0.9700972690342095,17,25,0.923417081484569,0.9232553144549218,0.039261461223893256,10.0,1.1930772090260648,True
GSM4138163,18,2,DC_pDC,specific,0.9858316108356697,17,25,0.9585446561255815,0.9609096758297184,0.017601132002729513,10.0,1.4159279642972116,True
GSM4138169,18,1,Ambiguous/Mixed,ambiguous,0.9803894539291542,17,25,0.9684676443498503,0.9684676443498503,0.0,10.0,inf,True
GSM4138162,18,2,DC_pDC,specific,0.9857264726261489,16,25,0.9600140953042835,0.9563751722194592,0.016814135194355585,10.0,1.7456324733574597,True
GSM4138127,18,5,Ambiguous/Mixed,ambiguous,0.9517780198128196,15,25,0.9607701486208685,0.958907948415632,0.02307048316562853,10.0,-0.30904981710287105,False
GSM4138155,18,6,Ambiguous/Mixed,ambiguous,0.9664644543990649,15,25,0.9125995833019843,0.9086011184524632,0.0205912592617861,10.0,2.810092146913343,True
GSM4138135,18,3,Mast,specific,1.0,15,25,0.9262103971686568,0.9299491761958603,0.027728452087857892,10.0,2.5263156984812194,True
GSM4138155,18,3,Mast,specific,0.9689663485453668,15,25,0.9125995833019843,0.9086011184524632,0.0205912592617861,10.0,2.931594873604029,True
GSM4138117,18,2,DC_pDC,specific,0.9528621852287787,15,25,0.9147496893500744,0.9146754506733146,0.020995821291890267,10.0,1.8187778427231127,True
GSM4138134,19,3,Ambiguous/Mixed,ambiguous,0.9487257836224307,542,550,0.950876927170152,0.9518271075387986,0.004120436407707153,10.0,-0.7526687975494628,False
GSM4138156,19,3,Ambiguous/Mixed,ambiguous,0.8861628669668482,421,425,0.8902416245036321,0.8881226358203733,0.005303847344274089,10.0,-0.36949948335915694,False
GSM4138125,19,1,Mac_SPP1,specific,0.738539498454881,392,400,0.706126529190733,0.7088147442296903,0.007132271800144488,10.0,4.167641819902117,True
GSM4138134,19,1,Mac_SPP1,specific,0.9530608613447048,371,375,0.9494474571578366,0.9491508018349263,0.005367365778981979,10.0,0.7284876177229966,True
GSM4138135,19,4,Ambiguous/Mixed,ambiguous,0.7857999585531228,361,350,0.6962432198615721,0.6973667563280206,0.01332498295864608,10.0,6.636646553286676,True
GSM4138123,19,4,Ambiguous/Mixed,ambiguous,0.7471559126895932,351,350,0.6813096433826795,0.6798892282971958,0.009409501433277774,10.0,7.1488043090679785,True
