sample,cluster,ROGUE,n_cells
GSM4138119,Mac_IL1Bint,0.7603930146444168,19
GSM4138130,DC_pDC,0.9147632738846576,19
GSM4138126,cDC2_CD33,0.9372147039492271,19
GSM4138155,Mast,0.8713549729660728,19
GSM4138133,cDC1_CLEC9A,0.8452837535719973,18
GSM4138123,Mono_TIL,0.8196691874123032,18
GSM4138134,Mono_CD14_THBS1,0.9875242478772119,18
GSM4138154,Mono_CD14_IL1B,0.9692796135649596,18
GSM4138156,Mono_CD14_IL1B,0.9913317239768105,18
GSM4138119,cDC2_CD1C,0.7097982897747724,18
GSM4138115,cDC2_CD33,0.9270765658010703,18
GSM4138111,mregDC_LAMP3,0.6666080974606696,18
GSM4138131,Mast,0.9315781702821557,18
GSM4138132,cDC2_CD33,0.9341954870651231,18
GSM4138166,Mono_CD14_IL1B,0.9783533505218056,18
GSM4138138,cDC2_CD33,0.8989930499196032,18
GSM4138163,Mono_Int,0.9396721080092068,17
GSM4138135,cDC2_CD1C,0.7645604907154842,17
GSM4138159,Mono_TIL,0.9121610611045811,17
GSM4138135,Mono_CD14_IL1B,0.9151977631701471,17
GSM4138114,Mono_CD14_IL1B,0.9810523066328566,17
GSM4138162,DC_pDC,0.957084277467433,17
GSM4138163,DC_pDC,0.9631144655292482,17
GSM4138121,cDC2_CD1C,0.6645816922318475,17
GSM4138158,Mono_CD14_THBS1,0.9878811595222257,17
GSM4138157,DC_pDC,0.9115582693397372,17
GSM4138135,DC_pDC,0.9191669920743012,17
GSM4138158,Mono_Int,0.981132818513209,16
GSM4138116,Mono_CD14,0.9804201799139347,16
GSM4138141,Mono_Int,0.9613896621559774,16
GSM4138129,cDC2_CD1C,0.8569573600607923,16
GSM4138145,mregDC_LAMP3,0.9531656925268426,16
GSM4138113,cDC2_CD1C,0.7814999059026806,16
GSM4138159,Mac_CXCL9,0.8550579045438274,16
GSM4138152,DC_pDC,0.9344194336401062,16
GSM4138131,Mono_CD14_IL1B,0.97888569744551,15
GSM4138117,Mast,0.9645159504406875,15
GSM4138151,DC_pDC,0.9039811549183868,15
GSM4138116,Mono_CD16,0.9558163250707525,15
GSM4138118,cDC2_CD33,0.8174435078954716,15
GSM4138131,cDC1_CLEC9A,0.8682732809293549,15
GSM4138110,cDC2_CD33,0.9444218107640274,15
GSM4138134,DC_pDC,0.9734765783553795,15
GSM4138130,Mono_CD14_IL1B,0.991007006087437,15
GSM4138143,Mac_SPP1,0.874839288344487,15
GSM4138156,DC_pDC,0.9437434078558574,15
GSM4138117,cDC2_CD33,0.9279512660605777,15
